SEQID	ATF3	GABPA	BHLHE40	CEBPB	CTCF	ELK1	FOSL2	FOXA1	FOXA2	HNF4A	HNF4G	JUND	MAFK	MAX	NFE2L2	REST	USF2	YY1	ZBTB33
11:1299563-1299663	2.994e-07	2.379e-11	1.43e-10	1.248e-09	1.044e-12	2.643e-10	2.412e-11	5.872e-09	1.664e-06	1.067e-12	1.183e-05	1.499e-12	1.445e-07	2.998e-11	1.247e-11	1.148e-18	7.978e-10	1.187e-08	5.089e-11
4:182918226-182918326	1.027e-06	1.216e-09	1.651e-11	1.556e-11	9.961e-13	2.953e-12	1.673e-13	1.262e-13	2.583e-10	1.64e-14	4.529e-07	1.081e-15	3.417e-11	1.298e-09	6.145e-12	4.03e-17	6.63e-15	1.423e-13	9.388e-12
14:58272880-58272980	1.814e-08	6.202e-15	1.443e-12	6.833e-07	5.714e-16	7.607e-16	3.142e-15	9.769e-07	4.756e-07	1.143e-19	2.482e-10	9.857e-18	1.859e-13	1.192e-10	1.07e-13	3.659e-20	3.774e-15	6.26e-12	1.012e-15
3:111070864-111070964	1.492e-11	8.586e-08	4.012e-10	1.441e-10	9.91e-10	1.22e-10	9.125e-16	6.658e-12	4.417e-09	4.955e-19	3.244e-09	1.449e-19	1.076e-16	2.598e-09	4.42e-14	7.41e-15	1.771e-11	1.893e-11	1.613e-10
6:100880838-100880938	2.576e-06	5.192e-11	1.181e-10	1.45e-08	2.419e-13	6.58e-12	6.175e-16	1.333e-13	3.174e-12	7.546e-19	2.252e-09	6.208e-22	1.03e-07	4.75e-08	1.451e-10	1.192e-14	1.283e-10	4.139e-11	1.91e-08
2:207811118-207811218	1.797e-10	1.138e-16	1.239e-11	7.638e-12	3.668e-20	6.48e-13	8.003e-15	3.099e-11	1.571e-10	4.322e-24	6.038e-12	8.426e-17	2.298e-22	1.793e-09	5.323e-13	1.192e-14	9.847e-15	1.474e-15	8.186e-14
11:27395802-27395902	3.986e-09	6.241e-09	6.74e-08	2.401e-09	1.157e-13	2.206e-11	2.794e-07	4.051e-09	4.621e-08	8.266e-21	3.78e-09	8.346e-11	8.854e-07	9.533e-06	2.782e-11	2.689e-16	9.881e-11	1.303e-14	1.342e-09
17:77392889-77392989	2.016e-09	6.012e-06	1.685e-12	3.222e-12	2.076e-13	1.771e-08	2.404e-13	1.376e-10	7.588e-08	1.641e-16	1.96e-08	1.061e-16	1.036e-09	7.544e-11	3.082e-12	2.841e-19	3.634e-15	1.494e-10	6.15e-13
5:52043310-52043410	3.714e-09	7.285e-10	1.371e-11	1.246e-06	2.294e-12	2.102e-10	8.007e-15	3.339e-10	1.103e-07	3.028e-17	6.71e-09	1.405e-20	6.001e-12	9.956e-10	1.837e-13	6.218e-19	2.022e-16	9.685e-11	4.66e-14
11:69427711-69427811	2.814e-10	3.873e-10	1.351e-10	7.875e-09	8.01e-10	7.826e-12	1.545e-11	2.953e-11	1.359e-08	5.238e-17	6.626e-08	7.7e-17	1.775e-13	8.199e-11	9.552e-11	7.298e-17	1.757e-11	5.512e-09	9.659e-12
18:23461301-23461401	1.584e-10	1.557e-11	5.679e-12	4.57e-17	8.01e-10	1.442e-13	2.451e-16	4.749e-18	2.045e-12	5.238e-17	6.626e-08	5.612e-17	1.775e-13	2.487e-14	9.552e-11	7.298e-17	6.068e-24	2.746e-23	9.659e-12
19:12295115-12295215	1.17e-09	9.244e-11	2.132e-11	1.218e-08	4.819e-09	2.923e-11	7.22e-09	4.491e-10	6.252e-09	1.949e-17	2.906e-08	4.578e-11	1.11e-11	1.002e-09	2.35e-09	1.875e-15	5.978e-13	1.459e-08	3.849e-12
2:162344116-162344216	2.443e-11	1.113e-07	1.317e-10	1.306e-12	4.984e-16	2.31e-10	1.383e-15	1.198e-15	6.015e-12	1.506e-20	9.499e-08	3.848e-19	1.978e-09	1.023e-10	2.548e-11	4.179e-13	6.774e-16	1.602e-14	2.042e-11
1:19274782-19274882	3.947e-12	4.407e-11	1.385e-14	2.027e-08	3.439e-14	3.678e-16	1.806e-13	3.174e-12	4.282e-11	5.045e-21	1.664e-10	3.876e-23	1.42e-14	5.095e-12	1.681e-14	4.098e-19	8.06e-19	6.763e-06	2.066e-16
4:76706912-76707012	2.601e-11	3.666e-11	7.264e-15	2.681e-09	2.351e-12	2.331e-12	6.448e-17	1.438e-12	1.563e-10	4.745e-25	1.241e-11	1.741e-23	5.483e-19	8.6e-14	6.267e-15	2.644e-20	5.552e-21	6.376e-16	1.16e-12
11:48102207-48102307	1.961e-05	4.507e-07	1.736e-10	5.489e-11	1.748e-13	1.038e-09	3.869e-15	2.616e-13	1.826e-10	8.279e-15	3.062e-05	9.582e-18	7.496e-10	2.658e-09	2.699e-10	4.698e-14	1.099e-11	6.429e-09	3.051e-11
1:21659330-21659430	1.841e-07	1.991e-05	1.424e-09	1.482e-13	3.977e-12	2.924e-09	1.665e-10	6.761e-16	7.308e-12	1.187e-18	2.17e-10	1.758e-13	4.683e-15	3.354e-08	1.136e-10	1.886e-12	2.473e-10	2.033e-13	2.278e-09
12:14442657-14442757	5.151e-12	9.481e-13	2.499e-16	3.279e-14	8.176e-16	2.953e-17	7.074e-15	0.0001384	9.556e-05	9.44e-13	1.399e-06	9.349e-17	8.535e-19	1.237e-15	1.318e-11	1.626e-21	7.908e-21	2.729e-13	4.153e-16
2:23207896-23207996	1.965e-07	5.102e-09	2.046e-13	1.237e-10	2.965e-13	2.387e-10	1.062e-07	3.155e-16	1.141e-11	1.145e-15	2.086e-10	1.512e-05	0.0001281	2.882e-13	3.117e-09	1.278e-16	4.328e-16	3.523e-11	6.236e-12
16:68388497-68388597	8.674e-10	3.042e-11	3.283e-12	2.13e-09	1.415e-11	1.807e-10	2.59e-11	3.787e-11	3.908e-11	6.861e-14	0.000129	1.246e-11	1.167e-10	5.36e-11	2.379e-10	5.135e-20	7.185e-12	1.556e-12	4.801e-13
12:12320513-12320613	1.881e-07	2.21e-09	3.126e-11	4.369e-10	5.479e-12	2.918e-11	3.045e-10	2.311e-05	3.183e-05	4.476e-24	1.087e-10	3.638e-15	2.168e-05	4.33e-09	7.753e-11	2.967e-20	3.612e-12	3.967e-13	3.206e-11
4:38865725-38865825	8.107e-11	2.093e-10	4.557e-06	1.978e-09	3.088e-14	5.796e-12	2.08e-13	2.548e-12	2.205e-09	1.538e-08	7.192e-05	1.111e-19	1.835e-13	0.003455	2.65e-12	1.397e-19	5.233e-05	4.168e-10	3.792e-10
6:100881445-100881545	3.174e-10	1.194e-06	3.964e-11	1.695e-13	1.065e-11	4.105e-08	3.937e-16	5.593e-18	4.317e-15	4.815e-17	9.82e-08	4.387e-22	1.206e-14	9.761e-11	4.652e-13	2.454e-18	7.308e-16	9.725e-13	1.448e-10
9:122931683-122931783	1.074e-09	4.123e-11	8.282e-10	5.696e-12	2.239e-12	1.092e-11	6.504e-06	4.004e-13	5.921e-11	7.272e-18	4.753e-08	8.628e-11	1.249e-14	3.615e-09	3.059e-10	1.393e-16	1.247e-11	4.854e-15	1.123e-09
7:106180007-106180107	5.792e-05	1.263e-09	7.716e-08	3.571e-09	2.631e-11	1.059e-09	5.444e-13	2.387e-13	2.604e-10	2.271e-19	7.916e-09	2.649e-16	9.682e-10	1.99e-05	6.146e-09	1.85e-15	1.368e-11	1.301e-13	3.029e-10
2:199315459-199315559	1.121e-09	4.765e-08	5.945e-11	4.072e-11	3.67e-13	5.008e-09	1.743e-15	5.449e-11	5.201e-09	1.26e-19	9.948e-10	3.017e-21	5.608e-12	1.229e-09	4.225e-10	0.002827	7.367e-12	1.122e-10	6.302e-13
2:149587873-149587973	8.26e-10	3.943e-08	2.297e-10	9.686e-11	9.234e-12	3.138e-08	1.59e-10	4.044e-15	2.873e-12	9.993e-19	1.46e-08	2.162e-14	1.05e-12	4.297e-11	8.982e-11	2.796e-18	4.985e-14	3.575e-12	1.357e-13
3:191430469-191430569	9.491e-12	3.015e-13	1.449e-12	4.387e-09	1.011e-13	2.696e-13	4.321e-13	2.542e-10	1.512e-07	3.787e-18	9.849e-09	2.095e-18	2.483e-13	2.088e-11	1.422e-11	2.198e-15	1.064e-15	8.078e-12	1.371e-13
12:26523454-26523554	3.875e-11	4.256e-13	4.377e-14	1.716e-06	1.902e-15	3.425e-12	8.551e-17	2.721e-10	2.352e-08	2.619e-18	1.132e-08	1.335e-19	1.91e-06	9.257e-12	1.083e-12	5.074e-17	2.537e-17	2.621e-08	4.44e-15
12:129050058-129050158	7.992e-10	1.302e-09	1.537e-09	9.993e-10	1.199e-11	1.378e-11	4.42e-09	3.389e-05	1.564e-05	8.822e-21	2.694e-09	1.483e-08	1.757e-05	5.82e-11	3.761e-08	0.005792	4.186e-14	1.799e-09	1.941e-10
7:134986189-134986289	1.024e-06	4.12e-08	3.417e-08	1.407e-07	3.441e-12	8.086e-10	8.367e-08	4.729e-10	1.272e-06	1.619e-16	1.021e-07	5.518e-16	2.32e-09	1.091e-06	7.612e-11	2.452e-16	5.682e-06	1.85e-13	1.153e-12
2:102044536-102044636	6.062e-07	1.408e-10	1.619e-10	5.126e-09	3.639e-11	4.876e-13	1.798e-12	3.65e-06	3.022e-06	6.228e-15	3.392e-08	1.02e-16	5.007e-12	5.864e-08	6.298e-13	2.436e-18	1.998e-12	2.578e-11	5.392e-12
9:27574469-27574569	2.717e-09	7.431e-12	2.796e-09	1.013e-09	3.925e-13	2.898e-12	4.63e-11	2.522e-06	1.252e-07	4.812e-16	1.28e-06	5.131e-13	3.66e-06	8.826e-08	3.373e-07	4.644e-18	9.846e-15	2.149e-08	4.174e-12
4:3408319-3408419	7.619e-09	3.573e-09	1.206e-10	8.848e-05	3.851e-15	6.384e-11	2.462e-10	3.709e-08	2.551e-08	6.168e-20	4.583e-09	3.698e-16	7.052e-13	3.377e-08	3.259e-10	2.381e-19	9.314e-10	1.474e-06	2.935e-10
6:151616546-151616646	7.308e-10	1.805e-10	1.521e-13	4.061e-09	3.221e-14	4.261e-11	7.158e-15	1.13e-12	1.466e-09	3.554e-12	1.104e-07	5.81e-18	1.143e-09	1.207e-08	1.881e-12	7.953e-15	4.004e-10	2.841e-11	1.405e-13
2:231782291-231782391	3.737e-10	3.193e-10	9.335e-11	7.68e-11	5.957e-13	2.409e-13	1.192e-13	6.043e-05	4.681e-05	2.202e-22	3.607e-10	2.13e-17	3.005e-11	1.167e-10	1.983e-08	1.769e-20	2.845e-16	2.058e-14	1.304e-09
21:33245576-33245676	1.827e-06	2.485e-11	1.127e-10	4.754e-07	1.051e-13	8.323e-12	3.189e-11	1.912e-12	2.196e-10	2.076e-13	5.668e-08	8.624e-17	5.982e-08	5.253e-12	4.071e-11	2.491e-14	7.728e-16	3.498e-08	1.323e-10
X:2498566-2498666	1.451e-08	9.888e-09	8.066e-10	2.59e-06	6.373e-12	1.314e-10	1.733e-13	8.838e-09	5.698e-06	1.388e-17	3.64e-11	3.877e-13	1.417e-08	9.509e-10	1.099e-10	1.323e-19	3.451e-17	2.68e-10	1.205e-12
17:42894621-42894721	9.892e-08	2.318e-11	7.667e-09	1.077e-09	1.006e-12	1.187e-13	3.088e-12	2.324e-09	1.607e-07	1.043e-11	0.0002702	1.049e-12	6.884e-13	1.925e-07	5.563e-13	8.984e-14	3.338e-09	6.993e-12	1.196e-12
13:94330651-94330751	9.8e-10	3.86e-13	2.379e-13	5.096e-08	3.142e-14	2.111e-14	2.13e-12	4.342e-06	8.208e-06	1.012e-15	4.89e-06	5.982e-17	1.244e-10	1.9e-10	7.17e-12	9.784e-18	3.793e-16	1.498e-10	4.094e-14
2:18971217-18971317	5.765e-11	4.441e-09	3.355e-08	1.909e-10	7.58e-11	1.686e-11	1.156e-13	2.814e-12	7.581e-10	6.409e-20	1.252e-09	3.674e-18	9.523e-12	8.884e-07	9.455e-13	2.562e-15	7.452e-13	1.703e-09	1.73e-10
10:73414394-73414494	9.464e-08	2.485e-10	9.034e-10	1.735e-11	1.733e-12	2.807e-11	2.397e-12	3.791e-13	3.574e-09	5.408e-15	3.518e-08	9.442e-18	1.205e-14	3.317e-10	7.441e-14	3.023e-19	4.033e-12	4.225e-09	9.041e-12
10:33197069-33197169	8.908e-08	1.096e-09	1.735e-11	2.438e-11	1.208e-11	1.048e-11	1.478e-13	3.623e-10	1.076e-09	5.262e-20	7.474e-10	1.235e-18	2.604e-08	6.797e-10	1.407e-12	1.395e-17	1.806e-14	2.739e-14	4.016e-11
3:65946754-65946854	7.022e-09	8.579e-11	1.958e-07	2.302e-11	4.6e-10	1.154e-12	1.181e-12	1.131e-08	1.501e-07	7.429e-22	6.999e-11	1.344e-11	7.169e-11	2.993e-06	1.997e-09	1.386e-19	1.05e-10	3.734e-12	7.975e-11
2:128091142-128091242	6.364e-09	0.0008412	1.707e-10	7.026e-10	1.486e-07	0.0003411	1.194e-14	1.252e-13	1.766e-09	1.194e-18	9.999e-11	2.946e-19	1.746e-12	1.39e-10	1.521e-11	7.581e-17	1.496e-12	4.976e-09	8.274e-11
7:138086927-138087027	2.544e-08	6.196e-13	4.719e-11	6.654e-09	1.782e-15	3.131e-13	1.357e-06	1.308e-09	2.15e-07	2.389e-20	2.464e-08	1.129e-10	4.954e-09	1.117e-08	2.314e-11	2.913e-21	5.38e-14	4.055e-09	8.453e-14
5:149641470-149641570	1.562e-10	1.267e-09	1.08e-09	2.345e-11	1.003e-09	5.606e-11	1.02e-11	3.373e-15	2.819e-12	1.677e-12	1.295e-06	1.536e-15	2.647e-06	1.142e-07	9.789e-13	2.608e-14	5.809e-12	4.811e-15	1.442e-11
3:52771371-52771471	1.041e-16	2.564e-19	3.472e-14	1.486e-17	1.003e-09	3.86e-16	3.907e-18	4.207e-22	9.494e-15	1.677e-12	1.295e-06	1.333e-40	2.647e-06	4.911e-15	9.789e-13	2.608e-14	3.635e-22	4.811e-15	1.442e-11
X:9889283-9889383	4.781e-11	1.648e-11	2.325e-11	0.0003694	2.824e-11	1.47e-13	3.69e-15	9.299e-14	2.969e-10	1.118e-19	2.768e-08	2.358e-23	1.299e-10	1.815e-08	3.128e-12	4.008e-20	2.921e-10	9.112e-13	2.444e-15
1:61076614-61076714	1.023e-06	5.804e-11	7.986e-10	5.757e-08	3.829e-12	6.245e-12	1.164e-13	1.062e-11	1.831e-08	3.134e-17	3.013e-08	1.925e-17	9.517e-16	2.877e-10	2.634e-11	1.346e-15	1.099e-10	2.42e-10	3.615e-11
17:40111282-40111382	3.103e-07	9.354e-07	9.585e-12	4.598e-08	3.913e-12	4.873e-10	3.514e-08	8.672e-10	4.141e-09	8.113e-16	1.041e-08	1.825e-10	2.956e-08	1.822e-10	2.188e-11	6.75e-20	2.534e-15	2.562e-10	5.261e-10
X:31527822-31527922	9.046e-11	1.755e-14	4.687e-10	5.862e-13	3.064e-21	6.468e-12	1.375e-10	7.301e-08	9.908e-09	5.442e-22	9.748e-13	1.86e-11	5.625e-20	4.568e-12	1.284e-14	2.13e-15	3.344e-16	3.903e-17	1.903e-12
15:40038464-40038564	3.951e-07	2.64e-11	2.713e-09	5.292e-06	7.136e-13	1.478e-12	6.618e-12	5.913e-11	1.536e-08	3.774e-22	2.433e-11	3.122e-14	1.288e-05	2.755e-09	3.353e-11	3.44e-16	4.033e-12	9.824e-13	5.035e-09
12:6766262-6766362	6.691e-13	6.632e-08	3.33e-11	1.021e-11	9.376e-12	4.572e-11	1.72e-10	9.085e-21	2.714e-14	8.536e-23	1.639e-10	1.673e-17	1.915e-14	2.493e-09	1.729e-13	2.275e-16	3.159e-13	4.761e-14	3.626e-10
8:35107171-35107271	9.592e-06	2.057e-12	7.501e-10	6.477e-10	5.141e-12	1.471e-13	7.471e-08	1.48e-10	1.118e-07	8.485e-16	8.119e-07	1.849e-12	6.046e-13	1.787e-08	3.168e-11	1.708e-18	3.596e-11	1.426e-09	9.649e-11
13:110600826-110600926	1.04e-11	7.217e-09	1.559e-10	1.783e-10	3.615e-13	3.686e-10	2.981e-12	2.347e-09	1.324e-08	4.82e-22	2.212e-09	2.842e-19	3.949e-15	6.068e-10	3.833e-12	3.934e-18	5.827e-19	7.766e-15	5.83e-10
12:122974789-122974889	2.219e-10	8.766e-09	2.868e-10	9.154e-12	5.881e-09	1.1e-09	4.065e-12	5.476e-13	2.224e-09	6.958e-17	6.71e-08	4.824e-17	3.419e-11	6.26e-10	5.891e-12	1.109e-15	1.904e-13	2.109e-13	1.107e-09
18:3257237-3257337	2.286e-09	4.747e-15	4.683e-10	2.669e-16	4.348e-16	1.257e-15	5.287e-09	1.494e-19	2.285e-14	3.904e-21	2.733e-06	1.034e-10	2.363e-12	2.035e-07	3.106e-10	4.693e-21	4.897e-13	1.12e-14	2.271e-10
2:207530159-207530259	5.706e-13	6.047e-09	2.87e-09	7.356e-15	4.935e-10	1.967e-09	2.931e-18	1.043e-15	5.095e-10	2.454e-17	7.701e-09	2.373e-25	8.253e-20	2.76e-09	1.661e-15	5.266e-19	8.362e-14	4.764e-14	1.948e-07
19:58520047-58520147	1.804e-10	3.896e-08	2.132e-08	7.486e-10	1.937e-12	1.071e-09	5.864e-11	1.458e-13	4.95e-10	1.145e-15	1.025e-08	7.513e-13	3.102e-12	1.881e-06	8.746e-10	2.208e-14	1.649e-10	1.212e-10	3.035e-12
10:59078342-59078442	2.315e-09	5.878e-11	9.192e-11	1.499e-10	1.136e-11	2.579e-11	1.2e-12	5.491e-11	9.8e-09	7.047e-21	3.129e-10	1.441e-14	5.706e-10	3.229e-10	1.685e-10	4.507e-19	1.562e-12	4.854e-13	1.366e-14
1:25873332-25873432	6.227e-09	1.883e-11	7.233e-11	4.805e-11	1.448e-11	3.851e-13	8.096e-08	5.145e-14	6.719e-10	3.868e-16	4.351e-08	5.983e-11	4.229e-12	4.397e-10	1.074e-10	4.956e-13	4.242e-10	5.279e-14	6.697e-13
11:108136660-108136760	2.748e-08	5.115e-11	8.516e-12	1.145e-08	7.373e-12	8.491e-12	6.83e-13	3.479e-10	5.697e-07	5.441e-21	6.251e-10	4.105e-16	1.671e-11	1.063e-12	3.874e-12	5.724e-15	8.963e-16	3.893e-11	2.849e-14
11:316570-316670	5.926e-12	6.109e-10	2.864e-13	8.489e-09	2.149e-10	3.13e-14	2.727e-16	4.691e-10	7.044e-09	2.749e-25	1.504e-10	6.341e-19	1.301e-15	2.974e-11	2.922e-14	5.646e-26	1.073e-17	1.514e-14	1.781e-17
5:141526034-141526134	2.866e-08	1.303e-09	1.086e-12	5.013e-13	3.571e-10	1.651e-13	1.421e-13	6.38e-16	1.558e-11	1.16e-21	1.008e-08	3.639e-16	1.074e-08	9.111e-11	1.801e-11	5.165e-13	4.056e-17	3.168e-11	1.706e-10
15:37873039-37873139	1.399e-07	1.305e-09	1.196e-11	1.519e-09	1.285e-13	3.415e-13	1.354e-12	3.95e-07	2.032e-07	6.146e-16	1.302e-08	2.249e-16	2.592e-11	6.65e-10	8.841e-11	3.291e-20	2.303e-11	3.235e-14	4.058e-13
17:17972803-17972903	1.24e-06	5.571e-08	0.007703	4.216e-07	7.068e-12	4.721e-09	2.009e-10	2.733e-11	6.177e-09	1.009e-12	3.353e-08	9.701e-12	5.278e-13	0.0003078	1.418e-09	1.043e-18	0.00946	6.927e-11	5.827e-09
17:19672391-19672491	5.288e-10	1.174e-08	2.091e-12	2.947e-07	8.7e-11	7.746e-12	4.2e-12	8.415e-14	1.218e-09	4.422e-16	7.408e-07	3.099e-16	1.793e-12	5.614e-11	6.902e-13	3.272e-18	5.325e-13	1.529e-14	2.092e-11
22:50147206-50147306	6.106e-13	3.199e-09	5.519e-12	6.147e-15	2e-12	2.376e-12	1.908e-12	1.057e-12	1.095e-10	1.091e-22	1.189e-09	9.128e-18	8.903e-14	8.265e-12	2.461e-10	9.5e-13	1.382e-17	1.363e-13	5.877e-13
X:28225667-28225767	1.151e-09	2.721e-11	2.285e-09	7.616e-11	4.227e-13	2.143e-12	0.0001838	2.123e-10	1.418e-09	0.001545	0.007589	2.414e-06	9.569e-09	8.981e-09	1.363e-08	5.597e-15	1.105e-11	1.43e-12	4.243e-06
12:122500537-122500637	1.106e-13	4.57e-13	3.225e-13	1.564e-13	2.495e-12	2.289e-11	1.39e-15	2.444e-17	2.927e-13	2.041e-26	4.647e-13	1.382e-22	1.731e-17	8.465e-12	1.254e-14	7.529e-17	9.657e-18	3.961e-13	3.168e-07
3:182890308-182890408	9.306e-10	8.032e-13	3.285e-11	9.903e-05	1.257e-15	5.246e-13	1.275e-14	1.553e-09	3.324e-09	5.15e-21	1.729e-09	3.656e-19	9.034e-15	6.152e-10	4.223e-14	1.165e-21	2.117e-16	5.412e-13	5.477e-14
19:17539728-17539828	8.709e-12	3.142e-07	4.196e-12	2.065e-10	3.158e-20	3.437e-10	1.404e-12	6.159e-15	3.856e-09	5.309e-21	5.508e-11	1.829e-24	4.573e-18	1.114e-13	1.85e-13	3.727e-30	5.578e-18	2.899e-12	1.006e-15
1:31880722-31880822	3.931e-10	1.522e-08	3.28e-10	1.741e-11	4.329e-07	8.233e-11	3.485e-13	7.868e-15	1.505e-11	2.872e-19	4.304e-09	3.202e-13	2.453e-12	1.276e-08	1.093e-11	6.373e-17	9.02e-13	1.273e-11	4.829e-12
5:132496234-132496334	1.146e-10	9.696e-06	3.143e-10	2.893e-14	6.607e-11	6.627e-09	1.636e-08	9.521e-13	3.568e-11	5.829e-21	1.705e-10	5.325e-11	1.068e-11	9.364e-10	1.501e-09	3.002e-14	1.786e-14	1.705e-09	1.652e-10
15:63939937-63940037	1.104e-10	2.016e-08	5.881e-09	7.282e-06	5.366e-13	4.08e-10	1.291e-10	2.674e-10	1.181e-07	1.937e-19	2.272e-11	2.684e-16	5.215e-10	4.154e-07	3.538e-08	6.317e-16	2.131e-08	3.536e-11	8.231e-11
