SEQID	ATF3	GABPA	BHLHE40	CEBPB	CTCF	ELK1	FOSL2	FOXA1	FOXA2	HNF4A	HNF4G	JUND	MAFK	MAX	NFE2L2	REST	USF2	YY1	ZBTB33
2:63663669-63663769	5.936e-08	2.356e-12	5.147e-11	2.35e-07	4.153e-14	1.401e-12	1.495e-10	1.528e-12	1.523e-10	4.937e-16	1.285e-10	1.738e-11	4.36e-07	2.083e-09	4.413e-12	3.815e-18	1.857e-14	3.005e-11	1.494e-12
12:115943873-115943973	3.017e-08	3.105e-09	6.735e-09	6.054e-11	2.604e-12	2.303e-11	6.445e-13	5.003e-09	4.495e-09	2.32e-20	3.461e-11	1.018e-13	4.514e-11	1.911e-07	1.525e-12	4.336e-17	5.809e-06	3.059e-10	2.423e-11
17:82108312-82108412	2.092e-10	3.089e-08	5.124e-13	3.776e-12	6.11e-14	7.615e-10	2.157e-13	6.745e-13	1.146e-09	1.96e-18	2.817e-10	4.208e-16	1.693e-11	2.338e-12	8.892e-12	6.692e-14	2.65e-15	4.324e-13	6.479e-12
5:172765859-172765959	3.757e-10	1.169e-08	4.562e-10	4.928e-08	3.349e-11	1.762e-11	3.17e-08	8.164e-11	2.499e-09	5.075e-17	4.142e-07	6.116e-12	2.043e-13	1.477e-10	2.042e-10	4.504e-15	1.903e-15	1.991e-10	2.41e-12
9:37928251-37928351	6.057e-07	1.223e-10	6.138e-09	3.157e-08	1.77e-12	3.775e-10	2.633e-12	5.22e-05	4.287e-05	2.332e-19	6.672e-08	2.411e-17	1.296e-11	1.107e-06	4.432e-11	7.456e-16	4.638e-07	1.076e-08	6.28e-10
2:207898125-207898225	4.55e-10	6.922e-09	1.099e-13	9.371e-11	5.181e-12	7.448e-10	4.428e-16	9.986e-16	3.403e-11	1.698e-22	1.475e-09	3.952e-18	2.629e-15	1.688e-12	6.68e-11	3.415e-20	2.668e-19	9.805e-11	4.859e-15
17:57561689-57561789	1.077e-11	4.124e-09	1.098e-08	4.261e-12	1.988e-10	1.586e-11	6.847e-14	6.254e-13	7.978e-11	2.488e-19	1.454e-09	6.243e-18	1.926e-13	1.497e-06	3.025e-10	1.237e-17	5.306e-06	1.758e-07	7.86e-11
1:25871275-25871375	1.424e-08	1.543e-08	4.129e-08	2.586e-11	9.973e-11	1.69e-11	6.618e-08	1.058e-16	4.896e-12	1.055e-19	2.254e-08	1.197e-12	1.023e-08	2.201e-06	4.325e-09	2.203e-14	2.902e-10	8.792e-13	2.691e-08
11:130232492-130232592	1.078e-06	1.25e-11	6.895e-13	1.43e-10	1.917e-15	1.59e-12	0.001298	3.621e-12	1.49e-09	2.654e-15	1.239e-08	0.003557	1.204e-10	2.349e-12	6.417e-09	5.506e-20	2.269e-18	3.733e-14	3.82e-11
1:225694416-225694516	8.763e-09	7.428e-10	2.697e-11	3.685e-11	4.07e-11	1.213e-10	1.462e-13	1.196e-11	2.352e-09	4.34e-18	2.527e-08	5.181e-19	2.21e-12	1.893e-09	1.041e-09	3.459e-15	5.612e-11	3.138e-10	7.488e-14
5:96333178-96333278	1.515e-09	9.088e-07	2.538e-10	4.39e-15	1.733e-12	1.955e-09	5.781e-09	9.002e-10	2.197e-08	6.242e-21	2.428e-09	2.732e-10	2.337e-10	9.758e-10	3.502e-12	1.568e-15	5.683e-12	8.222e-17	4.128e-10
6:149546329-149546429	7.237e-10	2.981e-08	1.592e-10	4.369e-12	0.008813	4.743e-11	1.054e-13	9.09e-14	8.097e-12	3.025e-19	9.024e-11	2.415e-16	2.691e-14	1.022e-08	1.2e-12	3.032e-17	1.837e-12	2.445e-09	8.1e-09
1:161224491-161224591	1.056e-09	6.346e-13	5.083e-12	4.747e-11	1.87e-12	1.337e-13	8.1e-13	2.715e-11	2.001e-08	1.597e-14	2.241e-08	2.533e-14	3.08e-10	1.352e-09	2.069e-12	4.304e-19	4.005e-12	6.394e-11	2.253e-13
10:110141519-110141619	1.181e-08	5.787e-11	6.402e-10	4.578e-09	8.562e-14	1.683e-11	2.906e-15	2.431e-10	5.21e-08	2.95e-17	9.452e-07	2.745e-19	1.06e-13	1.111e-10	1.18e-14	4.699e-21	1.292e-11	2.923e-12	5.518e-14
13:113122957-113123057	9.539e-10	2.162e-08	5.748e-12	1.047e-09	1.682e-10	4.574e-09	7.943e-16	4.396e-12	1.874e-10	9.486e-22	8.375e-09	1.299e-22	1.501e-09	2.749e-11	1.454e-12	4.537e-14	3.551e-14	4.639e-13	7.865e-12
2:211094085-211094185	2.555e-12	2.236e-16	1.532e-12	1.31e-15	1.682e-10	6.843e-13	6.878e-23	1.926e-18	1.982e-13	9.486e-22	8.375e-09	5.015e-30	1.501e-09	1.509e-08	1.454e-12	4.537e-14	4.764e-18	2.525e-20	7.865e-12
11:72787571-72787671	1.911e-09	1.762e-07	4.627e-09	1.2e-10	1.042e-10	1.031e-08	3.299e-11	6.653e-15	8.142e-11	4.834e-17	1.708e-08	1.183e-15	1.25e-13	8.686e-10	1.169e-13	4.786e-19	1.997e-12	1.467e-12	6.122e-10
14:68143556-68143656	3.882e-11	1.394e-09	8.072e-11	8.963e-12	3.099e-14	4.548e-10	1.92e-15	3.084e-11	3.124e-09	4.607e-17	7.662e-06	6.551e-22	2.602e-14	1.234e-09	6.168e-13	2.208e-09	2.823e-16	1.166e-11	1.354e-10
5:90915618-90915718	2.855e-10	4.636e-12	1.993e-10	1.513e-10	1.118e-10	9.732e-13	3.436e-07	5.68e-13	9.32e-11	2.051e-18	1.151e-09	1.371e-11	8.132e-09	1.029e-09	3.957e-11	6.102e-17	9.719e-16	3.217e-12	7.788e-12
1:57019659-57019759	5.892e-11	1.964e-10	1.067e-10	2e-10	1.019e-07	6.936e-13	3.55e-15	0.0001528	0.0001058	1.253e-17	1.043e-09	3.381e-18	1.636e-11	4.082e-07	1.784e-11	6.101e-20	1.338e-09	5.346e-13	1.147e-12
15:57115111-57115211	8.744e-09	3.846e-10	7.318e-13	3.281e-10	1.015e-14	4.058e-10	4.536e-12	5.016e-09	9.185e-07	7.04e-06	0.002548	5.915e-18	1.843e-13	8.054e-12	8.001e-12	2.741e-15	5.873e-16	6.907e-10	1.332e-12
1:177702101-177702201	1.917e-09	3.497e-13	3.343e-10	2.228e-14	1e-13	1.563e-12	1.237e-10	2.634e-13	2.495e-09	1.65e-13	9.383e-09	2.867e-16	5.331e-14	3.873e-09	1.246e-08	4.138e-22	1.579e-14	1.444e-17	4.6e-14
2:9337122-9337222	1.133e-10	6.868e-12	6.486e-10	1.485e-09	2.581e-12	2.587e-12	1.369e-10	5.882e-10	7.074e-08	2.687e-22	6.4e-10	5.957e-17	9.812e-15	8.82e-09	3.996e-13	1.524e-18	2.403e-10	6.47e-13	2.443e-13
7:73855955-73856055	4.995e-11	8.756e-10	1.435e-08	1.623e-10	1.637e-11	3.271e-11	1.7e-07	2.753e-12	3.584e-09	1.15e-14	2.831e-07	9.654e-08	1.619e-05	5.198e-09	2.531e-07	3.704e-11	6.132e-14	6.723e-11	1.506e-07
4:140229402-140229502	1.183e-08	2.815e-10	5.116e-12	6.543e-10	2.459e-12	1.461e-13	1.528e-11	7.625e-15	6.067e-10	2.543e-19	3.251e-11	5.763e-17	2.079e-07	1.719e-10	3.534e-12	3.336e-15	2.001e-13	1.439e-08	1.173e-10
6:47448073-47448173	1.119e-10	7.62e-12	6.799e-12	9.783e-08	7.078e-14	2.044e-14	1.526e-11	7.364e-13	1.414e-09	2.277e-17	9.086e-08	4.454e-15	7.64e-10	5.453e-12	8.018e-13	1.248e-17	4.865e-18	5.189e-13	2.331e-13
5:80632219-80632319	1.018e-08	2.24e-10	1.74e-09	2.92e-10	1.206e-14	1.275e-10	7.257e-09	6.713e-11	8.32e-09	3.539e-18	2.788e-10	2.815e-11	3.83e-13	2.449e-10	9.684e-13	2.438e-19	4.487e-12	1.654e-10	2.651e-10
4:153567130-153567230	1.157e-08	1.631e-06	2.312e-10	1.517e-05	2.151e-13	7.27e-11	1.9e-13	2.277e-14	8.543e-11	1.269e-16	3.191e-08	2.026e-17	1.664e-06	7.875e-09	3.531e-12	1.199e-15	7.938e-11	6.11e-07	3.118e-14
5:136094811-136094911	2.568e-09	9.769e-11	2.207e-10	5.222e-12	1.407e-12	1.945e-12	3.523e-10	2.128e-10	2.914e-07	1.183e-16	1.485e-09	9.127e-14	3.254e-13	1.717e-08	3.86e-10	2.481e-17	9.283e-12	1.133e-12	1.096e-12
6:111534720-111534820	6.641e-10	3.737e-09	1.584e-13	7.274e-10	1.292e-16	2.822e-11	3.795e-12	3.279e-06	1.187e-06	5.196e-19	1.273e-09	4.335e-17	4.476e-08	1.718e-10	7.711e-13	7.057e-16	2.099e-16	1.275e-11	4.518e-12
20:42702350-42702450	6.675e-11	1.546e-06	1.664e-12	4.682e-12	3.616e-12	2.569e-09	1.919e-15	1.22e-09	1.866e-09	5.603e-18	2.405e-07	5.011e-18	6.257e-11	6.346e-11	3.587e-11	2.07e-17	8.818e-17	5.711e-10	4.23e-13
8:13139612-13139712	0.0001213	4.508e-10	3.525e-13	7.406e-12	4.53e-11	3.369e-11	8.861e-14	4.58e-06	4.905e-06	5.624e-19	1.712e-09	2.56e-17	1.077e-06	3.711e-11	2.284e-12	1.347e-20	2.692e-16	1.399e-09	1.099e-12
20:25338708-25338808	1.576e-08	5.858e-13	3.094e-12	4.783e-09	2.148e-15	9.241e-14	3.319e-11	1.209e-09	1.762e-09	4.873e-18	6.527e-09	3.831e-16	1.862e-08	3.08e-11	4.973e-14	1.61e-16	4.158e-16	3.23e-08	4.916e-14
1:206973059-206973159	5.999e-10	3.931e-11	4.174e-11	4.249e-09	9.518e-14	2.254e-12	1.654e-10	2.215e-07	6.712e-06	2.517e-18	2.724e-08	1.946e-11	0.0001306	2.674e-10	1.173e-08	9.487e-18	2.805e-11	1.336e-10	8.627e-10
2:16006668-16006768	1.216e-09	1.266e-08	3.346e-10	9.114e-13	1.074e-10	1.281e-10	3.969e-07	6.356e-11	1.236e-08	2.445e-17	6.57e-09	3.032e-10	1.196e-08	1.601e-09	1.134e-06	8.563e-17	6.654e-11	6.938e-07	1.172e-11
17:18191402-18191502	1.784e-09	5.515e-08	6.145e-10	3.833e-09	7.308e-10	8.724e-10	5.969e-11	8.527e-06	1.866e-06	2.391e-15	4.912e-07	3.959e-16	7.971e-10	7.787e-08	7.243e-10	1.56e-17	4.424e-11	1.957e-08	3.387e-11
2:174561654-174561754	9.323e-12	2.188e-10	9.317e-11	4.05e-09	2.642e-12	5.939e-12	1.219e-12	1.138e-10	5.594e-08	1.794e-18	7.106e-09	8.973e-17	8.401e-14	1.09e-09	6.79e-09	1.287e-19	6.069e-16	1.041e-07	8.685e-13
9:97478683-97478783	9.72e-08	3.929e-11	6.034e-13	9.016e-08	1.472e-12	1.968e-10	2.005e-10	0.0005852	0.0001788	1.851e-23	1.518e-10	1.345e-11	0.001448	1.835e-08	1.803e-09	1.179e-20	9.049e-12	6.483e-10	2.451e-15
1:232788618-232788718	1.911e-12	2.448e-08	1.954e-12	9.068e-08	1.75e-12	2.115e-11	3.773e-12	8.435e-12	1.928e-09	1.015e-23	3.32e-07	1.156e-21	2.9e-13	3.033e-10	1.663e-11	3.946e-14	1.015e-16	1.406e-12	9.307e-14
X:120252102-120252202	4.405e-10	3.598e-11	1.584e-10	9.195e-08	6.887e-11	1.871e-12	1.066e-11	9.494e-06	2.051e-06	1.184e-14	1.891e-08	8.337e-17	9.589e-14	1.439e-07	1.033e-11	2.62e-18	4.569e-14	2.962e-09	1.647e-13
10:14536930-14537030	6.523e-08	4.157e-09	1.381e-11	6.792e-09	3.503e-12	5.601e-12	5.295e-12	6.099e-07	1.997e-07	1.188e-19	5.618e-11	3.861e-16	6.411e-13	2.332e-10	7.214e-12	2.856e-16	2.01e-11	6.87e-05	1.871e-11
1:220810248-220810348	5.856e-09	4.088e-11	1.387e-09	5.235e-10	2.6e-07	2.96e-12	3.198e-10	7.206e-16	1.8e-10	1.255e-24	3.322e-11	9.808e-15	1.823e-19	8.068e-08	6.771e-11	1.664e-20	1.174e-09	1.984e-14	5.109e-11
7:155254280-155254380	1.554e-11	1.505e-13	2.345e-08	4.474e-12	1.445e-11	2.686e-13	1.027e-12	5.137e-15	2.709e-11	5.714e-22	8.37e-10	3.304e-18	1.729e-16	2.548e-07	1.73e-14	5.572e-19	4.143e-06	5.413e-19	1.586e-12
22:33579831-33579931	3.803e-10	1.789e-06	5.669e-13	1.487e-10	1.925e-14	8.485e-09	1.257e-12	0.0007404	0.0002626	1.094e-16	1.324e-08	3.567e-17	4.251e-05	2.696e-12	4.695e-10	2.986e-19	4.043e-18	7.731e-11	4.095e-13
2:98796336-98796436	2.209e-09	1.092e-09	5.161e-09	1.412e-09	2.538e-07	4.992e-13	1.178e-12	1.5e-11	1.165e-09	3.341e-20	1.889e-09	1.695e-13	7.88e-08	1.755e-08	3.833e-09	8.609e-17	2.124e-09	6.582e-08	2.271e-07
1:163231143-163231243	9.587e-09	4.873e-12	1.168e-12	6.648e-10	1.077e-12	2.699e-14	2.713e-15	3.173e-11	2.009e-08	1.052e-17	9.395e-10	1.305e-17	9.665e-14	2.185e-08	2.669e-13	4.004e-22	1.05e-12	9.822e-11	9.898e-13
18:21336297-21336397	1.951e-09	1.938e-07	1.277e-06	6.986e-10	2.433e-10	3.065e-09	4.575e-10	6.168e-11	1.083e-08	1.836e-13	6.893e-06	6.809e-15	1.115e-11	1.274e-05	4.042e-11	1.009e-15	1.922e-07	1.317e-11	1.194e-10
10:71348226-71348326	3.211e-08	3.398e-08	6.989e-11	7.71e-10	5.138e-09	1.191e-11	1.06e-13	5.747e-11	1.13e-08	1.945e-11	0.001839	2.051e-18	1.324e-15	1.532e-09	1.716e-13	8.443e-18	5.87e-13	8.329e-09	8.403e-13
2:111193317-111193417	4.492e-10	3.991e-10	7.119e-10	1.292e-13	2.685e-10	5.072e-13	6.04e-13	7.028e-14	3.512e-10	1.216e-18	2.397e-10	5.084e-19	1.911e-10	3.136e-10	8.095e-14	3.037e-17	5.704e-15	5.346e-10	5.21e-12
6:131836980-131837080	1.565e-10	2.758e-09	2.098e-12	1.594e-08	1.696e-10	4.777e-11	6.653e-14	3.873e-10	2.705e-07	2.313e-19	3.719e-07	1.553e-18	2.93e-12	2.92e-10	2.139e-11	9.762e-18	5.623e-15	4.091e-12	1.471e-14
22:41410531-41410631	1.215e-09	3.79e-10	1.753e-09	4.97e-14	5.409e-13	1.754e-11	3.529e-15	8.088e-17	5.062e-12	1.383e-20	2.42e-08	4.119e-18	6.112e-12	4.707e-09	2.423e-11	8.165e-18	4.544e-10	2.462e-08	2.792e-12
10:33156275-33156375	1.093e-06	2.074e-09	6.78e-12	2.563e-06	4.402e-13	2.618e-13	1.171e-05	2.04e-09	3.426e-07	3.49e-17	6.58e-08	2.882e-09	4.727e-13	5.997e-10	5.878e-10	8.893e-17	2.487e-10	2.332e-11	3.65e-13
18:34397499-34397599	1.006e-08	2.657e-11	1.823e-08	2.302e-10	2.618e-14	1.145e-11	1.377e-10	5.365e-10	8.725e-08	1.078e-17	1.809e-08	8.136e-11	2.424e-11	2.047e-09	5.65e-12	1.712e-14	2.361e-12	7.587e-12	6.662e-13
10:64573969-64574069	1.006e-08	2.657e-11	1.823e-08	2.302e-10	2.618e-14	1.145e-11	1.377e-10	5.365e-10	8.725e-08	1.078e-17	1.809e-08	8.136e-11	2.424e-11	2.047e-09	5.65e-12	1.712e-14	2.361e-12	7.587e-12	6.662e-13
2:75571133-75571233	4.636e-07	8.352e-07	3.28e-09	2.596e-13	1.388e-09	5.021e-10	2.426e-15	2.49e-12	3.498e-09	3.354e-21	1.902e-08	4.31e-19	6.319e-10	3.696e-08	3.631e-11	3.079e-18	7.5e-12	2.317e-12	5.938e-10
1:162137180-162137280	1.038e-09	4.955e-10	4.339e-12	4.179e-06	5.504e-14	4.673e-12	3.485e-11	6.955e-12	8.553e-09	2.804e-17	7.212e-10	4.697e-14	1.699e-08	6.726e-09	3.487e-10	5.365e-18	4.324e-11	2.507e-08	2.386e-13
18:23858147-23858247	8.036e-10	8.07e-12	1.123e-10	1.146e-14	1.222e-12	6.192e-14	8.564e-13	1.391e-21	2.923e-15	1.927e-19	6.282e-12	9.496e-16	5.381e-15	3.091e-10	1.741e-12	1.29e-19	4.796e-12	1.137e-13	3.924e-13
12:51025123-51025223	1.14e-05	7.048e-13	6.889e-09	1.542e-10	2.428e-12	2.709e-13	2.912e-08	8.927e-10	2.689e-07	3.968e-12	2.337e-05	1.678e-09	1.57e-09	3.236e-09	4.798e-08	3.978e-18	1.436e-08	6.6e-14	1.13e-09
17:73278503-73278603	2.151e-06	1.337e-12	4.257e-09	5.422e-09	3.45e-12	7.771e-12	1.421e-10	1.304e-10	6.642e-10	6.975e-20	2.827e-07	2.614e-12	1.473e-06	5.7e-07	1.159e-10	2.196e-17	1.376e-09	2.469e-12	1.199e-12
8:120705370-120705470	3.14e-09	1.467e-12	5.686e-13	3.756e-10	4.658e-17	7.387e-12	1.63e-11	1.012e-10	1.017e-07	2.149e-18	3.121e-08	1.556e-14	1.695e-14	4.375e-13	7.901e-12	1.745e-15	2.132e-16	7.092e-15	9.477e-14
22:41091650-41091750	3.976e-13	0.0002398	5.429e-13	7.087e-11	4.52e-08	2.013e-05	6.467e-08	2.156e-17	1.406e-12	2.608e-17	3.837e-10	5.478e-16	7.218e-18	1.436e-11	5.076e-13	3.19e-16	2.312e-16	1.251e-13	5.242e-10
11:15200063-15200163	1.246e-10	2.34e-10	7.753e-10	4.36e-10	1.909e-13	2.893e-12	6.728e-15	6.219e-11	2.007e-08	1.147e-15	1.291e-10	8.817e-18	1.168e-11	3.864e-10	7.948e-13	5.824e-14	6.253e-12	2.402e-12	3.18e-10
1:234918543-234918643	6.88e-07	3.578e-10	6.971e-12	7.049e-11	2.034e-11	3.153e-11	1.634e-12	3.372e-11	2.622e-09	9.866e-12	9.136e-05	1.2e-16	9.717e-11	7.703e-10	8.293e-10	9.345e-16	1.165e-12	1.764e-13	3.393e-13
10:114632446-114632546	1.521e-09	1.827e-10	1.524e-10	1.91e-10	8.5e-15	2.645e-12	6.502e-16	6.92e-06	1.107e-05	2.309e-16	9.2e-09	3.455e-18	6.406e-12	2.767e-11	4.436e-12	3.006e-18	8.993e-18	8.273e-11	1.255e-13
1:1758299-1758399	3.841e-09	4.586e-08	2.144e-09	4.551e-09	1.761e-12	9.748e-09	8.277e-13	4.628e-13	5.008e-11	1.659e-14	1.055e-07	6.45e-16	3.172e-06	1.283e-08	3.088e-12	9.298e-16	2.139e-09	1.049e-12	4.203e-11
3:141413087-141413187	1.301e-11	4.013e-09	5.68e-10	1.358e-10	2.473e-14	1.507e-12	1.067e-12	3.872e-05	3.535e-05	6.89e-17	8.057e-09	5.413e-18	5.398e-09	2.62e-09	2.758e-11	1.459e-17	1.89e-12	1.726e-10	5.885e-15
2:121419640-121419740	2.548e-09	2.01e-10	2.193e-12	5.884e-08	1.044e-12	1.413e-11	1.649e-13	1.708e-09	6.136e-07	7.084e-18	1e-08	3.647e-16	1.461e-09	9.566e-10	1.372e-10	7.814e-19	2.652e-12	2.299e-07	1.389e-10
17:37507478-37507578	2.548e-09	2.01e-10	2.193e-12	5.884e-08	1.044e-12	1.413e-11	1.649e-13	1.708e-09	6.136e-07	7.084e-18	1e-08	3.647e-16	1.461e-09	9.566e-10	1.372e-10	7.814e-19	2.652e-12	2.299e-07	1.389e-10
12:31729470-31729570	8.854e-12	3.729e-11	3.558e-09	8.135e-14	1.375e-13	2.101e-11	8.298e-16	8.659e-17	3.866e-11	1.18e-18	2.971e-11	4.579e-23	5.843e-14	1.551e-08	5.237e-13	6.673e-20	2.944e-17	4.135e-12	1.271e-11
15:84912222-84912322	1.184e-09	1.085e-05	2.576e-13	2.001e-12	8.231e-14	3.007e-07	1.718e-05	2.142e-15	7.39e-11	5.106e-19	1.083e-08	8.213e-05	1.007e-05	6.931e-12	7.204e-10	6.472e-18	1.047e-16	6.69e-13	4.543e-11
4:158672370-158672470	1.306e-05	1.024e-10	1.024e-09	1.172e-10	5.507e-11	2.798e-11	2.161e-13	8.373e-10	4.973e-07	8.379e-16	8.193e-07	2.838e-17	3.396e-10	8.599e-09	1.242e-09	5.625e-17	2.718e-11	1.047e-11	3.134e-08
12:26523964-26524064	1.434e-08	3.094e-09	2.182e-06	3.309e-11	8.777e-12	4.31e-12	1.319e-14	1.844e-09	1.006e-08	1.389e-18	1.709e-08	1.523e-16	2.792e-11	2.064e-05	6.284e-11	2.852e-16	0.0003461	2.558e-08	5.477e-12
16:53837042-53837142	6.437e-10	1.275e-07	3.369e-11	1.529e-09	1.45e-09	1.796e-10	1.856e-15	2.445e-13	1.675e-09	2.325e-19	3.038e-09	1.383e-18	2.549e-13	7.681e-11	6.997e-13	6.015e-18	4.871e-13	1.645e-11	3.561e-14
2:240876782-240876882	2.35e-11	6.426e-08	1.053e-09	1.238e-12	7.421e-14	2.489e-11	2.493e-10	1.122e-15	2.08e-11	1.703e-19	1.612e-10	2.277e-17	2.311e-11	5.034e-09	8.879e-13	1.125e-16	1.169e-11	4.838e-13	4.462e-12
3:45660164-45660264	5.942e-10	3.516e-06	3.401e-10	7.056e-11	1.4e-05	6.026e-09	2.607e-15	1.203e-15	2.296e-10	9.477e-20	1.252e-10	6.156e-22	1.563e-13	1.283e-09	1.014e-11	1.535e-17	6.289e-12	4.525e-11	4.668e-10
18:9073816-9073916	1.71e-09	4.082e-10	4.928e-06	8.811e-05	1.039e-12	2.242e-11	4.669e-10	2.428e-06	1.89e-06	2.715e-16	4.539e-08	8.398e-12	7.587e-14	0.001674	1.897e-09	3.214e-19	2.968e-06	4.221e-12	3.493e-11
16:58634796-58634896	2.324e-10	1.342e-11	3.451e-10	1.987e-07	3.372e-13	1.542e-09	0.0001375	1.273e-11	8.189e-09	1.378e-21	2.571e-10	3.064e-06	2.088e-05	4.129e-10	2.32e-07	2.152e-18	1.056e-10	1.061e-11	8.059e-14
15:50226251-50226351	1.623e-07	1.114e-09	7.175e-13	2.748e-05	2.753e-14	1.087e-12	2.119e-13	8.512e-12	1.085e-09	4.881e-21	2.556e-11	1.612e-18	1.877e-08	6.534e-11	2.641e-11	1.174e-20	3.196e-15	8.283e-10	3.941e-13
14:69081646-69081746	3.172e-08	5.13e-12	1.658e-12	2.64e-13	2.159e-14	2.697e-12	2.173e-15	1.032e-09	3.366e-08	5.583e-18	4.281e-07	7.949e-23	1.306e-14	1.801e-09	6.175e-10	2.721e-19	2.34e-11	2.842e-13	1.658e-14
2:2046906-2047006	4.477e-07	5.626e-11	6.334e-11	1.536e-08	2.359e-09	4.426e-12	3.161e-10	2.102e-15	1.488e-10	2.434e-19	2.109e-10	8.172e-15	1.068e-17	2.119e-07	1.369e-14	1.194e-19	9.661e-17	1.572e-11	1.457e-13
2:208266207-208266307	3.027e-10	4.197e-05	1.727e-12	2.856e-08	5.053e-09	5.752e-08	1.248e-12	7.466e-12	5.934e-08	6.342e-13	4.24e-07	8.824e-17	2.296e-06	5.729e-11	1.213e-11	1.308e-17	1.73e-10	4.11e-10	7.737e-10
7:24757907-24758007	7.527e-11	3.023e-10	7e-06	3.208e-10	1.327e-13	1.422e-10	6.345e-05	1.069e-06	4.569e-07	4.919e-17	9.939e-11	0.0001099	1.165e-10	5.272e-08	5.727e-12	1.773e-16	1.126e-12	1.452e-14	2.489e-12
11:107409065-107409165	6.058e-07	1.94e-11	1.696e-08	3.351e-10	2.81e-14	1.471e-12	3.697e-11	1.262e-11	2.773e-09	5.182e-16	1.826e-07	2.365e-12	8.306e-14	1.725e-08	1.192e-10	3.874e-18	6.575e-14	1.194e-14	2.211e-12
12:24038603-24038703	1.384e-07	3.605e-10	1.785e-11	9.926e-10	4.295e-13	1.246e-10	1.619e-12	1.244e-11	6.717e-09	2.298e-19	6.913e-10	2.233e-18	2.723e-13	1.31e-08	2.249e-14	5.595e-21	1.703e-10	1.096e-08	1.918e-12
13:112929213-112929313	5.575e-11	6.131e-11	5.887e-10	5.26e-11	3.838e-11	3.474e-13	1.844e-10	0.0004033	4.604e-05	5.448e-16	5.739e-07	2.498e-12	3.318e-11	4.442e-10	1.077e-12	7.361e-18	4.004e-15	2.729e-08	1.185e-12
15:96596296-96596396	1.088e-09	4.619e-10	6.386e-08	4.237e-10	1.616e-11	5.09e-13	4.212e-10	4.853e-06	9.881e-06	1.204e-17	3.955e-09	9.516e-11	1.488e-11	9.53e-06	1.771e-11	4.059e-09	6.389e-11	6.456e-12	6.855e-12
