TF:	CEBPB
7	MAX	0.0522063
8	CEBPB	0.0540036
9	ATF3	0.0560166
10	JUND	0.0563766
11	MAFK	0.0566893
12	USF2	0.0573576
13	BHLHE40	0.0595876
14	ELK1	0.0599699
15	GABPA	0.0691973
16	YY1	0.094915
17	CTCF	0.0963428
18	ZBTB33	0.0977236
19	REST	0.119217

TF:	USF2
.	predicted Motif	score

1	CEBPB	0.0305149
2	GABPA	0.0352816
3	MAFK	0.0430331
4	FOXA1	0.0431672
5	FOXA2	0.0452605
6	ELK1	0.0464894
7	NFE2L2	0.0495325
8	YY1	0.051366
9	REST	0.0516898
10	CTCF	0.05229
11	ATF3	0.0550781
12	FOSL2	0.0566464
13	JUND	0.0614357
14	ZBTB33	0.0671977
15	HNF4G	0.0687185
16	HNF4A	0.0693983
17	USF2	0.0879626
18	MAX	0.0949604
19	BHLHE40	0.0992215

TF:	BHLHE40
.	predicted Motif	score

1	CEBPB	0.0305149
2	GABPA	0.0352816
3	MAFK	0.0430331
4	FOXA1	0.0431672
5	FOXA2	0.0452605
6	ELK1	0.0464894
7	NFE2L2	0.0495325
8	YY1	0.051366
9	REST	0.0516898
10	CTCF	0.05229
11	ATF3	0.0550781
12	FOSL2	0.0566464
13	JUND	0.0614357
14	ZBTB33	0.0671977
15	HNF4G	0.0687185
16	HNF4A	0.0693983
17	USF2	0.0879626
18	MAX	0.0949604
19	BHLHE40	0.0992215

TF:	FOS
.	predicted Motif	score

1	HNF4G	0.0307686
2	GABPA	0.0319398
3	ELK1	0.0360915
4	HNF4A	0.0384706
5	CTCF	0.0406323
6	YY1	0.042241
7	ZBTB33	0.0464467
8	FOXA2	0.0470823
9	FOXA1	0.0474143
10	REST	0.0522941
11	USF2	0.06857
12	MAX	0.086202
13	BHLHE40	0.0863906
14	ATF3	0.0915636
15	CEBPB	0.0934561
16	MAFK	0.0996599
17	FOSL2	0.105219
18	NFE2L2	0.106421
19	JUND	0.116831

TF:	HNF4A
.	predicted Motif	score

1	CEBPB	0.0305197
2	ELK1	0.0385786
3	YY1	0.0401487
4	MAX	0.0410938
5	ZBTB33	0.0430537
6	GABPA	0.0435221
7	BHLHE40	0.0513131
8	USF2	0.0523728
9	MAFK	0.0536056
10	FOXA1	0.0554573
11	FOSL2	0.0557287
12	FOXA2	0.0558192
13	NFE2L2	0.0575098
14	REST	0.0577973
15	JUND	0.0580599
16	CTCF	0.0594083
17	ATF3	0.0594806
18	HNF4G	0.0919146
19	HNF4A	0.101384

TF:	YY1
.	predicted Motif	score

1	NFE2L2	0.0445183
2	HNF4A	0.0477435
3	FOSL2	0.0485647
4	FOXA1	0.0488528
5	FOXA2	0.0499934
6	HNF4G	0.0505811
7	MAX	0.0522063
8	CEBPB	0.0540036
9	ATF3	0.0560166
10	JUND	0.0563766
11	MAFK	0.0566893
12	USF2	0.0573576
13	BHLHE40	0.0595876
14	ELK1	0.0599699
15	GABPA	0.0691973
16	YY1	0.094915
17	CTCF	0.0963428
18	ZBTB33	0.0977236
19	REST	0.119217

TF:	ZBTB33
.	predicted Motif	score

1	NFE2L2	0.0445183
2	HNF4A	0.0477435
3	FOSL2	0.0485647
4	FOXA1	0.0488528
5	FOXA2	0.0499934
6	HNF4G	0.0505811
7	MAX	0.0522063
8	CEBPB	0.0540036
9	ATF3	0.0560166
10	JUND	0.0563766
11	MAFK	0.0566893
12	USF2	0.0573576
13	BHLHE40	0.0595876
14	ELK1	0.0599699
15	GABPA	0.0691973
16	YY1	0.094915
17	CTCF	0.0963428
18	ZBTB33	0.0977236
19	REST	0.119217

TF:	ATF3
.	predicted Motif	score

1	HNF4G	0.0307686
2	GABPA	0.0319398
3	ELK1	0.0360915
4	HNF4A	0.0384706
5	CTCF	0.0406323
6	YY1	0.042241
7	ZBTB33	0.0464467
8	FOXA2	0.0470823
9	FOXA1	0.0474143
10	REST	0.0522941
11	USF2	0.06857
12	MAX	0.086202
13	BHLHE40	0.0863906
14	ATF3	0.0915636
15	CEBPB	0.0934561
16	MAFK	0.0996599
17	FOSL2	0.105219
18	NFE2L2	0.106421
19	JUND	0.116831

TF:	MAX
.	predicted Motif	score

1	CEBPB	0.0305149
2	GABPA	0.0352816
3	MAFK	0.0430331
4	FOXA1	0.0431672
5	FOXA2	0.0452605
6	ELK1	0.0464894
7	NFE2L2	0.0495325
8	YY1	0.051366
9	REST	0.0516898
10	CTCF	0.05229
11	ATF3	0.0550781
12	FOSL2	0.0566464
13	JUND	0.0614357
14	ZBTB33	0.0671977
15	HNF4G	0.0687185
16	HNF4A	0.0693983
17	USF2	0.0879626
18	MAX	0.0949604
19	BHLHE40	0.0992215

TF:	HNF4G
.	predicted Motif	score

1	CEBPB	0.0305197
2	ELK1	0.0385786
3	YY1	0.0401487
4	MAX	0.0410938
5	ZBTB33	0.0430537
6	GABPA	0.0435221
7	BHLHE40	0.0513131
8	USF2	0.0523728
9	MAFK	0.0536056
10	FOXA1	0.0554573
11	FOSL2	0.0557287
12	FOXA2	0.0558192
13	NFE2L2	0.0575098
14	REST	0.0577973
15	JUND	0.0580599
16	CTCF	0.0594083
17	ATF3	0.0594806
18	HNF4G	0.0919146
19	HNF4A	0.101384

TF:	GABPA
.	predicted Motif	score

1	ZBTB33	0.0269343
2	BHLHE40	0.0283166
3	ATF3	0.0318867
4	MAFK	0.0335459
5	CTCF	0.0341732
6	USF2	0.0346674
7	HNF4A	0.0349952
8	MAX	0.0356434
9	FOXA1	0.0387091
10	NFE2L2	0.0398141
11	FOXA2	0.0403754
12	REST	0.0416877
13	FOSL2	0.0420175
14	YY1	0.0424434
15	CEBPB	0.0425122
16	HNF4G	0.0445588
17	JUND	0.0487653
18	ELK1	0.089777
19	GABPA	0.0987565

TF:	ELK1
.	predicted Motif	score

1	ZBTB33	0.0269343
2	BHLHE40	0.0283166
3	ATF3	0.0318867
4	MAFK	0.0335459
5	CTCF	0.0341732
6	USF2	0.0346674
7	HNF4A	0.0349952
8	MAX	0.0356434
9	FOXA1	0.0387091
10	NFE2L2	0.0398141
11	FOXA2	0.0403754
12	REST	0.0416877
13	FOSL2	0.0420175
14	YY1	0.0424434
15	CEBPB	0.0425122
16	HNF4G	0.0445588
17	JUND	0.0487653
18	ELK1	0.089777
19	GABPA	0.0987565

