TF:	CEBPB
.	predicted motif	score	p-value
1	JUND	1118.29765836	0.0
2	FOSL2	1030.38780051	0.0
3	NFE2L2	420.974040784	0.0
4	ATF3	401.438702922	0.0
5	CEBPB	63.9476540749	1.29896093881e-14
6	HNF4A	60.5743946825	7.01660951563e-14
7	MAFK	49.2601896294	2.01041405745e-11
8	HNF4G	48.111709482	3.57005536245e-11
9	BHLHE40	23.0258509299	9.99999999995e-06
10	MAX	23.0258509299	9.99999999995e-06
11	FOXA2	11.9124434706	0.002589678
12	FOXA1	11.1347919235	0.003820416
13	USF2	9.00378367307	0.011088
14	REST	3.68767287806	0.1582093
15	ZBTB33	1.69907246067	0.4276132
16	YY1	1.62950497359	0.4427489
17	CTCF	0.723403686734	0.69649
18	ELK1	0.323258650626	0.8507565
19	GABPA	0.103449932984	0.94959

TF:	REST
.	predicted motif	score	p-value

1	REST	1659.1150939	0.0
2	MAFK	77.7255112332	0.0
3	CTCF	24.9610189825	3.8e-06
4	YY1	23.0258509299	9.99999999995e-06
5	ZBTB33	23.0258509299	9.99999999995e-06
6	HNF4G	7.55789193201	0.02284676
7	GABPA	7.3248645682	0.02567
8	NFE2L2	4.75880035017	0.0926061083053
9	HNF4A	4.22612571353	0.1208672
10	USF2	3.64424025254	0.161682599774
11	ELK1	3.31935825774	0.1902
12	BHLHE40	3.20016363502	0.20188
13	JUND	2.22491539098	0.32875
14	ATF3	2.13126432275	0.34451
15	CEBPB	1.62936449257	0.44278
16	MAX	1.56203097613	0.457940741749
17	FOXA2	0.871467224257	0.64679
18	FOXA1	0.709382397155	0.70139
19	FOSL2	0.669687127259	0.71545

TF:	USF2
.	predicted motif	score	p-value

1	BHLHE40	2146.04233853	0.0
2	USF2	1776.26847147	0.0
3	MAX	1479.69269295	0.0
4	ATF3	189.086293293	0.0
5	ZBTB33	144.345376328	0.0
6	GABPA	70.8523332095	4.4408920985e-16
7	YY1	64.9480063462	7.88258347484e-15
8	FOSL2	62.4163463322	2.79776202206e-14
9	ELK1	53.1986642106	2.80575562783e-12
10	JUND	36.1469893547	1.41507999762e-08
11	NFE2L2	33.3803455193	5.64351999577e-08
12	HNF4A	10.5181933068	0.0052
13	HNF4G	10.1858610736	0.00614
14	CTCF	7.10805386912	0.0286092
15	REST	2.68111293889	0.2617
16	FOXA2	1.14292132461	0.5647
17	FOXA1	0.785344572619	0.67525
18	MAFK	0.762667257066	0.68295
19	CEBPB	0.614266451045	0.7355526

TF:	MAFK
.	predicted motif	score	p-value

1	MAFK	1634.91282302	0.0
2	FOSL2	1510.26840581	0.0
3	NFE2L2	1491.55484488	0.0
4	JUND	1473.50064592	0.0
5	FOXA2	513.636903442	0.0
6	ATF3	510.983270285	0.0
7	CEBPB	59.0562822016	1.49991130627e-13
8	FOXA1	23.2917437717	8.75511999998e-06
9	BHLHE40	23.0258509299	9.99999999995e-06
10	MAX	23.0258509299	9.99999999995e-06
11	USF2	8.98368300136	0.0112
12	REST	4.93786031269	0.0846754
13	ZBTB33	1.65866704604	0.43634
14	YY1	0.944524355695	0.62359
15	CTCF	0.723403686734	0.69649
16	HNF4A	0.496461233382	0.78018
17	ELK1	0.303157978919	0.85935
18	GABPA	0.103449932984	0.94959
19	HNF4G	0.0715030754143	0.96488

TF:	CTCF
.	predicted motif	score	p-value

1	CTCF	139.391931814	0.0
2	ZBTB33	24.6931862804	4.34452928399e-06
3	REST	23.0258509299	9.99999999995e-06
4	YY1	23.0258509299	9.99999999995e-06
5	GABPA	7.67357134249	0.0215628
6	USF2	7.16626170754	0.02778856
7	BHLHE40	3.85717176896	0.1453536
8	ELK1	3.35976367238	0.186396
9	ATF3	2.68013801415	0.2618276
10	MAFK	2.31405121444	0.31442
11	JUND	2.22491539098	0.32875
12	CEBPB	1.62936449257	0.44278
13	HNF4A	1.36191791922	0.5061314
14	MAX	1.25120137582	0.53494
15	FOSL2	1.1411317943	0.5652055
16	HNF4G	0.984317871044	0.6113052
17	FOXA2	0.871467224257	0.64679
18	FOXA1	0.709382397155	0.70139
19	NFE2L2	0.264846870415	0.87597

TF:	NFE2L2
.	predicted motif	score	p-value

1	NFE2L2	2090.24309415	0.0
2	MAFK	1829.80908837	0.0
3	FOSL2	1522.25840124	0.0
4	ATF3	1439.81868799	0.0
5	JUND	1439.81868799	0.0
6	CEBPB	27.4404007563	1.09999999998e-06
7	BHLHE40	23.0258509299	9.99999999995e-06
8	MAX	23.0258509299	9.99999999995e-06
9	USF2	8.98368300136	0.0112
10	REST	3.00269226017	0.22283
11	FOXA1	1.84280756252	0.39796
12	FOXA2	1.77803217948	0.41106
13	ZBTB33	1.65866704604	0.43634
14	YY1	0.944524355695	0.62359
15	CTCF	0.784322101704	0.6755953
16	HNF4A	0.496461233382	0.78018
17	ELK1	0.303157978919	0.85935
18	GABPA	0.103449932984	0.94959
19	HNF4G	0.0715030754143	0.96488

TF:	ZBTB33
.	predicted motif	score	p-value

1	ZBTB33	1221.88848394	0.0
2	BHLHE40	58.1833130862	2.32036612147e-13
3	GABPA	38.3092020246	4.80023476523e-09
4	ELK1	25.2383102544	3.30803855031e-06
5	CTCF	23.0258509299	9.99999999995e-06
6	REST	23.0258509299	9.99999999995e-06
7	YY1	23.0258509299	9.99999999995e-06
8	MAX	13.0685155978	0.00145280690261
9	ATF3	4.70475721463	0.0951425860035
10	USF2	2.50017310658	0.28648
11	MAFK	2.31405121444	0.31442
12	JUND	2.22491539098	0.32875
13	CEBPB	1.62936449257	0.44278
14	FOXA2	1.03823044214	0.5950468
15	HNF4G	0.964217199337	0.61748
16	NFE2L2	0.813720561819	0.6657372
17	FOXA1	0.709382397155	0.70139
18	FOSL2	0.669687127259	0.71545
19	HNF4A	0.56096278603	0.75542

TF:	ELK1
.	predicted motif	score	p-value

1	ELK1	65.9307512363	4.77395900589e-15
2	GABPA	54.4381650654	1.50979229119e-12
3	JUND	7.53885113208	0.0230653089793
4	CEBPB	5.81920584879	0.0544973651478
5	FOXA1	5.15641541607	0.0759099349388
6	CTCF	4.15428996159	0.1252874
7	MAFK	3.64753375359	0.161416567971
8	FOSL2	2.8741650399	0.23762
9	YY1	2.47498330341	0.290111005485
10	ATF3	2.34821145505	0.309095271524
11	REST	2.30152644718	0.316395196926
12	HNF4G	1.4557257133	0.48294
13	NFE2L2	1.25600693518	0.5336562
14	BHLHE40	1.02026206344	0.6004169
15	FOXA2	0.805557439366	0.66846
16	MAX	0.323132884163	0.85081
17	HNF4A	0.275514905415	0.87131
18	USF2	0.253009418237	0.88117
19	ZBTB33	0.0182833158346	0.9909

TF:	MAX
.	predicted motif	score	p-value

1	MAX	578.626848495	0.0
2	USF2	277.628330599	0.0
3	BHLHE40	239.685078275	0.0
4	ELK1	112.597520944	0.0
5	GABPA	103.911119659	0.0
6	CTCF	42.7371437499	5.2450199739e-10
7	ZBTB33	20.1815902804	4.1459432448e-05
8	HNF4G	19.9189309739	4.7278e-05
9	HNF4A	12.6178375558	0.00182
10	YY1	12.0406292426	0.0024289052895
11	ATF3	8.56280493062	0.0138232618403
12	JUND	6.35834891603	0.04162
13	FOSL2	4.55573813209	0.1025024
14	REST	2.7012136106	0.259083
15	NFE2L2	2.08416147586	0.35272
16	FOXA1	1.90958240893	0.3848925
17	FOXA2	1.24550791338	0.536465
18	MAFK	0.823585672036	0.6624615
19	CEBPB	0.360763039766	0.8349516

TF:	GABPA
.	predicted motif	score	p-value

1	ELK1	470.858385649	0.0
2	GABPA	459.732951329	0.0
3	ATF3	24.4314941381	4.95186111582e-06
4	ZBTB33	12.9715447074	0.00152498248584
5	FOXA2	3.4997047353	0.1737996
6	JUND	2.29795939206	0.31696
7	HNF4G	1.4557257133	0.48294
8	YY1	1.32107303693	0.516574108582
9	CEBPB	1.11398346756	0.57293
10	FOSL2	1.06168424786	0.5881095
11	USF2	1.02433437986	0.5991956
12	REST	0.993122359505	0.60862
13	NFE2L2	0.733277406907	0.69306
14	HNF4A	0.672416782863	0.7144742
15	FOXA1	0.599347370608	0.74106
16	MAX	0.323132884163	0.85081
17	CTCF	0.222064248846	0.89491
18	MAFK	0.187083488817	0.9107
19	BHLHE40	0.0316694198056	0.98429

TF:	ATF3
.	predicted motif	score	p-value

1	JUND	505.809448742	0.0
2	FOSL2	460.666151121	0.0
3	CEBPB	261.821756128	0.0
4	ATF3	230.739114296	0.0
5	NFE2L2	218.291926765	0.0
6	MAFK	62.8954678831	2.19824158876e-14
7	BHLHE40	23.0258509299	9.99999999995e-06
8	MAX	23.0258509299	9.99999999995e-06
9	USF2	8.98368300136	0.0112
10	HNF4A	3.61775672991	0.1638378
11	REST	3.21341329148	0.200547
12	FOXA1	2.76687848172	0.2507148
13	FOXA2	1.79813285119	0.4069494
14	ZBTB33	1.65866704604	0.43634
15	CTCF	1.46553104952	0.4805781
16	ELK1	1.07448294054	0.584358
17	YY1	0.944524355695	0.62359
18	GABPA	0.934480820907	0.6267294
19	HNF4G	0.0916037471213	0.9552312

