SEQID	YY1	CTCF	ZBTB33	REST
19:47883279-47883379	7.433e-12	2.467e-13	3.65e-12	1.173e-15
7:134647216-134647316	1.851e-11	7.064e-11	1.885e-12	4.46e-15
12:57782854-57782954	7.289e-14	2.023e-12	1.042e-10	1.183e-13
4:154577572-154577672	1.833e-11	4.041e-14	7.553e-13	4.804e-19
10:99732229-99732329	9.607e-15	1.667e-12	1.778e-09	7.781e-18
7:99673325-99673425	1.285e-11	1.579e-13	8.533e-10	4.787e-13
5:177379386-177379486	5.614e-12	5.201e-10	4.802e-10	1.227e-15
19:47871386-47871486	1.523e-11	4.35e-15	2.775e-08	3.949e-16
10:89592015-89592115	2.929e-14	1.642e-12	1.179e-11	1.406e-21
19:10569258-10569358	2.656e-10	2.468e-12	3.521e-07	1.225e-15
14:22919576-22919676	5.262e-13	1.459e-12	7.547e-13	3.531e-18
1:193121777-193121877	2.579e-16	3.923e-13	2.169e-08	2.092e-16
5:151020784-151020884	3.984e-12	2.172e-12	1.264e-09	9.849e-18
6:167668419-167668519	1.724e-11	4.131e-14	2.949e-09	6.632e-18
18:49492478-49492578	2.004e-10	6.986e-13	0.009765	2.223e-18
19:12610953-12611053	1.537e-14	1.842e-11	1.032e-10	9.471e-14
17:7404667-7404767	2.498e-08	2.858e-12	1.357e-10	7.022e-17
11:68843582-68843682	2.498e-08	2.858e-12	1.357e-10	7.022e-17
17:1268588-1268688	3.378e-10	4.397e-11	1.208e-09	6.733e-19
4:151325844-151325944	4.263e-13	6.34e-12	3.205e-07	2.676e-18
1:215567321-215567421	2.722e-13	9.537e-15	1.718e-09	2.717e-15
6:38404705-38404805	4.783e-08	4.857e-06	1.243e-13	3.903e-15
21:16419167-16419267	2.091e-08	6.244e-13	3.045e-06	3.944e-14
10:109625302-109625402	7.765e-07	4.078e-15	4.218e-13	8.284e-21
1:159590022-159590122	3.202e-10	2.255e-12	2.064e-10	2.131e-18
6:140459707-140459807	1.2e-11	1.965e-09	3.988e-11	6.744e-19
17:42773672-42773772	8.236e-13	1.449e-10	6.546e-11	1.215e-16
10:89392589-89392689	3.922e-11	1.159e-12	5.949e-11	1.787e-15
2:190244967-190245067	1.774e-12	6.271e-14	1.749e-14	2.042e-18
9:19162014-19162114	1.481e-14	4.693e-11	5.959e-09	1.236e-16
17:5112134-5112234	4.836e-12	2.567e-11	5.689e-11	4.596e-15
21:15140805-15140905	4.962e-14	5.268e-14	7.849e-13	4.233e-17
12:54279677-54279777	1.608e-13	1.915e-09	9.604e-12	8.45e-16
7:41706137-41706237	3.752e-11	2.216e-10	6.696e-12	4.239e-13
1:45304374-45304474	3.032e-12	2.024e-13	2.825e-10	2.374e-19
1:148522907-148523007	1.158e-13	2.728e-11	2.051e-06	2.283e-16
21:33915727-33915827	0.001516	4.392e-11	2.522e-09	5.074e-18
1:45303457-45303557	1.476e-07	1.197e-09	4.506e-10	4.144e-17
19:3375545-3375645	4.788e-11	8.261e-13	2.03e-10	2.162e-15
19:35259878-35259978	2.078e-11	1.162e-09	7.242e-12	1.079e-18
19:17932769-17932869	7.394e-12	4.791e-10	4.592e-12	1.457e-18
2:21007099-21007199	1.149e-15	5.592e-15	1.28e-07	2.445e-18
20:40689990-40690090	1.072e-13	2.196e-11	7.718e-11	5.208e-15
15:65792522-65792622	1.319e-12	4.334e-09	1.287e-09	1.496e-20
11:111335052-111335152	1.932e-13	1.893e-14	1.62e-12	7.54e-19
6:113433121-113433221	3.18e-14	1.602e-16	1.859e-15	1.555e-20
7:23532216-23532316	5.268e-13	4.495e-13	3.113e-12	1.247e-18
1:8019283-8019383	2.743e-09	2.017e-14	4.385e-11	2.098e-19
X:48801925-48802025	8.21e-14	1.896e-10	2.655e-12	4.319e-18
1:223007767-223007867	8.502e-12	1.205e-11	1.943e-06	3.43e-18
6:63599282-63599382	1.673e-11	4.593e-12	1.854e-14	1.609e-19
7:99666644-99666744	6.031e-09	1.158e-11	4.673e-13	4.632e-17
22:29268252-29268352	1.299e-15	7.122e-13	2.848e-12	1.023e-19
19:934279-934379	7.54e-15	1.169e-13	3.006e-13	1.97e-18
14:95181725-95181825	2.665e-11	1.784e-15	5.192e-13	3.108e-17
7:41706349-41706449	8.556e-11	3.117e-12	6.843e-10	7.976e-18
16:56683760-56683860	1.57e-07	5.663e-13	4.727e-12	1.841e-20
21:33915364-33915464	1.945e-07	5.492e-12	4.301e-13	1.738e-15
1:200296467-200296567	1.307e-10	2.218e-13	3.127e-12	5.348e-21
3:42979596-42979696	1.022e-09	1.092e-11	0.0001329	1.411e-13
9:114316008-114316108	1.521e-12	2.194e-12	1.013e-13	3.628e-12
2:240872003-240872103	2.098e-10	2.331e-10	4.075e-07	1.308e-12
M:13268-13368	2.597e-09	1.786e-14	2.541e-11	2.162e-18
8:17505717-17505817	1.736e-11	2.016e-15	8.843e-13	3.082e-22
17:75394069-75394169	2.99e-09	1.673e-09	5.84e-11	6.716e-15
15:31157965-31158065	3.287e-12	3.589e-13	2.134e-08	7.45e-21
1:230706376-230706476	3.099e-09	7.235e-08	6.466e-13	6.801e-20
12:11171591-11171691	4.068e-06	1.265e-10	0.009478	1.639e-14
1:7962018-7962118	3.615e-10	2.894e-12	1.238e-08	1.202e-18
12:50572547-50572647	6.691e-08	4.626e-15	5.87e-14	5.666e-17
19:47868467-47868567	8.498e-08	2.042e-16	3.362e-13	4.429e-22
2:210573665-210573765	1.673e-10	6.673e-11	8.027e-12	4.743e-17
12:25385621-25385721	8.742e-12	6.075e-12	1.971e-09	2.828e-15
19:50805043-50805143	2.997e-09	1.892e-13	9.339e-10	2.847e-16
17:28368586-28368686	1.288e-12	8.006e-10	5.341e-13	6.604e-15
12:990921-991021	3.072e-11	2.462e-14	8.866e-12	3.38e-19
19:12793884-12793984	1.499e-12	4.521e-11	1.524e-09	6.922e-15
3:150741093-150741193	1.109e-06	1.14e-14	4.958e-14	2.752e-19
1:19596905-19597005	8.599e-12	1.612e-11	0.02521	1.438e-16
1:159557249-159557349	1.646e-07	2.22e-13	1.334e-11	3.057e-15
2:65227596-65227696	5.413e-05	6.805e-12	2.53e-08	1.175e-14
7:44848398-44848498	1.804e-13	9.66e-12	2.091e-10	8.202e-17
21:31625310-31625410	2.179e-08	3.126e-12	5.263e-13	4.265e-14
8:102685997-102686097	6.826e-15	3.016e-11	9.682e-09	9.26e-16
15:67059468-67059568	5.477e-14	1.565e-11	3.026e-11	1.168e-17
17:4143848-4143948	6.116e-11	6.69e-12	3.38e-08	7.036e-15
17:49192754-49192854	3.417e-13	5.627e-08	6.452e-05	5.845e-14
19:47882939-47883039	6.671e-11	3.213e-09	8.687e-10	8.791e-12
3:51500203-51500303	6.484e-16	9.684e-13	3.198e-11	7.037e-19
9:137202727-137202827	4.442e-18	9.684e-13	9.622e-11	7.037e-19
12:75978278-75978378	1.718e-12	4.887e-13	1.823e-13	1.07e-15
6:53548102-53548202	1.792e-14	3.565e-10	4.27e-06	9.894e-17
4:13702283-13702383	1.987e-12	4.457e-13	3.681e-12	1.226e-16
2:27583084-27583184	1.616e-12	4.57e-12	1.539e-10	4.051e-17
6:26421603-26421703	1.548e-12	5.844e-11	7.632e-11	2.548e-15
7:158829965-158830065	1.742e-06	1.411e-10	1.31e-11	1.873e-16
12:9106648-9106748	3.575e-10	4.829e-14	1.572e-11	6.136e-17
4:39459067-39459167	1.936e-13	9.222e-11	4.27e-10	1.653e-17
4:39639263-39639363	5.479e-14	1.291e-13	8.842e-09	9.959e-20
14:45253637-45253737	1.166e-05	1.354e-12	9.297e-13	3.142e-16
18:31983092-31983192	3.273e-11	3.645e-10	6.897e-14	1.619e-18
17:7042855-7042955	1.739e-14	7.114e-12	1.618e-11	6.463e-18
5:151021076-151021176	2.9e-11	1.431e-12	1.018e-12	2.2e-16
3:144032298-144032398	6.151e-11	8.329e-16	8.772e-15	3.993e-20
5:36180723-36180823	9.085e-14	5.705e-16	4.85e-14	5.038e-23
7:10973950-10974050	1.339e-14	3.525e-12	9.016e-11	4.947e-17
10:112147306-112147406	1.339e-14	3.525e-12	9.016e-11	4.947e-17
11:120185370-120185470	4.069e-10	4.651e-09	3.051e-09	4.177e-17
19:47871143-47871243	2.29e-17	4.651e-09	3.051e-09	4.177e-17
3:44643231-44643331	8.759e-12	1.785e-11	1.165e-09	3.914e-17
4:113667006-113667106	5.741e-11	1.915e-12	1.202e-11	5.757e-17
3:137014278-137014378	1.926e-13	9.964e-10	7.97e-09	3.376e-14
3:97764691-97764791	7.493e-14	1.296e-12	2.62e-11	5.749e-13
16:30370905-30371005	2.095e-13	2.847e-10	1.653e-13	4.674e-20
5:39369698-39369798	6.316e-10	9.577e-10	1.399e-12	1.027e-17
13:45336023-45336123	7.206e-16	2.82e-12	3.951e-14	2.364e-24
1:7961623-7961723	1.116e-13	1.662e-12	2.605e-08	2.064e-18
12:89347563-89347663	6.054e-13	1.3e-11	6.902e-11	4.996e-17
5:151024078-151024178	2.101e-12	4.674e-05	8.062e-12	2.866e-18
17:67289643-67289743	9.68e-13	4.53e-11	2.589e-11	1.514e-13
20:1881644-1881744	1.119e-13	6.691e-12	2.166e-12	1.906e-18
4:40474228-40474328	9.433e-08	4.527e-10	3.185e-12	7.323e-15
11:112280362-112280462	9.433e-08	4.527e-10	3.185e-12	7.323e-15
11:78140017-78140117	8.772e-09	2.349e-13	5.149e-11	2.581e-17
17:40332659-40332759	3.026e-12	8.593e-11	1.408e-12	1.131e-15
5:67816182-67816282	5.538e-10	4.442e-14	1.428e-11	1.635e-10
22:38182138-38182238	2.044e-11	4.71e-12	7.872e-14	1.247e-20
1:161224572-161224672	1.17e-12	1.49e-09	3.282e-11	3.127e-17
9:33447054-33447154	2.065e-12	2.741e-09	2.448e-11	3.101e-18
2:21033842-21033942	2.065e-12	2.741e-09	2.448e-11	3.101e-18
3:184186161-184186261	6.307e-05	1.032e-12	6.299e-11	2.616e-18
1:111991726-111991826	7.769e-10	1.603e-12	5.904e-12	3.919e-18
19:49929516-49929616	1.546e-11	8.608e-13	1.012e-09	6.903e-17
17:68020249-68020349	4.272e-10	3.935e-13	3.132e-11	1.98e-13
17:50708250-50708350	1.809e-10	4.024e-14	4.826e-14	5.427e-20
15:92900297-92900397	6.322e-06	7.853e-08	3.247e-11	4.743e-15
10:30542553-30542653	3.191e-14	2.631e-11	2.456e-12	6.249e-16
9:121370387-121370487	3.218e-15	2.654e-11	5.921e-08	4.143e-18
11:6390113-6390213	8.564e-11	2.463e-12	1.394e-11	2.216e-17
5:134524673-134524773	3.964e-13	8.87e-07	1.954e-09	2.391e-14
1:234997485-234997585	2.131e-12	2.611e-10	1.149e-12	1.082e-12
3:52811890-52811990	2.683e-13	5.058e-11	4.282e-12	4.338e-19
4:155920938-155921038	1.315e-11	3.29e-15	1.177e-12	7.983e-16
13:40346994-40347094	1.162e-11	7.346e-10	8.769e-11	1.511e-18
1:39566667-39566767	1.655e-07	9.454e-16	1.305e-13	5.957e-18
4:128553802-128553902	3.784e-09	1.013e-13	2.492e-10	6.09e-13
7:158830290-158830390	2.97e-11	8.258e-14	2.672e-10	4.012e-14
3:150737619-150737719	3.687e-13	3.465e-16	3.34e-10	7.35e-17
17:44012073-44012173	2.862e-11	8.018e-12	2.855e-11	9.964e-11
17:68759781-68759881	1.35e-10	1.854e-14	7.195e-11	8.688e-17
11:114317724-114317824	2.11e-08	8.208e-15	6.929e-13	3.811e-16
2:96550870-96550970	5.486e-10	8.208e-15	7.144e-14	3.811e-16
3:52215836-52215936	4.349e-10	1.788e-15	9.279e-12	1.639e-24
7:97118043-97118143	2.605e-15	2.085e-10	1.563e-07	1.298e-17
1:2238973-2239073	6.181e-11	2.598e-10	1.374e-11	2.782e-15
5:1128493-1128593	1.082e-09	3.934e-10	7.005e-13	7.023e-19
4:4524788-4524888	1.9e-14	2.219e-15	8.291e-14	7.666e-21
4:54062894-54062994	3.665e-11	3.763e-14	6.024e-11	1.639e-15
10:38094395-38094495	3.05e-10	4.325e-08	1.216e-09	1.82e-16
17:50638230-50638330	3.971e-15	2.512e-12	7.699e-10	4.633e-16
10:73626062-73626162	0.0014	1.111e-12	0.0005089	4.045e-17
X:118839646-118839746	5.986e-10	1.797e-06	2.683e-09	6.461e-16
15:42491448-42491548	6.199e-14	8.076e-15	2.868e-15	3.276e-18
9:134321034-134321134	8e-10	4.77e-11	4.449e-10	2.169e-14
1:21329660-21329760	2.057e-14	1.07e-07	1.175e-11	1.082e-15
9:94666677-94666777	5.53e-10	1.059e-14	2.422e-10	1.081e-17
1:230705985-230706085	1.944e-13	2.592e-10	2.856e-10	4.272e-18
17:1268214-1268314	1.249e-13	2.456e-11	6.475e-08	1.923e-16
X:104166128-104166228	1.249e-13	2.456e-11	6.475e-08	1.923e-16
4:3408448-3408548	1.052e-10	3.5e-12	6.074e-12	8.454e-20
22:37033180-37033280	1.716e-14	2.496e-14	5.265e-13	4.984e-18
5:59766681-59766781	1.501e-12	1.309e-10	3.693e-11	1.782e-18
4:128553435-128553535	5.464e-11	1.339e-10	1.235e-06	2.955e-18
5:40991681-40991781	1.194e-10	6.175e-13	2.879e-11	4.172e-21
11:112216950-112217050	6.582e-13	1.38e-13	1.315e-13	5.855e-21
12:89352679-89352779	3.719e-14	2.039e-12	1.695e-12	3.334e-19
7:99795201-99795301	2.534e-14	3.994e-13	1.478e-08	3.401e-16
19:48808004-48808104	9.09e-06	4.147e-13	1.873e-10	9.886e-15
2:71210475-71210575	2.239e-07	1.802e-10	9.826e-13	2.265e-17
20:44522158-44522258	1.306e-07	3.944e-13	2.262e-12	3.855e-16
9:101423960-101424060	4.027e-14	4.738e-12	3.21e-12	2.509e-17
22:41544133-41544233	1.117e-10	7.526e-12	1.313e-10	1.481e-12
12:132085142-132085242	6.14e-13	4.544e-12	8.71e-09	3.496e-14
10:101060766-101060866	1.355e-12	4.648e-12	0.00307	9.76e-17
14:20682803-20682903	3.959e-12	5.02e-11	8.03e-11	7.898e-15
8:54134739-54134839	1.341e-09	1.547e-15	1.406e-12	4.199e-18
3:20081541-20081641	2.33e-10	2.128e-10	1.321e-11	7.739e-18
7:97117655-97117755	4.467e-12	1.187e-09	1.629e-09	1.027e-16
19:49929217-49929317	2.846e-10	2.259e-12	3.459e-10	1.332e-12
14:94394347-94394447	2.846e-10	2.259e-12	3.459e-10	1.332e-12
7:5428100-5428200	8.155e-13	7.07e-09	6.589e-10	5.383e-16
14:68790517-68790617	5.804e-11	3.598e-09	2.334e-11	2.146e-13
9:4596580-4596680	7.377e-11	4.133e-13	1.955e-10	7.561e-20
5:57173978-57174078	4.957e-10	1.819e-12	0.01799	4.399e-16
6:26241360-26241460	1.638e-14	1.048e-13	2.195e-10	1.893e-16
4:128288280-128288380	5.332e-13	1.047e-10	1.097e-07	2.709e-15
2:206159640-206159740	1.25e-08	6.363e-10	1.587e-10	2.421e-18
11:18271310-18271410	0.003422	5.275e-11	3.697e-13	8.503e-19
11:114306834-114306934	1.131e-07	2.695e-13	2.414e-15	1.52e-16
12:89357421-89357521	1.131e-07	2.695e-13	2.414e-15	1.52e-16
2:149885725-149885825	1.995e-10	7.482e-11	1.063e-11	3.286e-17
6:26158026-26158126	7.374e-11	2.239e-13	1.42e-11	1.706e-17
11:65439672-65439772	1.184e-08	1.294e-10	1.752e-10	8.627e-22
17:1267972-1268072	1.184e-08	1.294e-10	1.752e-10	8.627e-22
11:74019608-74019708	2.962e-14	1.011e-12	7.035e-14	3.229e-18
19:3375306-3375406	2.615e-14	1.711e-11	5.082e-11	1.932e-14
2:38794710-38794810	1.716e-08	1.271e-12	6.644e-10	6.494e-18
22:40042928-40043028	6.717e-10	6.398e-14	4.457e-10	1.631e-20
2:86195177-86195277	1.881e-12	1.21e-10	5.74e-10	2.843e-10
9:86354112-86354212	2.946e-10	2.651e-10	1.71e-11	1.935e-18
10:95037339-95037439	4.382e-13	3.347e-14	1.699e-13	1.655e-20
17:16653715-16653815	9.716e-13	3.984e-09	1.377e-09	3.127e-13
12:105107920-105108020	2.787e-11	3.781e-10	1.738e-07	6.249e-17
22:50530806-50530906	2.09e-11	2.466e-10	6.75e-10	1.226e-16
8:54135039-54135139	1.469e-11	1.869e-14	1.184e-09	1.519e-16
12:124838285-124838385	2.417e-10	2.861e-10	3.744e-09	6.888e-16
12:124822050-124822150	2.417e-10	2.861e-10	3.744e-09	6.888e-16
1:27830778-27830878	0.008635	5.997e-07	7.631e-10	7.606e-17
16:57300255-57300355	1.742e-14	3.512e-17	6.898e-12	3.811e-23
2:47781775-47781875	4.363e-10	1.112e-12	3.24e-15	5.961e-21
14:87993452-87993552	6.159e-09	3.832e-13	6.691e-09	1.669e-14
17:28662244-28662344	1.042e-05	2.7e-14	2.688e-12	1.896e-15
2:113890015-113890115	5.088e-12	2.107e-12	1.849e-13	3.128e-17
17:30116917-30117017	1.862e-10	1.215e-13	6.404e-11	2.285e-16
12:57451712-57451812	3.861e-13	1.228e-12	1.365e-12	4.708e-17
11:65382149-65382249	5.661e-07	1.805e-11	1.565e-07	6.875e-17
1:209828081-209828181	4.142e-12	1.796e-12	2.53e-11	1.016e-15
1:151148049-151148149	7.669e-10	6.171e-12	1.791e-10	1.487e-18
22:26557524-26557624	6.063e-13	4.765e-12	4.433e-11	1.233e-14
17:39695899-39695999	1.727e-13	7.533e-12	9.856e-12	2.257e-12
11:120185153-120185253	4.816e-14	3.995e-12	4.057e-09	2.157e-14
4:10017520-10017620	1.229e-11	1.136e-15	3.205e-07	7.608e-18
5:149551757-149551857	6.758e-14	4.417e-10	1.464e-12	1.626e-16
12:6336387-6336487	1.853e-09	6.409e-10	2.423e-10	2.924e-13
12:121888911-121889011	2.212e-11	3.7e-10	4.807e-10	2.627e-18
10:71638880-71638980	7.142e-10	3.659e-09	4.338e-07	8.53e-16
3:72956934-72957034	1.657e-11	2.363e-13	3.983e-15	1.198e-17
7:99660707-99660807	6.753e-07	9.103e-13	9.577e-12	7.314e-19
