SEQID	USF2	MAX	BHLHE40
6:44117380-44117480	4.312e-09	1.521e-06	2.694e-08
3:154121462-154121562	2.12e-08	7.181e-07	1.315e-09
19:11236968-11237068	5.47e-16	3.955e-11	3.142e-12
8:144787678-144787778	2.294e-16	4.697e-10	2.798e-12
X:41084849-41084949	3.906e-10	1.521e-06	9.02e-06
9:114587890-114587990	1.727e-07	1.02e-06	7.036e-09
19:43534322-43534422	4.068e-12	1.04e-09	3.738e-09
14:31966432-31966532	1.382e-15	5.017e-10	5.501e-13
16:21265848-21265948	1.483e-16	5.184e-08	1.178e-09
3:171026885-171026985	1.241e-10	5.953e-09	4.817e-12
14:94376760-94376860	1.241e-10	5.953e-09	4.817e-12
1:209742666-209742766	1.398e-09	7.446e-08	1.123e-09
10:122051975-122052075	3.924e-12	6.627e-08	8.241e-09
20:62832786-62832886	2.255e-13	1.854e-09	1.441e-09
9:104968435-104968535	5.851e-11	4.455e-09	5.397e-11
15:89128827-89128927	7.011e-10	2.218e-09	4.178e-09
10:122162659-122162759	2.123e-09	6.287e-09	1.059e-10
8:143588143-143588243	7.197e-11	8.509e-10	1.201e-10
5:154610584-154610684	8.922e-13	7.054e-06	4.764e-08
11:128549060-128549160	7.339e-10	1.974e-10	1.725e-09
2:10832584-10832684	3.616e-16	1.932e-11	2.136e-11
1:228838885-228838985	6.896e-12	6.658e-09	7.453e-10
5:132496623-132496723	3.003e-14	9.69e-10	2.581e-11
15:74843491-74843591	2.759e-12	3.375e-07	5.863e-06
11:40401680-40401780	5.842e-12	1.839e-06	5.211e-07
14:29585268-29585368	4.312e-16	6.895e-11	4.947e-11
16:87529200-87529300	1.643e-11	1.123e-08	3.5e-10
6:4134689-4134789	3.068e-16	1.402e-09	1.024e-11
11:85628663-85628763	1.778e-16	3.321e-10	9.858e-11
14:100851474-100851574	1.113e-11	7.577e-10	3.271e-10
17:67258101-67258201	4.464e-15	1.065e-09	9.058e-12
5:158464419-158464519	6.927e-12	6.028e-11	8.372e-13
20:41008599-41008699	3.542e-11	3.572e-09	3.841e-09
2:120253459-120253559	1.044e-16	1.498e-10	5.991e-11
2:98804134-98804234	5.317e-17	4.538e-10	4.572e-10
20:46667218-46667318	2.56e-12	4.468e-10	5.994e-09
11:76386258-76386358	7.112e-12	1.737e-05	1.087e-09
4:83013308-83013408	4.22e-11	2.242e-09	1.388e-10
8:141128409-141128509	5.784e-17	7.889e-12	3.472e-11
8:28071833-28071933	1.521e-15	1.808e-11	4.865e-12
9:94983889-94983989	1.655e-13	4.144e-10	1.916e-10
1:36386953-36387053	3.545e-11	6.993e-09	2.83e-10
11:111726584-111726684	8.326e-06	2.06e-06	1.628e-07
8:47526392-47526492	4.737e-09	3.58e-10	7.14e-11
6:101742062-101742162	2.922e-13	7.667e-10	2.103e-12
3:124835643-124835743	3.262e-08	1.262e-06	5.475e-09
20:50624877-50624977	3.761e-11	2.798e-07	1.144e-06
10:69409328-69409428	6.395e-07	0.001369	4.11e-05
9:120936953-120937053	1.34e-09	2.501e-09	5.589e-10
19:43525762-43525862	7.303e-12	7.07e-09	2.904e-12
2:208254312-208254412	3.842e-10	3.044e-07	4.264e-09
4:99894675-99894775	5.384e-13	1.894e-09	1.277e-09
X:39759176-39759276	1.666e-13	7.306e-09	2.025e-10
9:120779190-120779290	1.294e-17	1.517e-11	2.845e-13
16:14240608-14240708	1.555e-09	2.35e-05	1.662e-10
16:89472842-89472942	2.862e-09	1.382e-07	2.732e-08
9:129547953-129548053	4.212e-13	1.022e-07	9.427e-09
18:35972828-35972928	1.914e-12	9.363e-09	1.474e-09
13:26962392-26962492	1.586e-13	1.753e-10	2.218e-10
15:60393359-60393459	4.844e-12	2.847e-10	2.549e-13
19:10403760-10403860	6.826e-16	3.63e-11	4.614e-12
21:38805026-38805126	7.575e-12	9.424e-09	1.582e-10
1:35931185-35931285	1.417e-11	2.845e-09	4.991e-09
7:22561661-22561761	9.75e-16	1.752e-09	8.209e-11
17:68101357-68101457	3.478e-14	3.63e-09	6.106e-10
20:51713034-51713134	2.911e-16	5.371e-11	1.73e-11
8:141022428-141022528	1.143e-15	7.886e-11	7.559e-12
16:67663853-67663953	1.619e-11	1.112e-09	1.389e-10
20:53077844-53077944	8.123e-17	9.487e-13	1.627e-13
6:12002005-12002105	2.574e-17	2.144e-10	4.626e-11
21:38734299-38734399	1.858e-15	3.983e-10	1.609e-10
6:36678088-36678188	2.743e-07	1.448e-06	2.558e-09
6:136823209-136823309	2.031e-12	6.222e-10	1.39e-10
6:157756981-157757081	1.302e-13	7.098e-09	3.251e-11
12:118357564-118357664	5.133e-15	2.941e-09	8.185e-12
9:128765568-128765668	3.782e-14	8.432e-10	2.12e-11
2:200677000-200677100	2.244e-16	1.737e-11	2.154e-11
6:7128159-7128259	5.151e-13	4.508e-10	7.68e-12
8:95170269-95170369	5.151e-13	2.766e-18	1.288e-17
7:1570342-1570442	6.976e-11	2.707e-06	9.046e-08
11:111738558-111738658	7.847e-14	8.036e-10	4.296e-13
12:122752865-122752965	3.067e-10	1.636e-05	7.412e-08
2:218756128-218756228	3.49e-16	4.394e-11	7.863e-11
1:83901845-83901945	5.897e-10	1.448e-07	2.247e-07
9:133149799-133149899	1.892e-10	1.44e-07	1.465e-09
20:40506906-40507006	8.896e-16	1.72e-10	3.385e-12
6:27772908-27773008	7.259e-20	7.259e-13	1.5e-13
2:85772659-85772759	3.414e-15	7.092e-11	1.248e-10
5:150511779-150511879	1.585e-12	8.545e-09	3.771e-11
8:1764732-1764832	1.291e-11	1.523e-09	1.995e-10
7:1850994-1851094	3.303e-11	6.552e-09	8.964e-11
9:121202148-121202248	3.577e-12	4.935e-07	5.368e-08
11:13340067-13340167	1.674e-10	1.173e-07	9.98e-11
5:56044098-56044198	8.419e-11	8.037e-11	3.101e-11
1:20897137-20897237	1.562e-11	1.842e-07	3.492e-08
17:49764704-49764804	1.571e-09	2.907e-06	1.942e-08
1:225778014-225778114	1.83e-13	2.06e-09	2.948e-11
9:2623685-2623785	2.401e-11	4.221e-09	4.161e-09
9:134220712-134220812	4.779e-08	7.24e-07	4.656e-08
19:16200396-16200496	2.949e-12	9.555e-10	2.803e-11
21:41765071-41765171	5.478e-11	1.524e-09	9.884e-10
1:153609437-153609537	1.817e-13	9.497e-08	5.649e-10
10:70382166-70382266	7.978e-13	3.174e-09	6.67e-09
5:102796480-102796580	8.462e-13	7.312e-11	1.157e-11
1:230760816-230760916	1.599e-19	9.103e-14	4.758e-14
9:136576495-136576595	1.362e-12	6.553e-09	1.597e-10
19:57390393-57390493	7.05e-16	2.799e-11	2.609e-10
9:114175205-114175305	9.787e-16	1.038e-09	1.073e-11
18:68803710-68803810	1.759e-15	7.49e-12	1.093e-13
11:78022721-78022821	6.831e-09	6.315e-08	2.05e-07
16:79287413-79287513	1.671e-10	6.923e-07	2.605e-10
2:26962039-26962139	2.94e-17	1.121e-11	6.876e-12
5:32445031-32445131	5.842e-12	1.832e-06	5.21e-07
8:19313343-19313443	3.371e-14	5.062e-07	3.87e-09
9:85941053-85941153	3.089e-15	9.097e-09	1.223e-08
16:50621045-50621145	1.749e-09	5.583e-06	7.316e-08
12:76764290-76764390	3.006e-14	3.315e-10	2.884e-10
X:132219778-132219878	1.738e-12	1.523e-08	1.544e-10
11:118928446-118928546	3.481e-13	1.108e-09	5.948e-10
8:117885510-117885610	1.058e-06	1.862e-05	2.202e-08
3:37998737-37998837	1.105e-10	1.875e-08	3.38e-09
22:42674081-42674181	1.941e-14	3.994e-11	1.853e-12
4:139692148-139692248	2.618e-11	1.495e-07	5.837e-10
17:30600599-30600699	1.884e-16	3.167e-09	8.219e-12
16:56632388-56632488	7.728e-12	1.548e-08	8.978e-09
2:119482152-119482252	1.288e-17	1.31e-11	7.428e-12
17:58332677-58332777	2.731e-05	9.872e-07	3.442e-08
8:138858163-138858263	3.514e-17	1.641e-10	1.656e-12
3:45538717-45538817	3.801e-12	1.645e-08	3.154e-09
21:44959060-44959160	3.635e-14	6.494e-10	2.658e-10
5:132294696-132294796	2.038e-13	1.213e-09	7.717e-10
1:56525897-56525997	4.435e-11	2.661e-07	1.024e-08
11:65122348-65122448	3.688e-12	2.79e-08	2.837e-11
19:17469660-17469760	8.808e-13	1.89e-09	1.774e-12
3:14901760-14901860	3.115e-16	2.31e-09	4.665e-11
12:31229929-31230029	3.403e-10	6.242e-08	8.141e-12
6:131828384-131828484	4.684e-17	6.99e-12	1.716e-11
7:101883089-101883189	1.176e-11	6.358e-08	4.694e-11
1:93079289-93079389	5.003e-17	1.347e-10	1.333e-10
9:134331571-134331671	2.511e-12	2.582e-09	1.29e-09
7:143382119-143382219	3.485e-13	1.385e-07	7.99e-10
5:24510766-24510866	1.368e-10	6.097e-07	5.627e-11
12:57546219-57546319	2.036e-10	4.338e-07	8.972e-08
M:15418-15518	1.051e-11	1.894e-10	3.267e-09
8:29283437-29283537	4.159e-13	1.312e-08	1.698e-09
10:23171739-23171839	8.323e-17	2.315e-08	3.804e-08
9:127938490-127938590	2.489e-15	2.058e-09	1.699e-11
1:151013375-151013475	2.042e-15	1.384e-10	1.956e-09
16:57244996-57245096	9.649e-11	9.155e-10	1.085e-09
16:87849786-87849886	4.104e-08	5.536e-06	1.027e-07
6:163413310-163413410	6.064e-16	3.864e-10	2.067e-10
2:231711277-231711377	9.889e-16	7.375e-12	2.273e-13
22:23895126-23895226	4.926e-15	5.798e-09	2.684e-10
5:149551765-149551865	1.547e-11	6.906e-09	1.647e-10
15:61422320-61422420	1.332e-12	5.701e-09	5.872e-10
19:34404494-34404594	1.956e-11	3.465e-09	3.819e-09
12:76879400-76879500	1.362e-11	8.328e-10	6.242e-09
16:10738618-10738718	6.541e-16	1.997e-11	2.203e-13
19:48333279-48333379	2.379e-09	6.9e-09	3.01e-09
3:72938885-72938985	3.355e-15	2.807e-11	6.26e-13
17:39695171-39695271	2.995e-11	1.631e-10	1.125e-10
3:38086301-38086401	2.996e-10	2.356e-08	6.076e-10
16:20409712-20409812	1.069e-11	1.673e-09	1.26e-11
22:30969331-30969431	2.031e-16	1.081e-09	5.711e-09
13:26222433-26222533	8.327e-16	5.955e-10	4.256e-10
12:46444122-46444222	9.662e-20	1.55e-13	8.628e-14
8:134478983-134479083	2.686e-14	1.24e-09	8.697e-11
3:194931147-194931247	3.98e-11	9.932e-10	1.141e-12
10:124741423-124741523	4.021e-12	1.508e-10	6.658e-10
19:38975414-38975514	1.75e-14	1.092e-10	4.861e-08
18:46412663-46412763	5.613e-11	3.219e-08	1.74e-10
22:36776598-36776698	2.098e-16	1.234e-10	3.504e-10
15:40755442-40755542	1.811e-17	1.723e-09	5.461e-09
10:3424800-3424900	9.372e-10	7.285e-06	1.206e-10
15:45203495-45203595	3.814e-11	1.135e-08	4.913e-11
11:57477206-57477306	1.983e-13	4.248e-10	6.328e-11
X:153726598-153726698	1.577e-17	9.815e-11	2.478e-12
3:194265755-194265855	2.053e-13	1.309e-10	1.297e-11
4:10007310-10007410	9.51e-08	1.758e-07	2.458e-08
12:132828888-132828988	2.531e-10	2.962e-06	5.693e-06
17:74768429-74768529	2.218e-17	3.223e-10	1.796e-11
4:127965510-127965610	6.439e-11	3.931e-07	1.522e-10
7:130900018-130900118	4.21e-10	1.614e-08	2.38e-10
3:127784632-127784732	2.072e-08	2.188e-07	1.428e-10
8:33092066-33092166	7.434e-20	2.628e-14	1.59e-15
8:144792971-144793071	0.001509	1.853e-05	2.148e-06
7:134432736-134432836	1.632e-13	5.581e-10	9.192e-13
8:9153007-9153107	6.251e-10	5.413e-10	6.268e-12
16:57900114-57900214	6.251e-10	5.413e-10	6.268e-12
9:95139015-95139115	5.496e-16	1.657e-10	4.187e-11
11:35360558-35360658	5.068e-16	5.314e-11	1.598e-12
1:25867513-25867613	1.246e-09	4.133e-10	3.462e-09
9:127568498-127568598	2.24e-14	9.72e-10	4.361e-09
3:101574161-101574261	8.221e-15	9.921e-10	1.21e-09
20:63738699-63738799	1.445e-09	9.228e-07	6.844e-09
19:12777690-12777790	2.637e-12	9.536e-09	7.233e-09
2:10368796-10368896	1.563e-15	1.238e-11	3.208e-12
X:47145163-47145263	9.5e-16	1.142e-10	1.153e-11
4:124427568-124427668	3.692e-12	1.088e-08	2.053e-09
20:57566943-57567043	2.198e-12	2.151e-08	6.045e-09
1:110338385-110338485	1.632e-10	8.26e-06	2.007e-08
20:20010894-20010994	1.8e-11	8.076e-09	1.141e-10
1:230704344-230704444	1.304e-15	3.431e-10	1.974e-12
3:5788140-5788240	3.449e-10	1.204e-11	3.147e-10
4:81470809-81470909	1.733e-15	7.643e-12	3.234e-12
17:8221110-8221210	1.268e-10	7.345e-09	7.484e-11
19:55599961-55600061	2.147e-09	3.388e-09	6.957e-09
4:183444176-183444276	1.283e-10	1.795e-08	3.642e-10
22:46377971-46378071	4.806e-13	4.543e-09	8.477e-09
19:15422234-15422334	5.433e-17	2.921e-08	8.655e-11
3:50324113-50324213	1.485e-16	1.739e-12	2.272e-13
4:26319772-26319872	3.627e-17	1.075e-11	6.141e-13
16:19086918-19087018	7.545e-10	1.119e-05	4.655e-10
11:67469522-67469622	1.115e-13	1.312e-09	9.41e-10
1:93904541-93904641	1.022e-15	2.749e-12	5.757e-14
21:41562056-41562156	1.595e-10	5.337e-07	1.05e-06
10:42782925-42783025	3.382e-09	2.329e-07	3.843e-07
X:136275804-136275904	4.205e-12	1.165e-09	2.746e-10
1:21669984-21670084	9.209e-11	4.289e-10	2.319e-12
10:102064694-102064794	2.763e-09	6.135e-10	5.565e-12
14:103104844-103104944	7.603e-09	4.163e-07	4.534e-09
7:1157301-1157401	4.895e-16	8.898e-10	4.583e-13
1:12189165-12189265	1.137e-17	9.302e-10	7.097e-11
8:85463490-85463590	1.311e-14	4.183e-09	2.629e-08
9:91101162-91101262	5.69e-16	1.6e-10	7.951e-12
2:119489984-119490084	1.853e-13	2.635e-09	1.884e-12
6:26597026-26597126	1.346e-10	5.078e-09	1.532e-10
14:54719737-54719837	2.126e-21	4.677e-14	5.753e-14
14:73058657-73058757	1.436e-11	7.319e-06	3.618e-08
18:48674429-48674529	7.08e-11	7.737e-08	3.365e-09
3:63967432-63967532	8.496e-16	1.613e-11	1.172e-10
6:20403672-20403772	2.459e-16	7.53e-13	8.101e-14
2:158132463-158132563	1.206e-26	9.909e-17	9.003e-18
3:156817465-156817565	4.383e-16	4.098e-10	3.275e-11
5:92695866-92695966	1.972e-14	6.496e-10	5.699e-10
20:14602418-14602518	3.144e-16	1.424e-13	3.101e-12
17:50944425-50944525	4.873e-17	2.127e-10	6.218e-12
19:15642399-15642499	5.185e-11	6.027e-09	1.154e-10
1:93846595-93846695	3.416e-06	2.669e-05	3.562e-08
10:60353988-60354088	3.816e-13	6.388e-10	1.653e-11
1:25430600-25430700	1.695e-16	2.278e-11	6.613e-13
4:39434495-39434595	8.724e-16	2.53e-11	1.171e-11
8:72779261-72779361	2.611e-16	8.596e-10	5.583e-12
17:75516333-75516433	8.715e-12	1.058e-09	1.556e-11
22:20129158-20129258	2.297e-13	7.126e-11	1.724e-10
2:20538256-20538356	2.834e-12	3.365e-08	2.909e-09
12:6780007-6780107	9.944e-11	5.427e-09	3.057e-10
9:136691093-136691193	2.983e-05	0.001615	0.0001323
14:91889714-91889814	6.703e-11	1.16e-08	7.384e-11
5:35198547-35198647	1.173e-14	2.304e-10	2.273e-12
6:136104112-136104212	1.204e-05	1.495e-05	1.712e-07
4:139015614-139015714	7.595e-16	1.036e-09	1.645e-10
1:94950359-94950459	2.928e-16	7.226e-11	2.645e-12
1:169486317-169486417	4.549e-15	1.299e-10	1.213e-10
19:2576155-2576255	1.635e-11	1.117e-07	9.147e-08
5:172771300-172771400	1.201e-11	1.935e-09	5.887e-09
6:31498054-31498154	3.476e-05	1.428e-07	3.999e-07
6:28136945-28137045	5.598e-10	4.159e-09	1.438e-10
3:113948646-113948746	9.282e-16	2.263e-09	4.075e-10
2:74392177-74392277	9.282e-16	2.263e-09	4.075e-10
18:54224930-54225030	2.702e-16	5.646e-12	3.52e-12
20:36556918-36557018	2.618e-10	1.129e-08	2.926e-09
1:181084632-181084732	3.655e-13	3.423e-08	6.965e-10
2:64685882-64685982	4.699e-23	3.249e-14	3.922e-17
18:13185957-13186057	1.53e-09	3.814e-10	9.053e-11
15:78988837-78988937	1.095e-11	1.077e-10	8.226e-13
7:149873036-149873136	1.713e-11	6.257e-11	1.776e-11
1:231528682-231528782	5.799e-12	6.442e-09	8.824e-11
19:13061780-13061880	3.862e-10	5.066e-08	4.977e-10
13:49247246-49247346	3.862e-10	5.066e-08	4.977e-10
2:86442344-86442444	1.412e-13	1.024e-09	1.028e-10
4:165191573-165191673	2.406e-16	1.199e-10	1.105e-10
18:6729551-6729651	7.745e-12	1.072e-06	9.193e-08
6:34792871-34792971	1.222e-13	5.134e-10	1.057e-12
10:6054420-6054520	2.44e-05	8.456e-06	1.232e-06
7:5494982-5495082	5.234e-11	8.523e-08	2.593e-09
13:30399038-30399138	6.558e-15	1.95e-09	1.115e-11
6:53359861-53359961	9.205e-13	1.637e-07	2.596e-10
10:80282113-80282213	1.892e-16	9.652e-12	2.466e-12
5:52800380-52800480	0.001146	2.386e-05	4.544e-06
4:24138234-24138334	8.854e-13	7.104e-10	5.137e-12
16:77722616-77722716	3.322e-11	4.912e-10	1.888e-10
20:20711216-20711316	1.556e-10	2.643e-07	1.013e-06
11:22626002-22626102	5.941e-06	0.002057	2.339e-05
14:24130885-24130985	1.657e-08	5.744e-10	8.162e-11
2:88628234-88628334	5.384e-20	1.489e-13	1.165e-12
12:43835807-43835907	2.448e-12	1.549e-06	5.372e-08
14:35363225-35363325	9.929e-13	4.321e-08	1.716e-09
13:49466570-49466670	9.821e-22	3.726e-14	4.63e-15
5:134554709-134554809	1.997e-12	1.417e-09	5.421e-11
3:150764778-150764878	3.882e-12	2.532e-08	3.412e-09
1:23980602-23980702	3.932e-12	1.954e-08	1.06e-11
10:97585417-97585517	6.133e-10	6.326e-06	4.519e-10
3:50618025-50618125	2.464e-07	2.776e-05	8.442e-10
8:9155565-9155665	3.659e-16	2.235e-10	3.822e-11
1:71081360-71081460	1.395e-13	2.617e-07	2.604e-08
2:127060901-127061001	5.088e-10	2.57e-07	1.234e-09
17:17052207-17052307	1.137e-14	2.359e-10	1.181e-11
9:99259733-99259833	1.408e-11	8.93e-10	3.174e-11
6:41707996-41708096	7.835e-11	2.605e-07	1.482e-09
2:127194006-127194106	2.815e-16	7.274e-09	7.052e-11
15:70437438-70437538	1.238e-10	4.672e-10	1.621e-09
4:169315231-169315331	7.441e-14	5.129e-10	1.08e-10
4:56387669-56387769	7.441e-14	5.129e-10	1.08e-10
1:230106244-230106344	1.272e-15	4.342e-10	1.16e-11
3:151770682-151770782	2.751e-20	6.98e-13	5.484e-14
2:27489921-27490021	3.05e-13	7.966e-11	1.142e-10
8:134631877-134631977	6.603e-17	5.034e-13	1.045e-13
14:55108103-55108203	5.93e-11	4.279e-09	2.648e-09
5:110726904-110727004	9.248e-17	1.391e-09	5.816e-12
16:2883221-2883321	1.695e-12	5.346e-08	1.412e-08
16:67151185-67151285	1.04e-11	1.452e-09	1.635e-09
17:49568350-49568450	4.119e-10	1.198e-07	3.002e-10
1:68146139-68146239	5.321e-13	4.964e-09	1.085e-10
16:72974684-72974784	2.342e-18	4.837e-12	4.249e-13
