SEQID	HNF4G	HNF4A
3:45660164-45660264	1.252e-10	9.477e-20
18:9073816-9073916	4.539e-08	2.715e-16
16:58634796-58634896	2.571e-10	1.378e-21
15:50226251-50226351	2.556e-11	4.881e-21
14:69081646-69081746	4.281e-07	5.583e-18
2:2046906-2047006	2.109e-10	2.434e-19
2:208266207-208266307	4.24e-07	6.342e-13
7:24757907-24758007	9.939e-11	4.919e-17
11:107409065-107409165	1.826e-07	5.182e-16
12:24038603-24038703	6.913e-10	2.298e-19
13:112929213-112929313	5.739e-07	5.448e-16
15:96596296-96596396	3.955e-09	1.204e-17
9:33816749-33816849	8.369e-07	8.135e-21
8:98782331-98782431	8.624e-09	8.576e-20
1:221563743-221563843	6.979e-08	1.918e-20
5:56859178-56859278	7.714e-07	1.494e-19
4:73407572-73407672	1.229e-09	3.432e-21
20:62003260-62003360	3.735e-08	7.034e-18
1:200275855-200275955	4.178e-11	2.227e-22
10:97515915-97516015	7.895e-07	1.13e-17
11:99687713-99687813	6.671e-10	3.324e-18
19:10717884-10717984	2.575e-07	2.417e-13
2:54532805-54532905	3.482e-12	2.615e-22
X:31934979-31935079	1.531e-08	4.973e-21
7:11228957-11229057	3.053e-10	2.362e-21
1:234963877-234963977	9.656e-11	6.175e-23
16:58848241-58848341	9.624e-05	3.868e-11
17:50691996-50692096	6.038e-10	1.052e-14
10:116912474-116912574	6.669e-10	2.71e-18
8:122347652-122347752	4.696e-10	3.892e-18
14:50001719-50001819	3.018e-08	9.599e-17
7:45890356-45890456	2.483e-06	1.41e-16
3:20233262-20233362	5.426e-08	1.072e-15
5:42015602-42015702	3.105e-06	6.142e-16
2:161257685-161257785	3.815e-09	6.307e-18
17:56915928-56916028	6.661e-10	6.865e-17
16:57373101-57373201	4.046e-07	3.16e-14
18:3117752-3117852	6.509e-08	4e-14
5:67771047-67771147	6.795e-09	1.858e-18
11:33258966-33259066	1.601e-05	6.938e-15
13:48236907-48237007	2.671e-07	5.287e-17
9:22446248-22446348	2.351e-10	8.363e-22
4:100908299-100908399	2.351e-10	8.363e-22
9:72130031-72130131	7.875e-05	8.557e-16
2:8628086-8628186	4.778e-08	1.602e-12
1:217470382-217470482	9.216e-07	4.932e-14
6:118934072-118934172	2.794e-08	1.024e-13
2:147430775-147430875	7.815e-07	5.485e-17
3:74413934-74414034	9.481e-07	1.473e-15
11:101267722-101267822	9.481e-07	1.473e-15
12:1768938-1769038	5.195e-10	3.638e-21
3:194271242-194271342	1.646e-07	8.261e-16
19:44747478-44747578	1.154e-09	4.004e-21
3:7650814-7650914	1.66e-10	4.728e-22
10:122063537-122063637	3.406e-12	9.821e-28
1:40386087-40386187	9.948e-10	9.369e-22
19:54208570-54208670	1.135e-10	7.8e-17
5:126335070-126335170	1.719e-10	1.372e-21
16:11564653-11564753	1.28e-07	1.693e-14
6:87732397-87732497	1.109e-08	2.338e-15
7:134892301-134892401	4.369e-07	1.347e-18
12:32141258-32141358	1.399e-09	5.433e-18
1:46687541-46687641	1.608e-09	2.135e-20
3:150260085-150260185	1.514e-10	5.23e-22
11:43644522-43644622	8.832e-09	3.118e-18
15:77991918-77992018	5.737e-09	1.208e-20
1:117934511-117934611	1.725e-08	2.492e-16
X:134463302-134463402	1.623e-10	6.855e-16
12:40032245-40032345	4.229e-08	2.155e-19
1:46949061-46949161	1.26e-08	2.986e-23
2:196984212-196984312	2.868e-11	3.803e-22
12:3841183-3841283	3.904e-09	7.145e-20
10:80504853-80504953	4.82e-07	2.291e-13
6:126578868-126578968	4.949e-09	3.589e-18
16:4015513-4015613	2.553e-13	1.11e-24
13:110798928-110799028	2.457e-06	1.071e-13
9:110059805-110059905	9.73e-08	4.534e-16
8:128631734-128631834	6.349e-07	7.999e-12
2:147500082-147500182	0.0002849	2.711e-13
X:43640326-43640426	1.369e-09	9.491e-20
12:49741394-49741494	7.415e-10	3.344e-16
6:15836870-15836970	9.456e-05	2.22e-11
4:169202115-169202215	7.673e-07	6.82e-16
14:61762264-61762364	4.012e-09	4.908e-19
20:45361975-45362075	7.72e-10	7.007e-22
1:232705109-232705209	5.757e-08	1.911e-20
6:124964408-124964508	2.016e-07	4.813e-18
13:33168728-33168828	2.092e-09	2.197e-16
3:40087737-40087837	2.004e-10	1.165e-18
9:89665154-89665254	9.189e-09	1.128e-19
1:56546163-56546263	9.883e-11	3.443e-20
17:28347032-28347132	1.093e-08	1.039e-16
15:63891425-63891525	3.765e-10	9.506e-27
16:30355744-30355844	8.629e-09	1.127e-20
11:44716626-44716726	9.443e-10	7.604e-22
9:96246641-96246741	2.451e-10	6.893e-21
16:72093070-72093170	8.264e-10	5.911e-16
12:124862967-124863067	1.925e-07	1.456e-16
10:71835903-71836003	4.004e-11	2.422e-19
11:16335878-16335978	1.589e-06	3.509e-19
21:33203602-33203702	3.346e-08	1.83e-20
16:9258171-9258271	4.768e-09	5.237e-23
7:155277095-155277195	6.3e-10	4.197e-17
5:15286496-15286596	1.481e-06	7.096e-16
10:79406350-79406450	2.395e-10	4.132e-21
3:135218088-135218188	2.107e-09	1.488e-19
1:12458072-12458172	3.285e-07	2.444e-12
9:33940924-33941024	1.028e-10	3.632e-22
17:43772354-43772454	9.339e-10	3.299e-19
19:36667196-36667296	9.701e-10	5.99e-19
1:230113927-230114027	2.587e-09	4.279e-15
5:56211805-56211905	6.586e-08	1.131e-18
13:109390181-109390281	8.973e-11	3.577e-21
2:231133695-231133795	2.705e-10	7.333e-21
20:13245536-13245636	8.86e-11	4.776e-22
15:85032579-85032679	1.082e-07	9.246e-15
17:68386590-68386690	3.376e-08	3.541e-17
3:194137402-194137502	7.112e-10	8.872e-19
1:109277738-109277838	6.261e-08	4.552e-18
16:89354049-89354149	3.883e-11	3.315e-22
15:70196391-70196491	2.15e-09	1.055e-20
2:183057336-183057436	3.085e-09	1.911e-20
21:37829844-37829944	5.867e-10	1.12e-19
5:59430313-59430413	1.161e-09	8.974e-19
14:50801994-50802094	2.472e-09	2.199e-16
15:69561759-69561859	8.402e-10	3.251e-23
8:13276871-13276971	7.489e-09	3.777e-16
1:155286938-155287038	5.372e-07	1.449e-17
1:234522634-234522734	5.226e-10	5.833e-22
8:35756833-35756933	1.961e-09	4.04e-19
14:101809702-101809802	4.127e-10	2.52e-21
17:81834012-81834112	4.57e-06	1.342e-14
16:8850596-8850696	4.282e-10	1.531e-20
15:67661196-67661296	6.443e-08	7.232e-19
7:17100480-17100580	3.236e-09	1.789e-20
21:38805359-38805459	1.063e-07	2.539e-20
5:88268826-88268926	1.375e-10	5.958e-20
15:63049125-63049225	4.118e-06	6.492e-13
6:168197062-168197162	2.19e-10	6.589e-21
8:85177937-85178037	5.625e-08	4.909e-17
14:94548640-94548740	7.803e-08	7.201e-16
17:50440613-50440713	2.506e-05	1.624e-20
14:89352422-89352522	5.638e-08	2.841e-19
8:100950474-100950574	1.65e-09	8.831e-18
3:43389777-43389877	2.76e-10	1.61e-21
20:50957443-50957543	1.112e-17	5.295e-41
7:7182293-7182393	1.313e-09	5.015e-20
10:102753536-102753636	4.169e-09	1.554e-22
9:91196004-91196104	1.392e-07	3.102e-15
1:244970762-244970862	2.493e-08	8.257e-17
20:57436391-57436491	1.89e-12	2.265e-23
15:68275469-68275569	1.926e-07	2.797e-16
12:120302328-120302428	1.582e-10	1.994e-16
8:96645232-96645332	6.166e-10	1.164e-18
9:3732581-3732681	9.569e-10	3.767e-23
4:18022580-18022680	4.779e-09	1.587e-22
11:70326690-70326790	6.275e-10	2.608e-22
11:14540467-14540567	1.105e-08	1.468e-15
9:4430573-4430673	6.062e-08	9.931e-17
6:125923536-125923636	5.708e-06	4.271e-15
19:46896483-46896583	1.056e-08	4.727e-19
16:9047992-9048092	5.985e-08	7.946e-11
21:15222218-15222318	5.187e-08	6.48e-21
9:12775084-12775184	3.551e-08	9.235e-19
6:14720849-14720949	0.003044	9.311e-09
12:46368508-46368608	6.907e-09	1.882e-21
1:228866846-228866946	1.863e-09	3.818e-16
6:32178253-32178353	1.856e-06	2.696e-16
18:50853993-50854093	3.262e-06	1.666e-13
3:177360234-177360334	5.397e-07	4.052e-13
17:77430446-77430546	2.983e-07	1.496e-21
10:73132509-73132609	3.274e-11	1.488e-22
X:153102835-153102935	8.478e-09	9.096e-19
2:96260708-96260808	1.791e-08	1.377e-15
4:41865906-41866006	2.095e-10	4.815e-20
17:1808999-1809099	4.128e-10	9.667e-17
11:130120369-130120469	5.784e-12	3.845e-23
5:36242054-36242154	5.583e-12	1.615e-18
12:93795705-93795805	9.634e-10	3.628e-21
2:20214159-20214259	2.185e-07	1.034e-18
10:15181149-15181249	2.587e-08	3.306e-18
16:48410321-48410421	2.658e-05	1.436e-10
2:112801166-112801266	7.646e-09	3.647e-17
7:155801324-155801424	7.113e-10	1.086e-18
8:57587782-57587882	3.079e-10	2.22e-20
3:99920631-99920731	2.828e-06	3.631e-15
22:41588005-41588105	5.134e-08	1.648e-18
2:27771827-27771927	7.011e-09	6.07e-19
2:120551212-120551312	9.432e-09	1.896e-16
8:129549563-129549663	4.343e-08	6.176e-19
16:85940626-85940726	3.089e-09	3.363e-17
12:16360217-16360317	5.552e-09	1.458e-17
16:11744738-11744838	4.181e-08	1.565e-18
12:7060139-7060239	1.475e-10	2.616e-14
18:22098818-22098918	1.02e-09	2.156e-20
3:123085925-123086025	2.822e-07	3.141e-17
1:235083994-235084094	4.223e-06	8.347e-16
18:48453471-48453571	1.096e-06	2.394e-11
1:56414031-56414131	6.031e-10	1.275e-16
6:7139340-7139440	1.698e-09	4.524e-18
3:100546643-100546743	2.793e-08	1.993e-18
8:47734912-47735012	5.303e-08	2.307e-18
16:70158155-70158255	1.789e-09	4.327e-18
6:107459748-107459848	4.109e-08	6.985e-24
16:4676124-4676224	4.21e-08	3.173e-19
3:141326413-141326513	3.658e-07	1.683e-11
8:17525923-17526023	3.134e-09	1.071e-20
6:167269064-167269164	1.388e-09	8.324e-21
10:46023527-46023627	1.449e-11	1.001e-21
5:157555550-157555650	6.316e-07	2.198e-28
16:69040626-69040726	5.672e-08	3.062e-18
10:57885454-57885554	5.92e-11	5.441e-19
11:126327664-126327764	2.793e-08	1.06e-14
19:47203625-47203725	1.958e-10	1.563e-22
12:22625070-22625170	1.063e-09	2.999e-19
3:61409738-61409838	1.063e-09	2.999e-19
7:139066599-139066699	8.037e-08	1.864e-13
2:8305606-8305706	6.036e-08	1.716e-14
18:13313360-13313460	5.69e-08	3.287e-20
14:91889653-91889753	8.806e-09	5.966e-21
12:46808318-46808418	3.103e-10	1.289e-21
10:104255651-104255751	5.583e-06	1.828e-09
1:45545900-45546000	1.239e-07	8.966e-22
1:165179653-165179753	2.349e-07	1.117e-18
12:57735525-57735625	7.469e-10	3.301e-19
5:171080490-171080590	5.671e-09	2.618e-14
4:128292804-128292904	2.142e-08	2.261e-13
15:64706780-64706880	1.115e-09	7.308e-23
8:104450465-104450565	1.359e-07	3.048e-15
3:102180852-102180952	4.383e-09	4.441e-19
6:87832821-87832921	1.093e-07	7.882e-18
8:120812431-120812531	6.982e-09	4.218e-20
18:80150051-80150151	1.864e-08	1.132e-17
3:197478918-197479018	1.668e-10	2.841e-20
16:46886147-46886247	3.036e-08	6.235e-17
6:135251898-135251998	5.977e-08	1.728e-18
X:109966536-109966636	5.609e-07	4.845e-10
6:106772632-106772732	1.786e-06	5.457e-13
12:81086195-81086295	7.11e-10	2.175e-18
17:52234020-52234120	9.327e-09	3.199e-15
19:4760150-4760250	5.25e-11	5.185e-17
1:66930449-66930549	9.638e-11	4.89e-20
6:119261640-119261740	7.188e-07	2.493e-18
1:99152521-99152621	8.85e-14	3.732e-27
3:146544892-146544992	1.002e-07	9.394e-13
1:25682601-25682701	2.921e-09	3.503e-21
12:80812426-80812526	6.354e-13	1.541e-22
18:67146147-67146247	7.884e-07	6.045e-15
8:8701828-8701928	7.914e-05	1.458e-12
1:172976597-172976697	0.0001756	2.383e-19
13:75792862-75792962	1.579e-07	4.187e-17
22:20778105-20778205	2.651e-08	7.013e-18
3:129739764-129739864	2.658e-06	1.522e-10
10:21533805-21533905	7.917e-09	2.699e-16
1:145707538-145707638	3.548e-09	4.395e-14
2:75570926-75571026	1.172e-08	3.192e-17
6:54633911-54634011	5.332e-08	2.84e-18
1:236019184-236019284	2.081e-09	2.987e-14
17:57516700-57516800	9.148e-08	1.05e-14
7:139680156-139680256	9.955e-07	9.162e-18
10:14060752-14060852	5.444e-06	5.275e-17
15:73683837-73683937	6.89e-08	5.304e-15
9:125201293-125201393	6.89e-08	5.304e-15
22:41344524-41344624	2.91e-08	4.378e-18
11:121586132-121586232	7.697e-11	5.739e-23
3:101573908-101574008	9.25e-10	6.645e-20
16:71351681-71351781	1.993e-08	1.024e-18
20:45344193-45344293	5.942e-05	1.01e-09
2:133495566-133495666	4.573e-09	6.776e-19
10:14536701-14536801	1.292e-08	7.352e-20
14:63438320-63438420	3.008e-07	1.417e-14
3:150279194-150279294	4.483e-08	1.303e-17
14:64706925-64707025	2.067e-07	2.708e-22
7:139740690-139740790	1.187e-05	2.847e-10
22:37608794-37608894	1.697e-11	1.089e-23
7:156516637-156516737	3.246e-09	4.778e-17
1:19068120-19068220	7.518e-10	3.687e-19
4:138199944-138200044	2.129e-09	2.805e-17
13:98229322-98229422	3.585e-09	2.891e-19
10:14954392-14954492	5.206e-09	6.508e-19
9:37485653-37485753	2.205e-08	3.921e-19
4:113548016-113548116	1.621e-09	1.741e-20
6:12539270-12539370	2.309e-09	8.143e-14
12:14385178-14385278	1.173e-07	1.029e-16
2:85115130-85115230	5.097e-10	7.992e-15
4:139301324-139301424	7.7e-12	4.417e-19
1:234987043-234987143	0.000151	3.888e-11
12:100128309-100128409	4.434e-10	6.088e-20
2:149954006-149954106	5.827e-10	3.446e-22
1:56445461-56445561	3.161e-11	1.692e-23
11:22674852-22674952	6.354e-07	8.719e-15
14:87755198-87755298	9.52e-07	1.033e-14
17:14374200-14374300	3.857e-10	1.193e-21
22:46267743-46267843	2.355e-08	8.499e-18
20:14699341-14699441	6.088e-08	6.999e-18
9:128103283-128103383	1.596e-07	4.239e-18
4:2947190-2947290	2.389e-09	2.15e-18
8:60861119-60861219	2.389e-09	2.15e-18
17:10798234-10798334	1.189e-08	5.34e-20
7:37198932-37199032	3.108e-10	2.873e-21
4:77900211-77900311	4.378e-11	5.081e-27
8:123739939-123740039	1.577e-08	1.033e-18
15:84763277-84763377	2.804e-10	3.776e-18
5:61625943-61626043	8.99e-07	6.918e-19
17:45061185-45061285	5.525e-07	1.748e-15
14:81212263-81212363	5.097e-09	5.763e-21
3:30242226-30242326	6.347e-09	1.427e-19
12:120302097-120302197	3.95e-10	3.997e-17
8:129549776-129549876	3.192e-09	9.174e-20
6:3069085-3069185	8.117e-08	2.43e-19
3:126367618-126367718	2.291e-07	6.204e-19
22:35894015-35894115	1.82e-09	1.828e-21
4:15078389-15078489	1.744e-09	1.982e-18
1:233721466-233721566	4.742e-10	5.419e-20
12:121859366-121859466	3.928e-13	5.507e-18
8:118387065-118387165	2.247e-09	1.559e-19
20:699938-700038	1.115e-08	1.146e-21
2:21095292-21095392	4.78e-10	6.051e-21
3:72594162-72594262	6.067e-09	7.544e-22
19:13096401-13096501	8.301e-11	1.388e-19
11:19399134-19399234	6.425e-08	7.708e-18
13:74107938-74108038	3.214e-07	3.816e-19
12:109116375-109116475	4.019e-08	7.394e-18
5:143108651-143108751	1.344e-11	6.893e-20
19:49580828-49580928	9.813e-08	1.504e-19
1:15886636-15886736	1.741e-07	9.013e-17
X:20394285-20394385	1.741e-07	9.013e-17
11:74984497-74984597	8.498e-13	4.316e-20
2:31705019-31705119	0.0005717	3.402e-08
21:37083162-37083262	2.608e-12	2.293e-22
2:43824950-43825050	4.986e-09	9.775e-22
17:17569148-17569248	3.233e-06	1.27e-13
2:63663468-63663568	8.811e-10	9.745e-20
1_KI270713v1_random:21954-22054	0.0001608	6.378e-13
16:10274921-10275021	6.009e-06	3.591e-13
6:144665262-144665362	6.358e-11	7.005e-23
12:21895176-21895276	2.124e-09	6.981e-19
6:50093494-50093594	3.909e-10	3.705e-19
22:28784369-28784469	1.457e-07	1.142e-17
10:112296607-112296707	5.756e-06	8.881e-14
7:138243650-138243750	2.346e-10	2.969e-22
10:110918544-110918644	6.03e-10	1.126e-17
1:99647847-99647947	1.179e-08	1.728e-17
6:21062213-21062313	2.908e-11	7.635e-16
12:51025350-51025450	2.908e-11	7.635e-16
10:4852139-4852239	4.757e-11	2.851e-19
9:94666723-94666823	4.595e-07	8.278e-17
12:115095493-115095593	4.783e-05	2.464e-11
13:103131148-103131248	1.319e-05	7.454e-11
17:19337219-19337319	1.44e-08	6.862e-21
7:116598646-116598746	1.104e-13	2.301e-22
6:165746591-165746691	3.436e-10	5.771e-21
20:53621985-53622085	9.201e-08	7.666e-15
12:26523656-26523756	3.513e-06	3.592e-20
X:22111375-22111475	2.401e-10	1.416e-16
12:100437724-100437824	4.537e-09	1.235e-19
16:89394327-89394427	7.617e-15	4.116e-26
5:96662140-96662240	4.23e-09	2.771e-18
11:95706005-95706105	1.173e-07	4.864e-17
6:26311755-26311855	7.196e-12	8.838e-23
6:14818709-14818809	1.27e-06	1.866e-15
19:5953384-5953484	5.792e-10	1.269e-15
17:15968169-15968269	5.792e-10	1.269e-15
2:63674036-63674136	2.676e-05	6.929e-15
4:40455846-40455946	2.082e-08	2.023e-16
16:69424613-69424713	8.118e-09	2.006e-17
17:17900846-17900946	3.424e-09	1.975e-20
4:151326014-151326114	1.02e-09	8.384e-21
11:100775239-100775339	4.621e-09	3.463e-15
9:128095486-128095586	5.365e-06	4.343e-19
6:105792344-105792444	4.266e-10	6.473e-18
6:1042946-1043046	1.49e-08	2.14e-20
8:103055500-103055600	5.324e-09	3.014e-15
1:54273720-54273820	2.539e-12	1.488e-20
14:38540322-38540422	4.544e-07	4.869e-09
12:113236972-113237072	1.538e-07	2.978e-13
2:20203497-20203597	3.116e-08	8.328e-15
3:149778123-149778223	3.268e-06	6.019e-16
2:86195074-86195174	1.469e-11	3.75e-15
15:32649621-32649721	3.243e-10	7.271e-19
3:105500127-105500227	3.331e-10	1.215e-19
11:100774985-100775085	2.486e-06	1.731e-14
7:106486394-106486494	1.055e-09	1.457e-16
2:27723678-27723778	7.628e-08	9.451e-19
6:159983651-159983751	3.687e-07	6.888e-18
11:65477271-65477371	9.154e-10	1.18e-17
9:73038638-73038738	5.27e-06	2.751e-14
8:94872053-94872153	2.106e-08	7.001e-20
4:169269529-169269629	2.207e-08	7.204e-17
17:68821256-68821356	3.956e-11	2.122e-21
20:13424537-13424637	2.087e-10	6.494e-19
3:129740018-129740118	3.875e-06	2.156e-17
5:76422450-76422550	1.394e-09	8.637e-17
11:36702942-36703042	2.071e-09	1.569e-15
7:96322563-96322663	2.075e-08	1.117e-16
2:197613842-197613942	2.075e-08	1.117e-16
6:39923723-39923823	6.545e-08	4.297e-15
22:32680506-32680606	9.859e-09	1.14e-17
16:28609893-28609993	7.178e-08	1.112e-17
5:132878884-132878984	1.293e-10	1.086e-18
17:7184267-7184367	2.203e-08	1.983e-18
5:136019235-136019335	7.41e-07	6.09e-14
3:126356173-126356273	3.544e-07	4.58e-16
15:55290547-55290647	5.028e-09	3.225e-21
6:37128329-37128429	1.823e-12	9.14e-24
20:24988394-24988494	2.251e-06	2.917e-13
11:15650214-15650314	1.198e-09	4.437e-14
2:189575131-189575231	8.667e-09	1.18e-16
7:103660568-103660668	2.555e-06	4.259e-15
10:93250391-93250491	2.555e-06	4.259e-15
11:705151-705251	1.759e-08	8.537e-16
2:39437776-39437876	3.327e-07	3.325e-16
6:170145528-170145628	6.879e-08	5.761e-20
12:52884850-52884950	1.93e-09	1.595e-21
20:3069237-3069337	2.556e-10	5.233e-18
18:62869802-62869902	8.802e-08	1.365e-14
15:40107276-40107376	1.252e-08	3.86e-19
7:56106872-56106972	1.558e-08	7.269e-17
3:174860153-174860253	4.306e-11	2.597e-21
9:33140183-33140283	2.349e-08	5.745e-18
8:27597442-27597542	3.576e-10	3.261e-21
9:89317965-89318065	6.03e-10	2.947e-20
4:77900518-77900618	6.03e-10	2.947e-20
17:4968222-4968322	2.289e-06	1.987e-14
17:57518068-57518168	3.376e-08	7.651e-17
7:139740487-139740587	1.609e-08	2.93e-16
3:124629707-124629807	2.418e-07	1.501e-23
9:89734755-89734855	1.532e-09	9.459e-21
12:124011940-124012040	2.905e-09	1.346e-15
2:3380351-3380451	1.456e-09	3.343e-19
8:9134983-9135083	3.685e-07	2.154e-14
4:40414824-40414924	1.353e-10	1.062e-20
15:78005476-78005576	1.665e-09	3.789e-23
17:66229809-66229909	2.832e-09	1.859e-17
7:73855615-73855715	9.442e-07	1.823e-15
15:92795794-92795894	8.331e-07	1.572e-19
2:173060364-173060464	1.727e-09	4.087e-23
14:89451615-89451715	1.517e-10	9.819e-18
1:234534887-234534987	1.288e-08	5.724e-19
1:225413184-225413284	2.228e-08	2.886e-21
12:124369810-124369910	6.465e-09	8.905e-19
5:143108865-143108965	3.648e-09	1.201e-20
11:95705682-95705782	1.762e-10	1.779e-20
10:129757387-129757487	4.639e-09	6.532e-21
14:32201263-32201363	6.736e-06	6.34e-16
8:128091191-128091291	1.077e-09	2.111e-21
7:23957257-23957357	0.0001564	7.182e-14
12:47316993-47317093	1.007e-10	3.427e-21
8:59030737-59030837	4.099e-09	2.698e-16
19:38685708-38685808	6.012e-11	2.307e-22
7:150378073-150378173	2.064e-12	4.22e-24
2:20823137-20823237	7.641e-10	1.486e-21
2:119753807-119753907	7.818e-11	1.963e-20
12:128974392-128974492	4.672e-10	3.03e-18
5:143561613-143561713	1.401e-06	3.451e-12
22:18157520-18157620	2.198e-11	2.523e-20
10:114526972-114527072	3.264e-09	8.726e-19
17:64262435-64262535	1.921e-09	1.826e-20
10:124988091-124988191	3.431e-10	1.188e-20
13:49690607-49690707	3.431e-10	1.188e-20
9:12818139-12818239	6.213e-09	1.921e-13
11:57618903-57619003	8.132e-10	2.648e-20
11:15688805-15688905	8.017e-08	6.029e-21
22:30005561-30005661	1.8e-09	3.757e-16
10:29317432-29317532	2.273e-09	1.728e-18
20:31699488-31699588	3.051e-09	2.264e-17
16:67735087-67735187	1.778e-11	1.033e-21
1:229225754-229225854	1.035e-05	2.852e-08
4:128310524-128310624	3.839e-06	5.066e-17
2:38876005-38876105	1.09e-08	5.325e-19
X:1206050-1206150	4.24e-11	2.558e-20
6:145244981-145245081	4.24e-11	2.558e-20
18:61636223-61636323	1.103e-08	1.332e-15
4:45876505-45876605	2.781e-10	9.909e-20
6:134049006-134049106	1.9e-09	5.416e-18
5:36151189-36151289	1.304e-08	3.144e-15
3:39317979-39318079	1.304e-08	3.144e-15
16:89353839-89353939	1.617e-08	4.285e-19
X:115970571-115970671	4.284e-07	9.29e-14
8:57587577-57587677	3.783e-10	1.348e-16
10:58813911-58814011	7.996e-08	1.439e-15
1:219931371-219931471	1.092e-08	1.941e-21
6:110815853-110815953	1.845e-10	2.506e-20
15:40894597-40894697	7.361e-10	8.014e-21
1:200022697-200022797	3.348e-08	1.106e-15
15:60591201-60591301	1.355e-09	2.322e-18
6:158799511-158799611	1.89e-09	4.45e-17
19:33391750-33391850	2.511e-09	1.054e-19
11:65430212-65430312	2.099e-08	2.681e-20
7:150800525-150800625	6.465e-11	4.396e-17
22:50296929-50297029	0.0003449	1.724e-12
6:87785389-87785489	1.675e-06	3.122e-14
7:99733335-99733435	6.158e-08	3.817e-19
14:61696248-61696348	3.78e-08	2.714e-14
17:7403686-7403786	2.008e-05	7.971e-17
20:45254908-45255008	1.211e-07	1.191e-17
1:52921755-52921855	6.688e-10	2.521e-20
8:94947473-94947573	1.71e-07	5.391e-14
