SEQID	YY1	CTCF	ZBTB33	REST
4:18593919-18594019	6.197e-09	1.531e-15	1.973e-11	7.283e-16
1:27885453-27885553	6.05e-13	2.757e-08	2.765e-11	1.19e-11
1:27322398-27322498	7.956e-13	9.382e-10	5.703e-12	6.453e-16
12:133080475-133080575	3.7e-13	2.213e-13	5.658e-08	6.21e-18
1:26832155-26832255	1.555e-16	9.014e-14	4.983e-11	1.058e-19
15:88656237-88656337	4.162e-16	1.967e-11	7.138e-13	2.488e-16
9:127778872-127778972	9.349e-14	3.521e-13	4.309e-11	6.779e-17
1:48203674-48203774	1.747e-12	1.584e-13	7.485e-16	2.427e-20
7:75615262-75615362	1.747e-12	1.584e-13	7.485e-16	2.427e-20
2:241637724-241637824	8.892e-15	8.359e-10	2.148e-09	6.889e-17
3:132726626-132726726	6.146e-10	1.021e-14	1.121e-12	3.633e-18
6:118894580-118894680	4.581e-10	1.899e-09	1.562e-07	5.936e-17
1:181676651-181676751	3.644e-12	6.21e-10	3.996e-14	1.683e-16
13:32538368-32538468	2.12e-12	7.316e-12	3.278e-12	1.451e-17
14:103715771-103715871	8.717e-11	2.091e-11	2.414e-10	7.851e-18
5:72848837-72848937	1.03e-14	1.251e-10	2.285e-08	5.311e-19
1:178725508-178725608	1.552e-14	1.011e-10	5.433e-09	9.405e-13
6:166382161-166382261	1.272e-10	8.065e-10	7.11e-10	4.073e-16
6:110958854-110958954	1.419e-13	8.413e-10	1.798e-11	1.274e-16
14:71362290-71362390	8.615e-10	3.124e-15	5.42e-13	7.959e-20
5:176362017-176362117	1.207e-08	3.976e-13	1.238e-12	8.702e-20
11:1640425-1640525	1.745e-06	2.757e-13	3.521e-10	1.513e-16
17:77281445-77281545	1.507e-11	5.765e-12	7.973e-10	1.501e-15
5:157816985-157817085	3.546e-14	1.434e-12	1.501e-16	1.938e-15
8:129726688-129726788	8.418e-11	3.542e-13	4.271e-14	1.351e-20
8:143553783-143553883	1.733e-13	1.061e-07	8.525e-12	9.111e-16
1:159799132-159799232	1.215e-05	4.728e-12	2.712e-12	6.869e-11
8:65952192-65952292	2.18e-08	3.358e-08	1.27e-11	2.529e-18
20:50276282-50276382	5.419e-11	6.441e-09	9.398e-11	1.068e-15
10:49281774-49281874	1.61e-11	1.075e-12	5.189e-10	3.324e-16
6:5261447-5261547	0.003386	5.623e-12	1.148e-12	3.039e-18
12:90959865-90959965	2.155e-08	3.492e-10	2.167e-09	2.628e-20
12:89164118-89164218	8.818e-08	5.975e-11	8.772e-14	9.235e-19
5:163460547-163460647	3.517e-15	2.49e-09	2.195e-11	6.919e-18
17:45229344-45229444	1.63e-10	1.66e-08	3.818e-11	4.403e-11
17:8110594-8110694	6.899e-12	6.24e-10	1.909e-12	1.21e-14
3:12842027-12842127	6.367e-14	1.832e-08	2.761e-13	9.305e-16
17:57783620-57783720	5.179e-15	1.636e-12	9.244e-13	4.671e-18
8:47903796-47903896	5.363e-13	9.885e-13	2.61e-14	4.152e-21
16:28880183-28880283	5.774e-12	7.823e-11	5.865e-07	7.744e-17
17:81977740-81977840	7.28e-12	3.291e-12	1.076e-11	2.356e-17
14:74251906-74252006	0.0002094	9.755e-11	5.206e-10	3.577e-16
3:101779653-101779753	9.952e-15	4.899e-12	3.331e-11	1.397e-16
8:96328339-96328439	6.352e-06	4.477e-12	3.528e-12	4.416e-19
1:201171088-201171188	5.781e-12	1.705e-10	1.562e-09	1.438e-15
3:101849900-101850000	2.269e-10	5.69e-12	2.073e-11	9.246e-18
4:83010890-83010990	1.371e-11	4.816e-10	4.992e-10	8.484e-17
11:75399698-75399798	1.079e-09	1.252e-08	2.544e-10	4.486e-16
17:7845065-7845165	1.009e-11	2.861e-14	5.057e-11	2.071e-17
10:70404256-70404356	8.104e-16	3.316e-12	5.619e-11	1.243e-18
2:161161021-161161121	3.332e-14	8.411e-10	1.186e-11	1.627e-16
16:28163865-28163965	2.856e-09	4.21e-12	4.408e-06	5.639e-18
2:26785951-26786051	1.302e-12	1.931e-06	7.268e-10	3.121e-18
1:27392667-27392767	1.461e-14	4.299e-10	5.341e-09	3.67e-16
9:97906615-97906715	5.73e-12	5.902e-12	2.033e-16	8.439e-19
16:66524208-66524308	2.579e-10	6.053e-10	4.158e-10	1.033e-18
2:84905718-84905818	6.294e-12	2.025e-12	1.297e-07	1.397e-15
19:51751010-51751110	6.245e-11	1.037e-16	3.712e-11	1.694e-19
2:71227506-71227606	3.419e-13	2.226e-08	1.135e-12	2.529e-19
13:46289386-46289486	9.093e-11	1.844e-09	4.337e-15	6.146e-19
3:122383366-122383466	9.423e-11	8.836e-12	1.95e-12	8.299e-13
5:17203685-17203785	5.923e-14	2.531e-13	8.925e-13	2.264e-19
1:183636218-183636318	8.95e-12	5.641e-09	6.501e-12	5.965e-16
4:121801421-121801521	3.982e-12	5.559e-13	2.166e-12	2.901e-19
1:17066829-17066929	1.69e-06	1.395e-10	2.756e-09	3.609e-19
1:205749766-205749866	1.603e-11	1.599e-10	1.829e-07	1.031e-17
20:43752861-43752961	6.564e-14	1.16e-11	4.389e-10	1.854e-16
11:67464969-67465069	1.971e-13	9.729e-09	7.771e-11	2.247e-15
14:75295029-75295129	2.396e-11	3.249e-11	1.37e-08	8.2e-18
7:98284833-98284933	1.888e-10	3.995e-12	2.164e-12	2.985e-19
19:36115715-36115815	1.279e-14	1.354e-07	9.728e-13	3.078e-19
3:133574771-133574871	9.977e-12	1.291e-12	1.926e-11	8.033e-19
12:949961-950061	1.642e-14	1.393e-11	1.069e-10	4.361e-19
11:61892039-61892139	4.146e-14	1.175e-05	1.424e-09	4.928e-15
19:45002050-45002150	1.289e-10	1.72e-08	3.569e-10	9.931e-18
9:136631761-136631861	6.849e-16	1.663e-10	3.777e-12	1.222e-14
19:3971399-3971499	8.344e-11	5.318e-12	1.08e-11	1.698e-16
6:85483273-85483373	1.912e-10	1.721e-13	1.769e-12	1.282e-15
13:75482645-75482745	9.261e-15	1.427e-06	9.662e-10	7.462e-15
2:26456100-26456200	8.339e-11	1.475e-12	1.312e-11	4.034e-17
3:53220217-53220317	1.828e-13	1.24e-11	2.387e-13	1.803e-18
6:159790656-159790756	3.043e-09	1.317e-11	5.901e-07	1.446e-15
22:21666384-21666484	3.043e-09	1.317e-11	5.901e-07	1.446e-15
7:41941055-41941155	1.05e-12	2.006e-11	6.966e-12	8.171e-16
7:55964955-55965055	6.075e-14	9.27e-12	1.349e-07	7.929e-12
X:109733449-109733549	7.459e-11	2.701e-09	7.533e-08	1.426e-16
10:102646420-102646520	1.218e-10	7.505e-11	6.409e-13	6.185e-17
18:58136161-58136261	4.738e-07	8.781e-13	3.736e-13	3.125e-19
19:55640392-55640492	8.913e-12	3.301e-12	4.801e-11	2.999e-18
12:45726075-45726175	5.583e-09	3.194e-11	2.238e-07	1.413e-18
17:76506516-76506616	1.097e-09	0.003145	2.687e-08	1.054e-16
X:23667548-23667648	1.039e-13	1.778e-09	6.132e-06	6.317e-21
3:141106407-141106507	1.226e-12	2.043e-10	2.463e-08	9.707e-19
19:1855679-1855779	1.021e-12	1.984e-09	7.479e-09	9.681e-19
3:48446876-48446976	3.382e-17	1.603e-15	2.77e-13	2.763e-22
20:8400295-8400395	3.177e-10	8.329e-14	4.23e-12	2.779e-15
15:91861545-91861645	1.855e-11	2.063e-14	2.194e-14	4.573e-20
14:23632266-23632366	6.51e-11	7.694e-12	6.386e-13	1.35e-19
6:73653578-73653678	1.147e-12	1.309e-09	1.212e-07	1.665e-16
2:172556105-172556205	4.294e-11	1.69e-12	6.306e-07	1.378e-16
8:27311446-27311546	2.292e-13	4.745e-11	3.544e-09	1.676e-13
8:19408746-19408846	8.833e-12	1.832e-11	6.234e-11	1.083e-14
19:1211750-1211850	2.141e-12	1.081e-08	3.458e-07	9.517e-18
11:130003379-130003479	6.665e-16	1.106e-07	4.583e-09	1.703e-15
4:122758274-122758374	4.494e-15	3.097e-17	9.058e-16	8.823e-24
16:70471299-70471399	2.417e-07	2.057e-08	1.771e-11	1.383e-15
13:45329975-45330075	1.569e-10	7.812e-14	4.007e-14	1.302e-20
5:95781342-95781442	5.516e-10	3.028e-13	5.072e-11	1.407e-18
7:150988845-150988945	2.576e-13	1.887e-09	2.487e-08	7.2e-18
3:38298551-38298651	2.576e-13	1.887e-09	2.487e-08	7.2e-18
10:119892825-119892925	4.174e-14	7.166e-15	1.362e-13	5.406e-17
22:37739989-37740089	2.063e-15	1.166e-11	2.353e-14	2.022e-19
6:141563171-141563271	4.039e-11	2.893e-14	2.838e-13	2.592e-20
1:162561663-162561763	6.249e-12	8.717e-13	8.857e-06	2.489e-15
4:24419793-24419893	9.054e-11	4.589e-10	5.602e-14	1.501e-20
10:13778340-13778440	1.197e-09	6.764e-13	1.034e-13	5.542e-19
19:15380080-15380180	9.798e-11	3.033e-11	8.214e-08	4.226e-16
12:15269319-15269419	5.046e-12	3.185e-13	2.981e-13	1.087e-18
1:207752091-207752191	5.378e-13	1.929e-11	2.149e-09	1.288e-17
11:72777116-72777216	4.622e-14	6.991e-11	9.737e-08	6.65e-15
19:55117941-55118041	2.514e-14	1.23e-13	2.052e-07	3.887e-17
18:48950445-48950545	4.751e-09	1.96e-12	2.005e-12	1.764e-17
4:157266779-157266879	4.751e-09	1.96e-12	2.005e-12	1.764e-17
5:132444511-132444611	1.122e-11	1.96e-12	2.047e-16	1.764e-17
2:46650902-46651002	1.122e-11	1.96e-12	2.047e-16	1.764e-17
1:55215530-55215630	7.823e-09	7.601e-11	1.612e-09	2.297e-16
6:150815479-150815579	1.36e-12	5.712e-14	5.576e-13	7.478e-17
X:41309153-41309253	5.852e-10	2.315e-12	5.204e-13	2.4e-18
1:65060251-65060351	9.955e-12	1.702e-14	7.276e-12	2.052e-17
15:66404772-66404872	1.621e-09	5.263e-10	2.109e-11	7.233e-16
1:2315288-2315388	5.096e-14	6.746e-08	6.494e-11	2.031e-17
11:62646799-62646899	7.203e-10	1.491e-11	3.954e-11	1.666e-19
16:30658078-30658178	1.129e-11	2.369e-05	5.679e-09	8.504e-18
1:40097361-40097461	6.95e-15	1.224e-07	1.367e-08	5.843e-15
17:8807115-8807215	2.013e-08	4.958e-13	2.695e-16	4.14e-21
1:43368506-43368606	1.976e-12	4.316e-14	1.359e-10	4.842e-16
12:617867-617967	9.486e-13	2.053e-09	7.534e-11	6.064e-19
4:70993638-70993738	4.79e-13	2.845e-08	1.343e-10	3.77e-17
6:148177850-148177950	1.026e-09	1.312e-11	1.386e-12	2.079e-15
9:34620643-34620743	2.537e-10	1.105e-10	7.673e-09	1.089e-16
7:104883973-104884073	4.101e-10	1.895e-15	9.217e-12	1.381e-17
19:8390939-8391039	4.565e-11	5.831e-13	1.881e-08	5.815e-16
5:132737517-132737617	9.624e-14	4.221e-13	4.507e-07	1.275e-15
5:150847428-150847528	1.586e-08	2.932e-09	8.708e-11	7.537e-19
14:106664184-106664284	1.103e-13	0.003247	4.849e-11	7.01e-13
21:37073438-37073538	1.286e-14	5.931e-13	8.715e-07	2.222e-11
7:106424593-106424693	1.286e-14	5.931e-13	8.715e-07	2.222e-11
15:58934030-58934130	2.576e-10	6.863e-12	3.75e-11	3.521e-16
16:2969455-2969555	1.503e-14	1.489e-12	2.386e-07	3.475e-17
16:1826272-1826372	1.547e-14	2.283e-10	2.242e-05	2.848e-12
11:65477742-65477842	1.547e-14	2.283e-10	2.242e-05	2.848e-12
10:125719658-125719758	1.003e-12	1.083e-11	1.252e-09	4.95e-15
10:71837411-71837511	1.189e-08	1.562e-13	1.209e-12	3.442e-17
1:153990847-153990947	4.292e-15	2.078e-10	5.083e-08	6.269e-13
18:9334824-9334924	1.095e-13	1.415e-12	8.318e-07	5.453e-16
8:21906324-21906424	7.835e-11	1.356e-08	3.618e-10	3.754e-11
14:49620925-49621025	3.051e-11	1.084e-11	1.664e-10	3.394e-12
11:118659767-118659867	2.69e-13	1.995e-12	9.57e-11	6.755e-16
11:67607093-67607193	3.289e-13	3.322e-09	2.965e-08	1.308e-16
8:61139320-61139420	9.374e-11	5.361e-12	1.506e-12	4.174e-18
8:90119309-90119409	1.942e-09	2.891e-14	6.556e-13	2.097e-20
12:27022716-27022816	9.072e-13	1.385e-11	6.02e-07	9.061e-15
4:102501854-102501954	1.846e-15	2.463e-09	4.686e-09	2.65e-14
4:15675844-15675944	6.359e-11	2.192e-15	3.69e-14	2.36e-15
X:155881506-155881606	4.439e-14	8.566e-12	6.035e-10	2.289e-17
1:117606969-117607069	3.386e-14	4.015e-09	2.019e-09	3.868e-14
12:111313954-111314054	9.925e-12	1.506e-08	1.512e-09	5.876e-16
6:68968433-68968533	6.76e-13	1.006e-13	6.475e-13	2.244e-19
11:118870378-118870478	4.137e-09	8.101e-11	3.033e-12	5.334e-15
5:52800097-52800197	4.831e-14	1.203e-11	6.382e-10	8.205e-18
11:119197224-119197324	4.822e-10	8.221e-12	1.001e-10	9.042e-15
2:27381066-27381166	1.283e-12	2.114e-10	9.018e-10	3.332e-17
5:151215472-151215572	8.823e-12	6.004e-12	5.625e-10	2.645e-14
20:33262934-33263034	6.973e-17	2.916e-16	5.397e-08	5.272e-26
8:124475468-124475568	4.238e-14	1.935e-12	3.117e-08	2.347e-16
17:45235889-45235989	1.126e-12	1.661e-13	9.694e-13	1.132e-13
10:97196882-97196982	8.264e-11	1.029e-16	4.517e-13	1.717e-20
2:238320681-238320781	1.659e-13	1.128e-10	2.509e-11	3.414e-12
1:155978684-155978784	1.816e-12	3.175e-08	3.545e-12	5.954e-14
14:35826923-35827023	1.359e-11	1.828e-12	2.429e-11	1.36e-18
9:120869263-120869363	1.337e-06	4.287e-08	2.76e-09	2.921e-15
2:176097963-176098063	8.593e-11	9.618e-11	4.078e-12	2.814e-15
10:124153231-124153331	7.449e-13	4.661e-08	3.065e-10	4.417e-19
17:1685026-1685126	4.956e-13	1.863e-11	5.909e-11	8.254e-16
17:48107806-48107906	9.063e-14	1.037e-11	9.489e-11	5.998e-19
X:134460371-134460471	3.101e-14	1.168e-07	2.275e-08	6.1e-17
13:49691630-49691730	1.639e-11	1.802e-11	9.31e-12	1.949e-14
7:133743074-133743174	6.896e-13	9.484e-13	4.446e-10	3.229e-18
1:209756300-209756400	2.26e-10	8.314e-12	2.223e-12	1.33e-16
6:83884790-83884890	6.482e-15	1.916e-16	9.975e-14	2.828e-24
7:23105876-23105976	1.192e-09	9.199e-09	1.312e-08	9.786e-17
11:8682769-8682869	2.254e-06	3.733e-11	7.966e-12	4.859e-19
8:143383701-143383801	8.391e-13	0.007681	2.042e-08	1.313e-16
5:177517244-177517344	4.838e-07	1.031e-11	7.473e-13	4.822e-16
5:4868485-4868585	1.899e-11	1.693e-17	2.802e-15	5.19e-20
16:3443771-3443871	7.138e-12	5.152e-13	1.573e-10	5.886e-17
11:128566209-128566309	5.698e-13	2.656e-12	8.103e-13	2.352e-17
5:59673845-59673945	2.088e-12	1.691e-14	6.81e-09	2.8e-19
1:175023664-175023764	1.886e-08	1.567e-11	1.376e-11	2.56e-17
12:68317397-68317497	6.158e-09	1.632e-15	9.172e-15	2.033e-18
7:44574041-44574141	4.792e-09	4.58e-08	1.319e-12	6.392e-13
12:106248228-106248328	3.111e-10	4.524e-09	1.636e-07	2.13e-16
3:50238261-50238361	4.293e-13	2.58e-13	2.469e-10	3.404e-15
10:128211185-128211285	1.805e-13	1.824e-10	1.584e-09	5.491e-15
11:72643379-72643479	1.805e-13	1.824e-10	1.584e-09	5.491e-15
12:128818008-128818108	2.863e-09	4.043e-12	1.172e-14	9.825e-18
14:95535032-95535132	1.507e-11	5.722e-09	3.124e-09	1.175e-15
15:70099870-70099970	1.295e-10	7.16e-11	2.414e-12	2.142e-19
14:21437530-21437630	1.479e-10	1.968e-10	1.752e-09	9.811e-14
1:203871362-203871462	2.32e-09	1.594e-11	1.654e-12	2.409e-15
11:65040944-65041044	3.071e-11	7.746e-10	7.36e-08	7.697e-14
15:80059759-80059859	3.071e-11	7.746e-10	7.36e-08	7.697e-14
2:20447108-20447208	3.772e-16	4.629e-13	2.544e-08	3.909e-13
1:154608288-154608388	4.419e-14	3.336e-13	1.837e-11	4.179e-21
12:121839727-121839827	4.791e-05	1.61e-12	1.228e-10	8.344e-13
5:96936048-96936148	3.072e-14	2.256e-12	8.127e-10	1.865e-18
17:49739812-49739912	9.894e-12	4.265e-08	8.513e-10	3.661e-14
17:44354904-44355004	1.178e-11	1.703e-10	5.575e-07	2.546e-13
12:14774211-14774311	5.741e-12	6.349e-09	1.06e-12	2.161e-18
12:55974246-55974346	1.411e-12	1.986e-11	4.068e-12	1.468e-16
17:68020241-68020341	3.052e-10	2.436e-13	2.13e-11	1.146e-13
16:88942135-88942235	1.731e-12	1.194e-11	6.72e-10	2.449e-17
19:53879549-53879649	1.554e-13	4.54e-10	2.069e-07	2.302e-15
15:81294263-81294363	4.368e-10	8.593e-12	7.47e-11	7.592e-16
20:62808457-62808557	2.239e-14	1.023e-12	1.479e-12	3.997e-15
1:26865383-26865483	1.452e-11	5.76e-10	1.431e-10	5.137e-17
19:49640650-49640750	1.772e-14	3.164e-11	5.417e-10	2.945e-18
6:7239139-7239239	4.194e-12	4.444e-10	5.369e-10	9.952e-17
1:224644860-224644960	1.545e-12	1.086e-11	8.239e-12	1.833e-15
6:44257791-44257891	3.064e-10	6.239e-13	4.994e-12	1.917e-18
2:238573656-238573756	8.333e-13	2.9e-11	4.945e-11	5.415e-14
4:75630749-75630849	1.495e-09	1.236e-13	3.633e-09	3.726e-18
19:5687444-5687544	1.775e-14	3.903e-11	2.398e-10	9.619e-14
9:137033978-137034078	4.652e-15	1.036e-11	1.169e-10	7.99e-18
1:174744344-174744444	1.774e-11	3.026e-16	3.961e-12	1.366e-19
3:197298411-197298511	1.377e-14	7.172e-13	1.044e-09	1.837e-14
2:70046098-70046198	1.483e-11	2.758e-08	1.043e-12	5.214e-17
8:123160738-123160838	9.381e-11	3.477e-10	1.36e-12	1.07e-14
6:7261479-7261579	0.0002869	4.796e-11	4.797e-06	6.408e-18
10:50660433-50660533	8.395e-12	1.784e-11	3.394e-10	1.873e-14
16:22191557-22191657	1.439e-09	3.166e-10	7.083e-12	1.755e-17
12:89164485-89164585	4.798e-14	4.251e-14	2.004e-08	2.209e-17
12:29318154-29318254	2.132e-09	4.667e-13	3.238e-13	1.769e-19
1:45304198-45304298	1.596e-06	5.498e-13	5.297e-09	3.444e-11
8:89718589-89718689	1.905e-13	4.306e-13	7.773e-11	4.04e-15
20:31833746-31833846	3.975e-12	1.31e-08	3.138e-10	1.981e-16
