SEQID	USF2	MAX	BHLHE40
1:150236471-150236571	9.494e-12	3.269e-07	1.259e-09
19:49813309-49813409	2.512e-14	2.618e-11	1.027e-08
15:73965961-73966061	4.147e-10	1.386e-05	3.076e-09
16:8797859-8797959	3.875e-10	9.013e-08	1.077e-10
10:99620640-99620740	3.205e-07	1.101e-05	1.042e-07
20:33994425-33994525	1.931e-12	4.342e-07	4.49e-06
9:129141865-129141965	4.098e-05	0.00401	6.317e-06
3:158802656-158802756	2.15e-19	7.692e-12	3.871e-15
2:43042019-43042119	4.033e-12	6.268e-11	2.683e-13
15:39581963-39582063	6.676e-07	0.000838	0.001974
9:98057051-98057151	3.357e-18	3.287e-11	3.368e-12
7:73557420-73557520	1.578e-15	4.866e-09	4.854e-10
3:71251481-71251581	4.971e-16	3.524e-09	6.443e-10
1:21937422-21937522	5.045e-16	1.511e-09	3.239e-10
14:73760017-73760117	1.925e-13	4.969e-08	1.056e-06
11:130003191-130003291	6.052e-12	7.221e-06	2.63e-06
1:244864327-244864427	4.237e-15	6.322e-10	7.649e-12
11:507382-507482	1.023e-13	1.286e-08	8.825e-11
7:100586409-100586509	1.131e-13	9.725e-10	4.339e-10
7:5695644-5695744	7.726e-14	1.411e-09	7.497e-11
19:48874605-48874705	9.252e-12	1.052e-08	2.821e-10
6:56899401-56899501	6.518e-06	1.505e-05	1.563e-07
5:73311886-73311986	5.586e-06	3.716e-07	6.037e-09
16:2009870-2009970	3.617e-12	7.035e-08	8.631e-11
19:44742022-44742122	7.812e-12	7.003e-09	5.69e-12
5:172714866-172714966	7.025e-15	2.912e-10	6.66e-13
10:102230026-102230126	3.357e-15	3.834e-11	5.192e-09
14:73645003-73645103	2.92e-15	2.972e-11	1.371e-12
8:133297553-133297653	5.002e-11	7.239e-08	5.136e-09
14:22839660-22839760	0.0001608	5.925e-05	6.285e-10
15:69457655-69457755	5.846e-13	2.276e-07	3.171e-09
8:102655451-102655551	7.766e-12	3.126e-09	6.022e-10
9:95093629-95093729	6.858e-07	0.001623	0.0002067
1:151347227-151347327	1.058e-12	1.106e-06	9.586e-06
9:70411441-70411541	2.379e-13	3.716e-08	2.341e-10
13:51845188-51845288	1.707e-07	0.0007922	9.959e-07
15:40405854-40405954	2.197e-16	1.076e-07	4.683e-08
2:47906879-47906979	1.226e-15	4.236e-10	1.937e-09
11:67288399-67288499	1.937e-10	5.8e-12	7.736e-10
19:16328775-16328875	1.114e-12	1.026e-08	9.708e-10
14:73760451-73760551	2.685e-15	5.364e-09	4.609e-11
21:46134233-46134333	2.685e-15	5.364e-09	4.609e-11
11:65504693-65504793	1.341e-12	1.35e-07	6.587e-10
16:86518920-86519020	7.327e-16	1.936e-10	4.677e-13
10:79159238-79159338	4.265e-11	5.896e-09	1.485e-09
15:39920210-39920310	7.969e-11	1.129e-08	4.426e-09
9:99356708-99356808	0.002635	4.443e-05	7.19e-08
4:20126798-20126898	3.732e-14	4.763e-12	3.779e-13
1:19210414-19210514	2.719e-16	6.086e-10	2.523e-10
1:201482739-201482839	3.44e-07	1.195e-06	8.044e-07
19:45474263-45474363	1.217e-09	1.399e-08	2.839e-09
17:44557071-44557171	7.775e-11	7.468e-09	3.957e-12
2:156342683-156342783	4.814e-14	3.62e-09	8.657e-10
4:3657900-3658000	1.175e-12	7.827e-11	1.14e-10
2:101308737-101308837	4.174e-15	1.815e-08	1.392e-08
9:112041874-112041974	2.406e-11	3.046e-08	3.309e-09
19:13731620-13731720	1.524e-10	2.227e-06	4.249e-08
9:127937812-127937912	9.457e-11	3.232e-08	3.037e-09
1:3313177-3313277	4.885e-09	5.837e-09	3.231e-09
19:16325076-16325176	4.443e-11	1.468e-07	1.72e-09
7:47482121-47482221	1.642e-06	3.887e-07	8.509e-07
3:159988887-159988987	6.75e-08	0.001011	0.0002358
17:58632093-58632193	9.923e-17	1.228e-06	3.445e-09
3:149575566-149575666	1.049e-12	1.83e-09	1.535e-10
9:70259311-70259411	1.843e-11	1.645e-07	5.099e-09
19:41218917-41219017	3.91e-16	2.52e-10	3.692e-10
M:11519-11619	8.226e-12	3.178e-09	9.344e-12
10:18660484-18660584	2.877e-16	1.86e-09	2.24e-11
6:134169093-134169193	6.527e-13	4.76e-12	1.807e-12
1:27299114-27299214	2.45e-11	9.298e-08	7.409e-10
7:102396460-102396560	3.474e-12	3.099e-09	3.492e-09
9:115650226-115650326	2.878e-10	2.62e-07	1.47e-07
9:33044442-33044542	4.638e-14	1.372e-06	2.906e-06
20:49988555-49988655	5.035e-07	6.055e-07	1.691e-08
19:34677543-34677643	3.805e-13	1.489e-09	6.952e-10
11:207998-208098	8.152e-11	1.721e-07	9.493e-08
3:149575894-149575994	4.474e-16	1.131e-08	3.169e-11
10:102152306-102152406	1.087e-13	3.053e-08	4.608e-09
15:42273364-42273464	1.31e-10	7.005e-07	2.446e-08
16:3124365-3124465	9.35e-14	2.97e-09	1.722e-10
11:130827939-130828039	5.109e-12	3.495e-08	1.718e-08
1:243917229-243917329	7.541e-08	0.0004279	2.025e-05
17:59220545-59220645	5.857e-12	1.805e-07	2.295e-12
1:150236146-150236246	5.381e-10	1.281e-06	9.63e-09
1:21937727-21937827	3.681e-11	0.000428	0.0001086
20:46350642-46350742	4.26e-10	5.623e-10	6.791e-11
7:101017310-101017410	9.185e-09	8.986e-06	5.524e-08
17:81937447-81937547	5.64e-09	0.0007124	1.249e-06
10:110353290-110353390	1.35e-11	0.0002938	2.316e-05
6:32972182-32972282	2.03e-17	3.177e-09	2.597e-09
20:50193004-50193104	1.073e-12	1.063e-08	6.048e-09
15:90098095-90098195	2.963e-13	1.309e-10	5.7e-12
11:47234714-47234814	9.2e-05	1.127e-05	2.202e-08
3:64150966-64151066	1.172e-16	3.199e-11	7.649e-13
15:39586680-39586780	5.133e-11	6.647e-10	2.666e-09
11:8688975-8689075	9.702e-13	1.492e-09	2.54e-10
17:8151749-8151849	1.075e-15	1.235e-10	3.108e-12
19:34404123-34404223	1.599e-20	1.019e-12	1.196e-12
10:80154695-80154795	1.439e-08	4.054e-09	1.117e-08
12:14770810-14770910	2.449e-10	2.029e-06	2.035e-06
15:57706515-57706615	2.161e-11	5.983e-08	2.512e-11
2:85328225-85328325	9.703e-15	1.719e-10	1.643e-10
3:184334643-184334743	5.776e-12	2.885e-09	2.449e-11
2:23926917-23927017	5.417e-13	4.244e-09	2.705e-11
20:58624086-58624186	1.751e-11	9.398e-10	9.438e-12
1:151347026-151347126	1.587e-06	0.0004301	0.003315
2:200863835-200863935	0.002168	1.576e-07	1.933e-06
16:86518718-86518818	0.001575	2.72e-05	7.26e-10
21:43361868-43361968	1.535e-11	1.673e-07	5.401e-06
5:136028956-136029056	3.494e-16	1.129e-09	7.202e-09
19:52190319-52190419	9.164e-12	4.25e-09	1.617e-08
2:238285939-238286039	1.498e-09	1.594e-08	1.418e-10
22:45201010-45201110	7.431e-16	5.981e-10	1.763e-10
12:114669544-114669644	4.375e-16	5.993e-10	5.051e-10
8:102536954-102537054	2.425e-09	8.012e-09	4.08e-10
21:43789699-43789799	2.357e-13	3.349e-10	6.743e-10
11:65653000-65653100	9.19e-12	1.255e-08	4.191e-10
7:39566374-39566474	9.333e-12	1.212e-09	3.239e-11
19:45475936-45476036	5.818e-19	1.761e-10	7.137e-11
10:110498675-110498775	3.777e-11	5.338e-09	1.608e-10
3:194137375-194137475	1.657e-08	1.736e-08	7.811e-09
3:134356443-134356543	2.564e-05	2.533e-05	1.939e-09
11:65503345-65503445	2.582e-12	2.563e-09	4e-10
12:93467678-93467778	0.0003067	2.138e-05	1.136e-07
12:68808157-68808257	1.274e-13	6.666e-09	4.271e-10
5:43121390-43121490	6.873e-16	2.879e-09	7.377e-09
2:207625567-207625667	1.217e-12	6.229e-09	5.781e-10
2:218399711-218399811	1.017e-12	6.727e-11	1.192e-12
14:75276990-75277090	5.384e-15	9.284e-09	7.671e-09
22:30207278-30207378	8.034e-10	1.466e-05	1.437e-08
3:14432015-14432115	3.173e-12	0.0001736	0.001092
17:50203966-50204066	1.34e-06	0.0007741	3.695e-06
19:45001923-45002023	7.291e-16	2.353e-09	4.697e-11
1:243624014-243624114	4.333e-18	4.031e-10	2.688e-13
7:7640742-7640842	5.043e-12	6.551e-09	7.468e-09
4:105473439-105473539	1.58e-11	1.061e-07	3.811e-10
1:155194401-155194501	1.589e-07	0.0003615	0.0001153
15:43330526-43330626	9.403e-13	5.086e-08	9.219e-08
22:36318421-36318521	3.074e-10	4.215e-07	1.351e-09
8:47737645-47737745	8.046e-06	4.377e-06	1.043e-07
2:46073495-46073595	1.476e-12	1.008e-09	4.245e-12
7:117041146-117041246	6.615e-06	0.0001051	1.291e-09
17:40443669-40443769	3.126e-09	5.783e-06	4.705e-09
11:62787249-62787349	2.352e-13	9.161e-11	8.834e-12
1:226870839-226870939	1.246e-12	2.257e-09	4.255e-10
20:51326416-51326516	3.475e-08	3.38e-08	2.188e-10
6:26020609-26020709	8.589e-13	7.257e-09	5.769e-09
5:173973294-173973394	1.415e-05	1.334e-06	6.431e-11
12:57782681-57782781	4.175e-06	1.146e-06	9.582e-09
16:2752447-2752547	7.207e-12	7.096e-09	2.817e-10
17:50192978-50193078	3.792e-11	1.477e-09	3.212e-12
4:81136453-81136553	9.332e-12	1.596e-06	3.348e-08
21:41877937-41878037	4.205e-08	0.001209	0.000186
10:45594372-45594472	2.531e-17	3.796e-13	4.725e-13
19:16383359-16383459	9.701e-10	2.16e-07	4.959e-10
19:41263617-41263717	3.311e-12	2.93e-11	1.593e-13
11:19712732-19712832	3.68e-16	2.568e-08	1.797e-08
6:105608899-105608999	1.462e-09	2.669e-06	3.13e-09
3:38650001-38650101	1.974e-11	3.346e-06	5.042e-09
7:101815969-101816069	1.918e-12	6.784e-09	2.28e-10
10:124791812-124791912	4.237e-12	3.066e-07	5.38e-09
1:23559327-23559427	7.956e-13	1.793e-10	6.594e-11
1:8004235-8004335	7.202e-09	5.696e-08	9.738e-11
11:115986132-115986232	7.757e-13	9.32e-09	8.293e-11
20:51563773-51563873	2.051e-11	5.656e-08	1.128e-06
8:23246453-23246553	5.088e-11	8.484e-08	5.064e-09
8:124475123-124475223	1.829e-09	5.87e-07	2.694e-07
1:234608650-234608750	9.595e-16	3.66e-09	2.848e-10
3:12576357-12576457	9.595e-16	3.66e-09	2.848e-10
15:32747953-32748053	0.0002895	1.228e-05	5.426e-08
18:21612397-21612497	7.566e-12	7.51e-07	4.533e-06
11:68354640-68354740	1.428e-08	1.806e-07	3.565e-09
8:38231556-38231656	1.134e-11	2.421e-07	7.034e-06
1:19251749-19251849	2.877e-09	0.0004279	2.025e-05
1:150268799-150268899	1.165e-06	4.41e-06	3.468e-08
2:47175965-47176065	3.827e-10	6.312e-08	3.181e-10
7:150428736-150428836	4.104e-08	5.535e-06	9.243e-08
19:32971923-32972023	3.54e-11	6.089e-07	2.36e-10
20:34312817-34312917	7.71e-13	1.276e-10	6.583e-12
17_GL000205v2_random:52910-53010	5.057e-10	5.762e-07	2.482e-07
20:17505224-17505324	1.793e-16	9.925e-13	4.56e-12
11:18013013-18013113	3.036e-11	4.64e-06	1.18e-06
12:31326166-31326266	2.508e-13	1.472e-06	2.564e-06
10:125231522-125231622	4.66e-10	2.9e-08	1.768e-09
4:77820261-77820361	1.568e-19	2.957e-12	2.039e-13
11:9614170-9614270	7.81e-12	8.289e-06	5.723e-07
12:46357742-46357842	1.977e-08	1.64e-06	1.667e-08
13:19782663-19782763	3.972e-12	2.046e-07	7.747e-08
5:178204454-178204554	4.751e-10	2.373e-06	2.238e-08
15:55290602-55290702	1.127e-15	6.668e-11	1.946e-12
11:62395243-62395343	0.001391	1.875e-05	1.093e-07
18:3257477-3257577	6.197e-10	1.946e-06	2.267e-07
16:1493371-1493471	9.52e-13	3.89e-09	1.82e-10
2:157839464-157839564	1.089e-07	0.00466	1.33e-05
11:65890222-65890322	3.131e-10	3.349e-09	1.027e-11
15:67127606-67127706	8.416e-13	3.239e-09	2.711e-10
6:136290241-136290341	6.234e-11	6.224e-07	2.585e-09
1:11805559-11805659	3.435e-11	1.948e-07	8.089e-07
19:44741804-44741904	7.991e-11	1.095e-08	2.056e-10
12:6534390-6534490	3.511e-11	1.021e-08	1.697e-09
2:217934577-217934677	2.129e-08	3.447e-07	4.608e-09
10:110509768-110509868	8.641e-10	2.015e-09	2.77e-09
2:217935538-217935638	3.803e-05	1.941e-05	5.067e-09
22:30238798-30238898	4.033e-12	5.957e-08	3.209e-09
15:48878050-48878150	7.453e-13	1.394e-06	2.907e-06
2:219229632-219229732	6.84e-12	1.729e-07	7.772e-08
2:37324716-37324816	1.135e-11	1.419e-06	4.414e-05
16:88383986-88384086	1.88e-11	1.491e-10	1.318e-10
3:183826052-183826152	1.09e-07	0.004659	1.33e-05
9:110103296-110103396	2.976e-12	8.87e-08	3.348e-09
10:119253923-119254023	8.539e-08	2.613e-06	5.995e-08
3:112990695-112990795	0.001575	2.72e-05	6.026e-10
21:43333780-43333880	0.001575	2.72e-05	6.026e-10
6:33788762-33788862	5.595e-15	3.15e-10	1.677e-10
2:113963141-113963241	1.912e-09	4.262e-09	1.264e-09
9:133479195-133479295	2.368e-12	7.026e-06	4.22e-08
16:19167753-19167853	6.49e-11	1.419e-06	8.499e-08
5:141524860-141524960	4.453e-07	1.146e-06	9.647e-09
5:177389659-177389759	2.482e-11	1.086e-10	2.28e-10
9:114108088-114108188	4.248e-15	9.496e-11	2.45e-10
8:38386102-38386202	3.418e-15	5.678e-11	5.429e-12
1:230642359-230642459	1.912e-12	3.179e-08	1.807e-07
3:134368759-134368859	1.418e-11	2.849e-09	5.604e-10
18:77067700-77067800	3.444e-17	6e-12	1.467e-11
7:39733310-39733410	1.333e-08	3.308e-07	1.967e-05
15:65792310-65792410	1.047e-15	4.068e-09	5.719e-09
12:114680084-114680184	3.748e-16	2.519e-10	3.412e-10
19:19203347-19203447	3.936e-11	1.266e-05	5.257e-09
1:94540951-94541051	6.598e-14	5.308e-09	2.217e-11
14:102195574-102195674	0.007174	3.277e-06	5.408e-06
8:85177668-85177768	1.288e-10	9.108e-06	9.579e-09
13:114129059-114129159	1.073e-12	1.144e-08	2.345e-11
19:18274941-18275041	3.632e-11	3.129e-08	2.1e-10
10:72274870-72274970	3.008e-15	1.101e-09	4.739e-10
19:16328573-16328673	6.827e-13	7.8e-10	2.521e-12
8:125429637-125429737	2.431e-14	1.748e-09	7.431e-11
2:27356997-27357097	6.504e-10	8.709e-06	4.085e-09
11:73376274-73376374	3.044e-16	1.888e-08	2.034e-09
3:48440228-48440328	4.106e-12	2.213e-09	8.312e-10
12:21657906-21658006	2.452e-14	5.594e-10	4.46e-11
17:76387176-76387276	2.295e-08	1.796e-07	7.952e-10
3:12993276-12993376	4.311e-11	3.936e-08	5.721e-11
2:237403162-237403262	1.789e-15	3.278e-10	8.476e-11
2:108786698-108786798	1.946e-11	2.724e-07	9.768e-10
1:171123123-171123223	4.02e-17	4.327e-11	4.604e-09
3:157145676-157145776	1.117e-19	7.33e-13	3.236e-15
22:42070691-42070791	1.262e-15	8.439e-12	2.318e-12
10:14839218-14839318	7.198e-09	5.122e-10	8.84e-10
16:57735193-57735293	4.766e-11	1.198e-07	1.254e-09
18:36829115-36829215	6.159e-12	1.602e-07	1.185e-09
19:8592612-8592712	2.66e-12	1.128e-08	7.548e-12
10:329414-329514	2.573e-13	2.372e-06	1.671e-08
1:64246512-64246612	1.799e-07	0.0007924	1.013e-06
1:23959504-23959604	1.269e-11	3.598e-07	1.989e-06
1:19596804-19596904	4.944e-11	5.741e-09	3.213e-10
15:89836533-89836633	1.001e-07	0.0007692	1.901e-07
16:87839414-87839514	4.465e-12	7.467e-11	4.756e-12
2:158457375-158457475	8.073e-12	5.108e-06	9.835e-09
1:96416393-96416493	5.902e-14	1.404e-08	6.214e-09
3:38137608-38137708	2.558e-11	6.07e-07	6.205e-10
12:6230825-6230925	0.0006786	0.001513	0.0001556
8:33473192-33473292	7.375e-12	8.564e-07	5.503e-07
7:33063108-33063208	1.489e-11	1.382e-10	1.38e-10
19:34773285-34773385	4.707e-13	5.791e-09	4.473e-11
2:200811748-200811848	7.829e-13	6.035e-09	1.57e-10
15:67067382-67067482	1.631e-14	8.601e-08	1.202e-09
22:43187674-43187774	2.337e-13	3.061e-10	1.016e-10
19:33373605-33373705	5.92e-16	1.435e-09	2.553e-08
1:245154818-245154918	3.849e-11	3.399e-06	1.305e-08
15:89243843-89243943	1.674e-12	2.473e-09	4.677e-10
19:39824377-39824477	2.84e-14	4.95e-06	4.861e-08
5:177309816-177309916	2.724e-05	3.762e-07	3.468e-10
6:144897636-144897736	7.731e-10	2.175e-09	3.57e-11
2:156332310-156332410	1.343e-12	8.224e-09	2.472e-10
16:84806516-84806616	1.934e-16	1.961e-09	1.648e-09
14:77320766-77320866	1.672e-15	1.644e-08	1.372e-08
1:119712710-119712810	1.873e-10	1.304e-08	1.308e-08
19:18831796-18831896	4.758e-11	1.376e-06	2.912e-06
10:5889830-5889930	1.127e-11	3.731e-06	6.223e-07
15:30954005-30954105	0.0004131	0.0005875	4.579e-05
10:116742127-116742227	9.526e-12	1.434e-08	3.765e-08
1:162908947-162909047	2.328e-10	2.956e-08	1.338e-10
14:35404562-35404662	9.486e-11	1.279e-08	1.344e-09
1:236282013-236282113	1.097e-11	3.713e-08	3.89e-10
1:212619943-212620043	1.196e-16	3.045e-09	9.714e-11
22:35900859-35900959	1.75e-05	8.256e-06	2.011e-08
16:56610400-56610500	2.506e-14	2.42e-09	3.108e-10
8:141147165-141147265	1.872e-10	1.045e-09	9.41e-10
13:30142941-30143041	7.195e-08	4.021e-06	5.011e-07
8:102651717-102651817	2.974e-06	4.722e-05	3.577e-08
6:716410-716510	1.883e-07	0.002305	1.606e-06
16:3305405-3305505	4.922e-12	3.046e-10	2.97e-10
12:48814763-48814863	1.126e-07	2.279e-06	2.61e-06
10:91613283-91613383	1.162e-12	2.232e-10	3.153e-12
13:110715272-110715372	4.039e-14	2.636e-09	2.369e-09
20:50790807-50790907	7.048e-12	3.327e-06	1.073e-07
7:101135728-101135828	7.486e-07	1.076e-07	1.884e-07
6:30769606-30769706	1.03e-11	2.151e-07	1.548e-07
12:124910935-124911035	7.215e-17	1.525e-10	3.617e-13
11:65858077-65858177	3.895e-12	2.999e-08	4.939e-12
6:156777345-156777445	6.986e-17	1.066e-09	3.641e-09
16:89972369-89972469	1.045e-12	8.312e-11	5.801e-12
11:355906-356006	4.73e-11	5.253e-06	3.85e-09
1:59151188-59151288	0.0003698	1.315e-06	2.056e-06
7:16645819-16645919	2.201e-11	1.07e-09	2.33e-11
4:139453308-139453408	2.091e-12	6.51e-10	3.309e-10
20:36478431-36478531	1.325e-12	4.923e-11	1.645e-13
2:27834107-27834207	7.289e-05	0.0029	6.089e-05
2:132561431-132561531	7.021e-05	2.016e-07	2.464e-06
16:11089755-11089855	4.223e-12	5.218e-09	1.705e-09
9:129141662-129141762	8.051e-12	9.417e-09	3.709e-11
2:108588127-108588227	4.377e-17	1.255e-11	2.162e-13
10:91220652-91220752	1.637e-14	2.444e-09	1.029e-09
19:3506080-3506180	8.311e-11	9.523e-08	1.367e-07
5:98770415-98770515	4.65e-12	1.672e-07	8.278e-07
20:1393212-1393312	8.387e-10	7.032e-10	1.009e-09
12:31325398-31325498	1.841e-16	5.775e-11	9.301e-13
14:61252886-61252986	2.1e-13	1.093e-08	2.46e-09
22:20157170-20157270	1.808e-05	3.306e-06	4.789e-10
2:197454016-197454116	1.075e-09	2.978e-08	2.394e-10
16:28846404-28846504	1.347e-13	1.921e-08	1.201e-09
