SEQID	HNF4G	HNF4A
12:68835886-68835986	7.23e-08	9.676e-16
8:38382659-38382759	8.26e-10	2.178e-19
7:15411358-15411458	8.26e-10	2.178e-19
1:119254395-119254495	6.483e-09	2.011e-22
7:95599325-95599425	6.394e-09	1.664e-17
9:14298929-14299029	8.549e-08	2.867e-20
9:87864226-87864326	6.344e-07	2.77e-17
8:143013452-143013552	0.0002772	8.697e-10
16:30650745-30650845	1.203e-10	3.179e-22
1:212596584-212596684	1.678e-06	7.94e-13
4:24111292-24111392	2.525e-09	1.506e-20
8:28127920-28128020	1.187e-09	1.115e-20
14:86898228-86898328	2.873e-12	4.452e-25
6:46592383-46592483	8.284e-10	7.958e-19
1:119764552-119764652	1.585e-07	1.481e-17
2:207847334-207847434	1.188e-06	1.19e-11
4:53500995-53501095	1.037e-08	1.462e-19
5:54419955-54420055	7.273e-08	1.707e-17
9:111056351-111056451	2.132e-08	1.568e-14
5:91147273-91147373	1.15e-09	1.016e-18
13:96021269-96021369	1.486e-09	4.43e-20
18:22084974-22085074	9.37e-08	1.104e-18
9:75890184-75890284	1.961e-07	2.23e-16
12:52926285-52926385	1.098e-05	2.768e-11
5:55364843-55364943	5.623e-12	3.259e-25
17:50950112-50950212	1.504e-09	6.005e-16
8:53692525-53692625	5.545e-11	8.653e-22
21:46227166-46227266	1.424e-07	5.621e-16
3:25534334-25534434	8.639e-10	4.022e-24
8:125529087-125529187	1.351e-11	1.112e-26
10:104269196-104269296	1.627e-08	4.249e-22
4:123546642-123546742	9.405e-05	1.429e-09
3:10479653-10479753	9.405e-05	1.429e-09
22:32079759-32079859	1.234e-07	1.251e-17
X:10900979-10901079	1.859e-09	1.438e-18
13:48246443-48246543	7.786e-10	2.714e-19
19:10113361-10113461	0.0003027	1.89e-08
9:77918125-77918225	5.408e-09	8.617e-19
Y:19759088-19759188	5.408e-09	8.617e-19
21:15141879-15141979	1.411e-08	1.108e-18
8:122800874-122800974	5.441e-08	3.941e-19
12:111060219-111060319	5.441e-08	3.941e-19
18:37160678-37160778	5.548e-10	1.778e-17
1:1753788-1753888	1.241e-08	5.565e-18
18:21093493-21093593	1.241e-08	5.565e-18
3:165509448-165509548	3.212e-09	2.072e-18
1:9438717-9438817	1.739e-09	3.425e-19
18:8960866-8960966	2.761e-07	1.115e-15
3:172279642-172279742	1.193e-08	3.316e-19
19:35418276-35418376	3.207e-08	1.452e-15
2:70239754-70239854	1.511e-10	1.812e-21
12:51048362-51048462	1.826e-08	2.858e-19
1:100589983-100590083	9.108e-11	2.531e-19
3:133475531-133475631	1.262e-09	1.109e-13
12:128910026-128910126	7.414e-09	1.58e-17
X:130165902-130166002	1.627e-10	1.345e-20
5:179680536-179680636	2.413e-07	1.841e-12
9:126805082-126805182	1.182e-09	8.397e-19
20:46676848-46676948	1.182e-09	8.397e-19
2:113838629-113838729	1.182e-09	8.397e-19
11:115964384-115964484	1.042e-07	2.485e-17
1:12594151-12594251	1.507e-08	3.111e-15
16:88468877-88468977	6.269e-06	4.424e-18
3:133469651-133469751	9.795e-11	3.713e-21
2:20687626-20687726	4.287e-09	2.595e-16
1:155167811-155167911	1.805e-05	4.458e-12
3:127780428-127780528	1.132e-07	3.58e-18
7:156893675-156893775	1.422e-09	9.332e-18
12:102480565-102480665	2.013e-08	1.134e-19
6:111057631-111057731	2.013e-08	1.134e-19
3:125916472-125916572	1.743e-09	2.76e-18
4:69098862-69098962	2.702e-07	3.474e-16
2:27179936-27180036	4.809e-07	2.364e-18
11:66289581-66289681	1.074e-10	2.418e-19
1:24280320-24280420	1.074e-10	2.418e-19
1:93910629-93910729	2.362e-10	1.036e-21
3:53035424-53035524	4.496e-07	8.407e-15
5:158153824-158153924	1.228e-07	1.111e-17
16:70347044-70347144	2.608e-08	1.287e-20
12:31986210-31986310	1.108e-09	8.923e-21
20:35742636-35742736	1.019e-10	5.103e-20
15:29470636-29470736	1.26e-09	8.014e-20
4:177700114-177700214	5.623e-19	8.014e-20
22:50400593-50400693	3.812e-09	6.425e-22
11:86593291-86593391	1.373e-09	4.891e-16
21:36028795-36028895	6.211e-06	4.712e-19
7:67739312-67739412	3.073e-05	1.239e-12
6:7222507-7222607	3.762e-11	8.429e-24
12:46770842-46770942	2.614e-09	1.391e-18
3:113696154-113696254	2.031e-09	2.427e-20
9:70414224-70414324	4.448e-09	2.315e-19
1:43708056-43708156	1.049e-08	8.876e-23
20:1758125-1758225	1.879e-09	2.214e-17
22:46053739-46053839	9.602e-09	3.244e-17
17:81595377-81595477	9.602e-09	3.244e-17
17:1717105-1717205	5.044e-10	2.378e-19
18:61733695-61733795	1.412e-09	2.585e-16
22:49205160-49205260	2.87e-09	7.829e-22
11:128898907-128899007	4.488e-06	1.648e-17
5:154905926-154906026	4.488e-06	1.648e-17
5:82517941-82518041	6.307e-07	9.371e-17
13:75785891-75785991	6.898e-10	1.527e-20
1:39179155-39179255	1.386e-07	9.21e-19
8:121977293-121977393	7.873e-09	1.046e-18
17:64969515-64969615	4.245e-07	4.789e-15
12:63890075-63890175	8.454e-09	1.268e-18
11:663090-663190	8.454e-09	1.268e-18
4:169620648-169620748	8.585e-10	1.714e-14
3:122259096-122259196	7.694e-09	2.338e-16
2:84486771-84486871	2.475e-07	1.159e-18
18:11872876-11872976	2.795e-10	5.047e-22
7:17612012-17612112	5.925e-09	2.211e-17
2:85679536-85679636	2.048e-08	4.873e-17
8:69833565-69833665	2.456e-10	3.006e-14
3:46489021-46489121	5.777e-06	2.584e-16
4:121691712-121691812	5.809e-09	5.23e-18
2:122644039-122644139	4.138e-09	8.006e-17
6:44092768-44092868	1.355e-07	4.77e-16
14:70046189-70046289	4.258e-10	6.227e-18
12:12216607-12216707	8.194e-08	9.968e-18
2:189150326-189150426	1.655e-07	1.398e-15
20:26010013-26010113	1.719e-11	2.195e-20
12:6568404-6568504	1.005e-08	4.31e-18
7:29231202-29231302	1.736e-05	6.929e-16
12:50763967-50764067	1.769e-12	5.736e-20
3:158644668-158644768	3.802e-07	4.462e-20
10:127892910-127893010	0.00462	1.338e-08
4:154603946-154604046	5.803e-05	2.321e-13
5:150485708-150485808	2.75e-06	2.108e-12
6:125750553-125750653	1.783e-11	2.162e-25
5:43515415-43515515	5.531e-10	6.378e-19
X:128884808-128884908	3.51e-08	2.804e-18
14:101476010-101476110	8.195e-09	2.557e-18
15:84631468-84631568	3.682e-09	8.094e-20
6:16726080-16726180	6.519e-10	1.756e-24
1:92714151-92714251	8.152e-11	1.117e-17
6:7548936-7549036	1.076e-11	2.357e-22
1:202861823-202861923	0.0005353	1.54e-07
4:186728978-186729078	1.381e-10	7.225e-21
18:53361413-53361513	1.72e-11	1.693e-21
1:147626730-147626830	8.461e-07	1.287e-15
18:45250837-45250937	4.243e-08	7.384e-19
2:203511194-203511294	5.552e-08	9.907e-16
9:18438020-18438120	1.982e-09	9.204e-22
22:27882844-27882944	8.805e-10	3.949e-19
2:233272086-233272186	4.551e-11	1.667e-20
1:91896051-91896151	3.78e-08	1.349e-17
14:75002927-75003027	3.073e-10	1.897e-17
2:113265849-113265949	3.827e-08	2.914e-20
17:58384344-58384444	2.865e-05	4.196e-11
18:63238157-63238257	1.346e-06	5.919e-14
19:10569394-10569494	6.128e-08	1.885e-19
16:88482986-88483086	4.11e-09	3.077e-17
15:81399208-81399308	4.037e-09	1.013e-14
7:106427236-106427336	1.994e-11	1.013e-14
19:2902175-2902275	2.665e-07	7.651e-15
1:40248009-40248109	3.707e-10	4.564e-19
15:67038130-67038230	2.038e-08	1.745e-14
10:69125139-69125239	5.891e-08	4.676e-18
3:160673532-160673632	4.493e-10	1.536e-15
6:15363075-15363175	8.233e-06	2.79e-11
5:143317517-143317617	4.543e-10	5.447e-20
13:91362016-91362116	2.479e-10	1.876e-22
19:12681455-12681555	1.874e-10	2.19e-17
4:103092005-103092105	1.857e-06	1.925e-17
12:6058765-6058865	0.0009946	4.758e-11
2:150478937-150479037	2.411e-09	2.27e-19
6:128478708-128478808	2.748e-08	3.405e-17
7:29208530-29208630	0.0006212	2.617e-07
6:56624737-56624837	1.088e-09	1.883e-21
20:35792143-35792243	2.94e-09	2.121e-16
7:123747296-123747396	1.035e-07	9.71e-14
9:112378414-112378514	5.632e-10	5.089e-22
X:13653436-13653536	3.481e-09	2.644e-13
9:69657412-69657512	7.887e-08	2.271e-18
8:68863871-68863971	2.26e-12	1.062e-23
5:111636224-111636324	2.249e-08	5.075e-17
18:31575903-31576003	7.105e-09	1.157e-16
6:36643185-36643285	0.0002901	7.997e-08
X:106802869-106802969	4.349e-08	5.598e-16
X:129678109-129678209	4.802e-10	1.254e-19
6:52760335-52760435	3.914e-06	2.566e-19
X:38343295-38343395	8.719e-05	3.884e-12
3:48034240-48034340	3.299e-11	4.033e-23
7:47149275-47149375	7.529e-12	7.399e-26
6:104228464-104228564	1.151e-06	5.475e-18
5:176537702-176537802	1.261e-06	6.577e-15
14:25231363-25231463	1.325e-09	9.317e-23
9:136625394-136625494	0.001081	1.976e-10
19:38842555-38842655	5.719e-10	3.133e-19
X:130902110-130902210	3.488e-10	5.724e-18
3:61250331-61250431	5.224e-10	1.856e-19
22:31231411-31231511	2.037e-08	8.575e-22
16:56684532-56684632	3.734e-07	3.601e-13
12:111414098-111414198	1.505e-07	1.187e-14
17:21551332-21551432	1.575e-08	1.48e-19
3:16885793-16885893	1.417e-07	1.936e-14
17:36003528-36003628	4.885e-14	1.72e-28
6:8080642-8080742	3.199e-05	1.248e-09
X:40545201-40545301	6.258e-08	1.087e-19
17:4948836-4948936	8.403e-08	6.543e-20
3:135213341-135213441	0.0005243	8.554e-10
4:32625309-32625409	2.072e-12	2.407e-24
8:50705926-50706026	1.198e-09	3.989e-21
3:60379086-60379186	1.071e-09	7.292e-18
2:41841156-41841256	1.188e-08	3.691e-16
8:22636928-22637028	4.591e-09	1.839e-17
5:34001594-34001694	1.521e-10	2.199e-21
4:73416230-73416330	1.249e-09	1.386e-16
20:33539455-33539555	1.196e-10	2.193e-21
12:93524710-93524810	1.417e-07	5.858e-19
12:7143151-7143251	1.379e-06	3.332e-12
17:76264500-76264600	0.0001565	3.954e-10
19:46714589-46714689	1.593e-09	3.45e-16
4:51859790-51859890	7.006e-10	7.778e-17
11:12050578-12050678	5.017e-10	1.561e-14
9:113708215-113708315	9.648e-11	2.198e-16
14:49852997-49853097	1.142e-09	3.108e-19
3:52835132-52835232	9.018e-06	2.458e-15
6:32894821-32894921	2.457e-09	2.804e-18
6:114218880-114218980	7.441e-07	5.104e-14
3:17014598-17014698	1.043e-08	1.71e-20
3:7683185-7683285	1.252e-09	1.234e-18
12:112013406-112013506	7.083e-12	5.388e-20
5:111076505-111076605	2.399e-08	8.704e-19
4:54176553-54176653	2.395e-06	5.353e-15
8:85260714-85260814	1.887e-09	3.718e-20
19:4182865-4182965	3.595e-09	7.13e-17
2:186486286-186486386	1.38e-07	1.641e-17
7:21573297-21573397	4.352e-06	8.494e-16
X:139836748-139836848	6.87e-20	8.494e-16
6:106692381-106692481	1.177e-08	5.205e-14
11:19399120-19399220	6.425e-08	7.707e-18
12:48866077-48866177	8.608e-07	1.842e-17
12:23335975-23336075	8.476e-09	1.197e-21
2:157782094-157782194	6.861e-08	3.168e-19
1:101006324-101006424	1.882e-11	9.694e-19
1:7961735-7961835	1.634e-09	2.56e-17
3:129161567-129161667	5.076e-11	1.387e-18
8:122970259-122970359	0.001337	4.794e-09
13:110094781-110094881	3.706e-07	8.158e-16
12:571042-571142	4.424e-08	2.757e-13
2:229237647-229237747	2.857e-08	2.394e-15
20:10505011-10505111	3.044e-09	1.945e-16
6:47136115-47136215	4.022e-12	5.7e-23
10:124020540-124020640	1.935e-09	2.418e-18
9:81562902-81563002	9.658e-08	1.32e-19
11:32843887-32843987	9.658e-08	1.32e-19
8:117443130-117443230	2.47e-07	2.417e-14
2:69056318-69056418	2.323e-08	4.627e-18
5:118549038-118549138	2.306e-06	1.742e-17
6:12011634-12011734	3.834e-10	3.791e-23
14:29663482-29663582	2.788e-08	1.226e-18
18:74501127-74501227	1.002e-08	3.64e-16
9:87812554-87812654	5.724e-09	2.982e-17
15:56732812-56732912	7.499e-08	3.141e-18
10:80020896-80020996	2.763e-10	3.229e-21
4:184798140-184798240	1.416e-07	6.899e-16
19:35745799-35745899	2.323e-06	1.207e-13
14:61102913-61103013	1.622e-09	9.025e-21
2:64767660-64767760	4.95e-08	1.842e-17
8:8524670-8524770	4.31e-08	9.885e-20
12:116161855-116161955	2.595e-08	4.495e-21
7:30382951-30383051	2.595e-08	4.495e-21
2:219399119-219399219	1.131e-05	2.633e-14
18:6249669-6249769	2.404e-11	1.128e-18
3:48440316-48440416	1.379e-10	6.735e-21
10:12707812-12707912	1.379e-10	6.735e-21
1:45887649-45887749	1.463e-09	6.468e-21
15:63048394-63048494	3.569e-10	1.084e-22
8:118106832-118106932	9.445e-11	3.378e-20
5:134466632-134466732	2.41e-10	4.365e-19
2:83064290-83064390	1.935e-10	6.757e-22
10:27243125-27243225	1.935e-10	6.757e-22
9:137189325-137189425	2.543e-10	2.024e-20
6:43174434-43174534	2.209e-08	6.95e-16
1:236835629-236835729	3.086e-06	5.348e-16
3:72050424-72050524	5.166e-07	8.073e-18
5:179534822-179534922	4.633e-11	1.211e-21
1:74733282-74733382	4.651e-09	9.516e-17
13:46717664-46717764	1.36e-08	3.235e-16
2:152483602-152483702	6.468e-08	3.03e-18
3:17239806-17239906	1.837e-08	1.661e-17
X:31934930-31935030	3.876e-08	4.711e-17
2:148509611-148509711	3.673e-09	2.357e-16
X:153381909-153382009	3.79e-08	4.912e-16
11:65416613-65416713	1.486e-07	1.16e-17
X:1206176-1206276	3.077e-09	3.061e-19
6:108579079-108579179	2.291e-07	1.22e-16
5:109806923-109807023	1.711e-08	1.951e-17
X:132219686-132219786	2.206e-07	1.699e-16
19:40887668-40887768	2.206e-07	1.699e-16
16:67771754-67771854	0.0001095	6.085e-09
1:26949469-26949569	1.353e-07	1.002e-18
2:11829541-11829641	3.041e-07	5.174e-17
1:156122962-156123062	1.265e-06	4.538e-13
6:42979421-42979521	9.604e-10	1.825e-19
19:43463805-43463905	2.008e-09	2.054e-17
4:125720337-125720437	1.069e-08	2.066e-17
9:70258914-70259014	4.739e-12	2.608e-22
13:107120608-107120708	3.646e-07	1.397e-16
1:233607530-233607630	1.392e-08	3.687e-19
5:73662091-73662191	3.35e-10	2.276e-18
X:18936182-18936282	7.503e-06	1.584e-11
2:29130692-29130792	1.105e-09	1.439e-16
10:50626230-50626330	6.828e-10	3.287e-20
9:96854626-96854726	8.86e-07	1.578e-15
17:46047317-46047417	8.86e-07	1.578e-15
14:96318536-96318636	8.261e-11	1.503e-21
15:52785250-52785350	1.34e-08	9.633e-20
18:22347131-22347231	1.824e-09	1.792e-19
X:84362534-84362634	7.152e-13	1.079e-22
1:167905126-167905226	5.641e-09	9.474e-19
15:40807795-40807895	7.571e-10	2.293e-18
2:56460875-56460975	1.188e-06	8.17e-17
4:129343191-129343291	1.575e-09	2.142e-21
X:130870760-130870860	4.19e-10	1.894e-17
17:17591918-17592018	2.065e-08	1.718e-21
12:93138021-93138121	1.543e-09	1.959e-20
2:182914001-182914101	4.646e-08	3.617e-16
16:66934604-66934704	2.936e-07	1.003e-19
20:13413252-13413352	5.038e-09	9.388e-16
22:42688425-42688525	3.06e-09	1.499e-19
17:14206093-14206193	4.151e-09	8.337e-19
3:171054616-171054716	3.07e-09	9.317e-19
6:108678261-108678361	1.875e-11	5.824e-18
1:236862720-236862820	3.999e-08	1.13e-16
3:20186549-20186649	1.676e-07	3.576e-18
14:94594096-94594196	2.904e-07	4.467e-08
2:207812041-207812141	6.201e-09	1.272e-17
17:45172753-45172853	6.106e-11	8.155e-20
12:12377011-12377111	5.2e-08	2.953e-16
1:169161206-169161306	5.2e-08	2.953e-16
3:172059858-172059958	9.883e-10	1.468e-21
2:51697513-51697613	4.08e-10	1.487e-20
1:217590917-217591017	6.566e-05	2.068e-14
1:23691912-23692012	1.457e-07	1.307e-14
9:136418339-136418439	0.002425	8.355e-11
2:38013416-38013516	1.473e-09	6.311e-19
1:44820372-44820472	7.082e-10	1.204e-21
7:55547154-55547254	2.638e-07	1.852e-16
4:104905093-104905193	1.333e-09	1.746e-19
8:127206519-127206619	5.789e-09	3.763e-19
4:65417173-65417273	8.389e-08	7.44e-20
17:64185923-64186023	1.299e-07	8.27e-18
4:94670602-94670702	0.0002018	5.023e-11
13:27251479-27251579	8.381e-08	4.017e-21
2:164913921-164914021	1.131e-06	5.925e-16
9:16282510-16282610	1.593e-09	2.967e-19
2:218757604-218757704	8.298e-09	7.154e-21
2:94594641-94594741	2.951e-09	2.959e-18
8:134817512-134817612	2.951e-09	2.959e-18
1:222897919-222898019	5.48e-10	2.826e-17
1:33011425-33011525	1.945e-09	5.292e-20
3:119579986-119580086	8.226e-09	1.645e-16
8:47659936-47660036	2.424e-08	8.367e-20
14:35046281-35046381	1.069e-09	1.112e-14
1:1906508-1906608	5.054e-09	5.454e-18
6:160041930-160042030	1.203e-10	2.329e-21
5:148826527-148826627	1.261e-07	8.519e-18
8:32575357-32575457	1.631e-10	2.155e-20
5:6307668-6307768	1.29e-09	3.744e-18
15:71204392-71204492	4.648e-10	5.106e-21
17:81328823-81328923	1.215e-07	1.336e-17
15:62288755-62288855	2.728e-07	5.105e-17
14:69797696-69797796	6.738e-09	1.263e-13
2:10042929-10043029	4.298e-10	1.265e-18
X:104855318-104855418	2.145e-08	1.575e-18
12:65695802-65695902	4.586e-05	3.047e-10
2:84963854-84963954	6.242e-09	2.485e-18
3:138254652-138254752	2.463e-07	5.512e-17
19:54211104-54211204	7.528e-09	5.123e-20
17:16286110-16286210	4.53e-09	1.238e-20
4:165330445-165330545	4.53e-09	1.238e-20
12:7155860-7155960	1.409e-10	7.777e-19
3:36958997-36959097	1.587e-09	1.244e-20
4:185070702-185070802	1.037e-08	2.946e-18
11:78742736-78742836	4.723e-08	1.584e-16
9:91419493-91419593	9.287e-06	2.65e-13
14:75051592-75051692	2.635e-08	1.312e-16
8:112458043-112458143	1.27e-06	2.317e-16
13:58341235-58341335	3.764e-09	8.848e-20
16:87948282-87948382	1.133e-06	3.175e-20
2:231696349-231696449	6.422e-10	8.02e-20
20:31572919-31573019	4.039e-08	6.247e-20
22:35868927-35869027	1.059e-07	1.19e-16
14:54088649-54088749	3.967e-08	4.257e-18
12:32756151-32756251	1.822e-08	8.169e-19
3:179071637-179071737	2.562e-11	1.41e-20
7:120950650-120950750	3.21e-11	8.97e-17
15:43185475-43185575	2.826e-08	6.728e-20
13:41701061-41701161	2.341e-06	2.129e-15
18:54254421-54254521	7.199e-10	4.305e-21
1:9248202-9248302	1.636e-06	3.227e-14
12:121516886-121516986	1.065e-08	5.289e-21
X:48712227-48712327	8.837e-09	2.561e-13
1:35934100-35934200	2.99e-10	1.361e-17
12:56266605-56266705	6.136e-10	1.219e-19
2:119225815-119225915	5.983e-09	3.98e-15
8:38734587-38734687	3.226e-05	4.924e-17
14:94575957-94576057	1.808e-10	1.141e-19
2:95392063-95392163	5.641e-09	1.385e-15
3:12409181-12409281	8.542e-06	2.053e-12
12:108881276-108881376	8.658e-08	1.064e-15
15:75450802-75450902	1.617e-09	3.367e-18
12:14200125-14200225	3.23e-08	2.961e-16
13:42320064-42320164	2.413e-10	1.665e-20
1:55714664-55714764	8.1e-09	5.849e-15
14:50943706-50943806	2.934e-15	5.849e-15
19:43534193-43534293	8.565e-09	3.693e-18
3:71208925-71209025	4.327e-10	3.103e-18
15:50355122-50355222	2.344e-09	1.214e-17
10:88934941-88935041	5.332e-10	2.192e-19
21:38917369-38917469	3.888e-10	3.33e-20
5:168628609-168628709	1.641e-08	6.64e-18
1:53047325-53047425	2.419e-10	1.241e-18
11:8964664-8964764	4.345e-08	2.816e-17
12:57245039-57245139	0.001283	4.958e-12
16:71515106-71515206	8.467e-08	8.53e-14
16:85615306-85615406	5.347e-09	1.461e-20
16:75306422-75306522	1.179e-08	5.911e-12
12:100436290-100436390	1.242e-08	3.269e-19
8:65153271-65153371	7.621e-11	1.836e-23
8:128159141-128159241	3.36e-10	4.204e-19
4:128066034-128066134	3.36e-10	4.204e-19
13:51591234-51591334	5.167e-09	6.09e-23
11:130638999-130639099	2.695e-07	4.54e-11
5:138567134-138567234	7.998e-09	1.031e-18
11:3000824-3000924	1.822e-11	3.884e-21
3:122256137-122256237	4.294e-10	1.208e-22
2:181742969-181743069	2.11e-09	2.402e-20
19:4867833-4867933	3.588e-09	1.842e-16
4:24657984-24658084	1.026e-05	3.611e-13
20:47356989-47357089	5.646e-09	1.126e-20
1:225696130-225696230	3.924e-10	2.267e-20
1:18317094-18317194	3.924e-10	2.267e-20
15:75454238-75454338	8.911e-11	7.885e-21
20:20743947-20744047	1.108e-08	1.796e-17
10:99775934-99776034	3.71e-05	5.302e-09
17:82104123-82104223	4.255e-09	2.318e-17
20:41028773-41028873	3.551e-08	2.564e-18
10:5412264-5412364	3.152e-07	3.285e-19
19:28515992-28516092	1.053e-09	4.323e-18
14:35700111-35700211	7.502e-10	8.979e-22
13:94588862-94588962	4.769e-09	3.224e-19
1:11984474-11984574	2.619e-09	9.975e-23
12:93726333-93726433	7.714e-13	1.028e-23
7:101386677-101386777	0.0002908	2.069e-09
12:29553337-29553437	7.675e-10	5.062e-23
6:106525260-106525360	8.067e-10	1.421e-17
2:216498935-216499035	5.899e-09	3.797e-21
14:49485473-49485573	0.0005398	1.853e-10
17:7036182-7036282	9.115e-06	2.326e-15
