SEQID	MAX	BHLHE40	ATF3	CEBPB	MAFK	FOSL2	NFE2L2	JUND
20:25046458-25046558	2.055e-07	2.08e-08	2.383e-10	1.621e-12	8.433e-12	2.556e-11	1.266e-11	1.184e-15
3:20041807-20041907	1.476e-10	2.193e-13	6.54e-08	2.063e-07	1.65e-13	2.104e-15	3.767e-12	1.079e-17
15:75043394-75043494	4.503e-11	3.275e-12	2.735e-07	1.777e-09	5.949e-12	1.46e-13	5.757e-11	1.465e-17
8:17466780-17466880	5.193e-09	7.248e-10	3.878e-11	4.187e-10	5.833e-07	5.827e-10	4.387e-08	2.103e-12
16:30957687-30957787	1.335e-12	1.607e-08	2.423e-09	4.086e-11	4.184e-14	3.711e-13	3.091e-12	3.525e-17
5:5313435-5313535	7.09e-07	1.632e-08	8.946e-08	3.164e-09	1.141e-09	1.132e-12	2.075e-13	3.348e-19
3:171026962-171027062	4.262e-05	4.086e-07	3.684e-09	9.668e-10	2.094e-11	3.67e-13	2.45e-11	8.509e-17
15:89804196-89804296	2.97e-08	2.364e-09	1.142e-10	1.087e-09	9.407e-11	6.702e-10	1.159e-10	3.618e-13
12:75512074-75512174	1.117e-12	1.417e-12	6.47e-08	5.389e-07	1.399e-11	4.67e-13	3.115e-11	1.269e-17
15:58330404-58330504	2.623e-10	3.493e-12	1.475e-09	4.759e-10	4.066e-14	9.656e-14	3.824e-12	5.206e-17
20:41249685-41249785	6.322e-13	8.051e-14	2.309e-06	9.38e-17	1.622e-22	9.077e-18	6.021e-18	5.42e-23
2:119434254-119434354	7.679e-07	9.116e-09	3.363e-08	2.608e-13	5.088e-15	9.766e-13	3.255e-13	8.291e-19
10:33197190-33197290	9.863e-10	1.681e-10	7.974e-11	1.477e-06	5.845e-15	5.519e-13	2.26e-13	1.388e-13
7:55087142-55087242	6.137e-08	6.575e-12	1.075e-09	4.42e-11	1.128e-08	4.725e-10	7.192e-11	1.163e-16
2:187432189-187432289	4.516e-11	1.472e-13	1.621e-08	3.073e-07	7.794e-14	6.221e-17	2.848e-10	1.538e-18
3:133186763-133186863	2.696e-12	1.263e-14	2.729e-09	1.653e-11	6.263e-14	1.913e-14	1.442e-13	7.72e-17
19:2475619-2475719	1.135e-06	1.395e-10	3.061e-08	3.077e-14	2.242e-13	1.721e-13	1.978e-10	2.544e-17
12:1768023-1768123	3.878e-12	1.36e-14	2.312e-09	1.041e-09	3.64e-12	2.976e-18	9.975e-15	1.298e-22
12:53626562-53626662	1.513e-07	9.084e-09	2.065e-05	2.444e-13	1.601e-14	5.031e-08	4.565e-12	3.623e-10
6:44042032-44042132	2.668e-09	1.216e-12	2.338e-11	9.867e-10	6.362e-08	2.44e-11	2.286e-11	5.449e-17
1:56445357-56445457	6.405e-08	2.17e-08	1.08e-08	4.224e-09	1.095e-11	9.53e-15	2.232e-12	1.69e-21
16:85527574-85527674	8.958e-11	7.973e-11	1.969e-11	2.646e-13	1.09e-10	2.55e-15	7.816e-13	3.906e-19
15:65533071-65533171	1.252e-07	5.707e-09	3.009e-07	9.873e-10	6.841e-11	2.51e-11	1.878e-12	3.905e-16
20:50169646-50169746	7.525e-10	2.439e-12	7.8e-12	1.69e-11	2.866e-15	1.643e-18	1.03e-13	2.364e-25
1:203626806-203626906	8.597e-10	1.612e-09	1.081e-06	1.715e-08	5.058e-09	1.663e-10	2.927e-12	1.87e-13
7:40960351-40960451	7.004e-09	1.912e-11	9.758e-06	1.633e-09	6.502e-12	1.637e-08	2.719e-11	1.418e-09
4:122766102-122766202	2.399e-08	1.164e-10	1.316e-09	5.578e-08	3.645e-12	1.585e-07	3.83e-11	1.383e-11
3:149395803-149395903	1.455e-08	2.215e-11	1.933e-06	1.155e-08	2.294e-11	1.391e-10	2.711e-11	2.248e-15
17:32870284-32870384	1.676e-10	8.257e-11	3.42e-10	2.416e-09	2.815e-15	4.376e-09	5.569e-14	1.918e-16
4:185738491-185738591	3.283e-11	5.05e-10	1.96e-05	4.308e-07	1.778e-13	4.622e-15	7.008e-12	9.21e-18
18:64283513-64283613	3.983e-10	2.043e-13	1.295e-09	1.26e-14	1.322e-07	6.705e-16	2.593e-13	2.867e-19
6:96898422-96898522	3.454e-09	3.017e-09	1.591e-10	4.903e-10	1.34e-14	9.694e-11	1.46e-11	8.325e-14
X:34918363-34918463	1.295e-12	1.107e-14	2.148e-10	7.463e-12	6.026e-12	3.866e-13	9.492e-11	2.124e-15
17:54891544-54891644	5.408e-10	5.235e-12	1.65e-10	1.448e-07	2.812e-07	8.593e-11	4.329e-11	2.197e-11
12:108561495-108561595	4.976e-10	1.081e-10	2.302e-09	7.649e-12	2.079e-10	5.482e-10	3.253e-09	1.285e-10
10:4840496-4840596	9.853e-10	4.587e-09	5.105e-10	3.597e-12	1.585e-12	7.03e-13	1.291e-12	1.654e-18
3:101848688-101848788	3.665e-09	4.609e-12	6.715e-09	4.12e-08	4.018e-10	5.881e-15	2.367e-11	5.165e-19
12:113398732-113398832	8.398e-07	4.302e-08	3.281e-09	4.665e-12	1.972e-11	5.34e-16	1.14e-14	4.197e-22
8:38767031-38767131	1.738e-12	2.362e-13	1.878e-10	5.645e-08	2.751e-07	7.984e-09	5.602e-12	1.343e-09
12:21563216-21563316	1.195e-08	8.351e-11	1.449e-08	2.786e-06	2.076e-07	2.092e-13	2.759e-12	1e-15
1:61125546-61125646	1.632e-06	5.387e-08	1.619e-06	1.594e-07	5.589e-09	2.328e-13	4.716e-13	1.062e-15
11:118096388-118096488	1.7e-07	1.897e-10	1.301e-08	2.071e-10	4.402e-07	1.046e-06	6.775e-10	4.469e-11
7:143436848-143436948	1.489e-09	9.613e-11	2.928e-09	1.275e-10	5.579e-10	1.652e-08	7.627e-11	3.67e-11
12:89214093-89214193	1.144e-10	2.27e-12	6.388e-06	7.83e-10	1.377e-06	3.595e-13	9.493e-11	3.202e-13
14:53891058-53891158	1.483e-09	3.261e-10	4.468e-12	3.469e-10	3.64e-11	9.504e-15	1.581e-11	4.623e-19
6:156964246-156964346	1.759e-06	2.75e-07	1.404e-09	8.886e-08	9.062e-05	6.779e-07	2.691e-06	1.825e-06
3:25008361-25008461	1.463e-10	1.846e-10	1.655e-07	1.855e-09	4.883e-10	2.317e-15	9.382e-09	2.565e-19
10:73110975-73111075	1.153e-14	1.143e-13	2.024e-12	5.912e-15	2.448e-19	4.193e-16	1.333e-14	2.01e-22
6:28225300-28225400	3.224e-07	1.539e-05	3.501e-10	3.853e-12	2.67e-15	1.023e-14	1.719e-09	1.355e-17
20:37984516-37984616	3.566e-10	4.363e-12	9.339e-09	1.347e-10	2.816e-13	4.262e-15	7.155e-10	3.747e-19
10:72260798-72260898	1.46e-09	5.502e-10	1.816e-11	2.858e-12	2.491e-06	3.44e-16	2.27e-13	7.772e-23
7:103936962-103937062	5.344e-08	5.982e-09	6.898e-10	1.102e-08	2.221e-07	1.075e-14	9.062e-12	9.707e-18
16:4679849-4679949	3.256e-08	3.416e-07	2.053e-08	5.169e-09	6.74e-14	5.576e-10	2.873e-10	1.388e-13
14:69948605-69948705	2.113e-11	4.681e-13	6.041e-10	7.335e-09	4.52e-14	1.248e-13	3.87e-12	7.277e-19
1:197676105-197676205	2.959e-10	2.348e-09	6.572e-08	8.45e-09	1.507e-06	1.68e-10	2.069e-06	1.265e-12
13:110233455-110233555	6.799e-08	8.781e-10	1.142e-09	1.376e-08	3.268e-11	4.499e-12	1.414e-09	2.557e-16
17:49353951-49354051	2.184e-10	1.304e-11	1.337e-09	1.126e-08	1.156e-08	9.998e-15	1.866e-12	1.051e-18
3:52828231-52828331	5.291e-07	5.439e-08	3.104e-09	1.335e-11	5.597e-05	2.675e-10	5.596e-07	2.941e-11
8:101636017-101636117	2.112e-11	1.933e-12	1.161e-05	3.15e-08	8.27e-07	1.659e-09	1.213e-09	5.652e-11
19:23907128-23907228	7.997e-17	1.456e-16	2.317e-12	2.593e-15	8.27e-07	2.58e-19	1.213e-09	6.603e-23
2:109006000-109006100	5.51e-20	7.118e-07	1.603e-12	1.587e-30	8.27e-07	9.897e-28	1.213e-09	6.603e-23
1:59553526-59553626	3.264e-12	1.194e-12	1.73e-06	2.354e-09	2.926e-06	4.485e-10	1.129e-10	5.542e-13
6:53376859-53376959	9.912e-12	4.87e-13	2.304e-12	5.742e-13	4.119e-07	3.998e-10	1.471e-10	3.896e-16
13:24923349-24923449	7.812e-10	2.655e-12	1.419e-09	0.0001456	1.052e-09	4.612e-07	2.177e-10	3.889e-11
22:28982226-28982326	2.022e-08	2.166e-10	1.369e-08	2.743e-08	5.795e-10	5.078e-15	4.653e-13	1.072e-17
6:90288778-90288878	1.431e-11	1.205e-13	3.626e-11	1.293e-12	1.071e-15	2.249e-12	3.378e-15	1.247e-19
14:101289551-101289651	1.669e-08	1.026e-12	6.815e-11	2.779e-11	2.368e-12	7.333e-16	1.841e-10	3.782e-18
1:113457268-113457368	4.798e-13	8.932e-14	1.201e-09	3.792e-10	2.63e-07	4.72e-10	3.416e-10	1.432e-16
5:142512346-142512446	4.701e-09	6.099e-10	2.275e-09	4.034e-11	1.141e-11	4.561e-11	1.598e-11	6.834e-16
1:9233630-9233730	1.659e-11	1.672e-12	2.693e-11	1.745e-09	1.926e-11	1.536e-13	2.281e-11	8.262e-18
10:91690725-91690825	5.863e-12	6.197e-13	1.136e-06	2.868e-09	2.967e-10	4.857e-09	2.077e-14	2.293e-11
18:46718882-46718982	1.659e-08	1.48e-08	4.933e-11	1.305e-12	2.451e-12	5.198e-16	4.266e-14	1.274e-19
6:22467936-22468036	2.535e-11	7.827e-12	3.572e-10	2.433e-09	5.882e-11	8.25e-13	8.96e-10	3.517e-16
9:33186763-33186863	2.58e-11	1.965e-13	8.339e-09	8.92e-08	4.792e-06	2.057e-13	2.76e-12	8.962e-17
16:67772004-67772104	1.053e-08	8.337e-11	1.964e-07	1.343e-11	7.092e-13	0.004294	3.977e-05	0.001606
12:28570504-28570604	6.895e-09	4.774e-12	1.125e-08	2.056e-10	1.412e-12	1.692e-13	6.855e-12	4.444e-14
15:85657484-85657584	2.55e-09	1.226e-09	2.041e-08	1.169e-10	5.683e-16	1.25e-07	2.261e-12	2.117e-12
4:164462361-164462461	2.155e-05	1.114e-07	2.454e-09	6.6e-07	2.508e-11	4.493e-10	2.457e-13	2.293e-11
3:194276733-194276833	2.229e-09	8.3e-11	3.634e-08	5.7e-10	2.535e-10	1.628e-09	4.81e-12	6.879e-16
10:88979807-88979907	2.596e-09	1.463e-09	2.758e-08	1.289e-10	6.341e-13	4.645e-13	1.449e-12	4.608e-17
22:17237355-17237455	4.947e-07	1.567e-07	1.967e-09	7.25e-11	1.332e-12	9.243e-10	1.928e-12	2.8e-11
20:10423956-10424056	2.778e-11	2.643e-11	1.038e-08	3.523e-07	8.496e-10	5.082e-10	4.211e-07	5.228e-16
15:69463154-69463254	4.097e-12	5.594e-13	1.242e-10	2.01e-12	1.86e-15	3.309e-15	1.594e-13	3.504e-19
5:145975367-145975467	4.478e-08	1.435e-09	2.206e-06	2.185e-08	1.354e-09	0.003607	1.651e-08	0.0009598
6:137309527-137309627	2.741e-09	5.484e-11	1.719e-07	4.262e-10	4.067e-11	3.083e-11	3.109e-11	6.587e-12
16:11279953-11280053	1.018e-08	2.445e-11	1.993e-11	4.531e-12	1.869e-08	1.072e-15	7.208e-14	1.618e-22
3:184805757-184805857	3.127e-09	5.09e-10	2.195e-09	7.467e-11	6.895e-07	7.647e-13	5.962e-12	3.135e-13
1:173190873-173190973	2.679e-17	1.866e-18	2.04e-15	2.291e-09	6.895e-07	2.256e-25	5.962e-12	3.849e-31
7:129100830-129100930	9.308e-11	7.031e-13	6.95e-10	4.165e-12	2.18e-12	5.556e-14	1.672e-11	4.94e-17
1:3543660-3543760	9.292e-09	1.459e-11	2.065e-07	6.468e-13	1.035e-10	5.141e-12	6.544e-10	2.697e-17
5:180811121-180811221	7.39e-09	7.979e-11	3.403e-11	2.157e-11	9.938e-15	3.196e-16	1.157e-11	2.855e-20
4:185651468-185651568	1.402e-10	3.727e-13	4.037e-09	3.066e-10	1.959e-08	2.985e-12	1.005e-11	7.677e-14
3:113697039-113697139	2.03e-11	6.993e-10	8.851e-10	2.579e-09	2.331e-16	1.073e-15	4.007e-12	6.732e-20
8:85535751-85535851	1.51e-11	2.214e-12	9.544e-09	1.162e-12	3.259e-06	1.667e-14	6.777e-13	1.236e-18
1:39174762-39174862	5.845e-11	9.066e-10	1.15e-07	3.536e-12	1.446e-12	8.273e-13	5.963e-12	8.796e-18
3:159764498-159764598	1.29e-10	2.177e-11	1.369e-08	2.767e-13	2.102e-15	6.191e-11	1.034e-13	3.711e-16
3:186635861-186635961	3.85e-06	1.742e-09	6.485e-08	4.283e-12	2.97e-12	4.154e-14	6.753e-08	7.918e-19
8:65186035-65186135	3.186e-06	1.677e-06	3.123e-09	1.631e-08	7.314e-12	2.768e-10	2.399e-11	8.508e-17
16:53055188-53055288	0.004192	0.000231	6.562e-12	1.813e-11	2.635e-13	2.197e-13	3.322e-13	1.689e-17
12:45422024-45422124	2.501e-10	4.127e-14	2.513e-09	5.231e-09	1.816e-05	4.341e-13	1.814e-09	6.742e-18
1:53899534-53899634	3.276e-09	5.826e-13	5.684e-10	1.481e-07	2.534e-12	2.989e-07	3.154e-11	4.096e-07
3:161265304-161265404	1.29e-08	5.921e-10	4.603e-08	1.101e-09	4.324e-07	1.059e-10	1.962e-10	3.981e-12
4:184805866-184805966	1.533e-08	1.987e-11	2.482e-09	3.211e-09	2.748e-09	3.061e-11	8.696e-11	2.788e-12
5:74589791-74589891	4.9e-11	5.571e-13	2.911e-09	6.47e-08	1.359e-08	6.096e-09	2.94e-11	3.638e-16
1:94418200-94418300	1.462e-06	2.56e-06	2.839e-10	1.432e-14	8.022e-14	4.898e-14	1.702e-12	6.74e-17
8:26840447-26840547	3.121e-12	6.115e-14	1.568e-08	6.365e-08	8.519e-07	2.758e-17	2.205e-12	9.481e-21
16:65938329-65938429	9.525e-11	1.157e-10	9.98e-11	7.171e-13	1.788e-09	1.335e-10	1.322e-10	1.611e-16
11:118748439-118748539	6.798e-09	9.329e-10	1.108e-08	1.898e-07	6.422e-05	7.325e-09	8.295e-10	7.515e-11
15:67099199-67099299	8.55e-09	8.691e-12	2.897e-09	1.039e-09	6.851e-06	6.022e-11	7.476e-12	9.229e-14
2:162114106-162114206	5.687e-09	5.312e-10	3.941e-08	7.463e-08	4.512e-09	2.515e-08	1.063e-06	6.564e-08
4:139922081-139922181	8.407e-08	9.091e-08	6.589e-09	6.372e-08	7.56e-11	4.371e-11	3.618e-12	7.131e-12
7:33063079-33063179	1.344e-10	1.43e-10	1.724e-09	2.356e-13	2.326e-10	6.157e-12	2.493e-13	7.232e-18
X:117523319-117523419	1.692e-12	9.223e-15	2.213e-12	7.468e-10	1.76e-13	2.254e-12	2.019e-14	2.545e-22
9:83598743-83598843	8.252e-11	7.823e-11	4.049e-10	3.449e-11	6.336e-12	1.184e-10	7.851e-10	6.203e-12
16:80463288-80463388	5.407e-11	1.202e-11	4.067e-07	3.169e-07	4.269e-09	1.067e-11	4.294e-08	1.369e-16
6:139755324-139755424	9.692e-07	4.131e-13	1.065e-11	4.39e-09	2.526e-11	7.699e-13	6.307e-12	4.705e-18
7:135746211-135746311	3.172e-11	2.272e-11	3.418e-11	3.379e-09	7.298e-13	5.322e-15	1.241e-13	1.211e-17
21:42879860-42879960	3.02e-10	1.831e-11	2.908e-11	2.607e-13	8.663e-16	6.874e-12	1.251e-10	6.985e-17
12:3252797-3252897	9.27e-09	7.096e-10	1.726e-07	7.238e-11	3.593e-08	2.682e-10	1.178e-08	3e-11
2:62406906-62407006	2.323e-08	4.961e-09	8.534e-09	1.748e-08	4.217e-10	3.842e-13	8.653e-13	9.796e-14
3:15608272-15608372	2.655e-09	8.944e-12	1.333e-07	6.458e-12	2.288e-10	2.016e-13	1.065e-11	1.335e-15
6:144438362-144438462	2.156e-08	2.589e-11	6.825e-07	5.113e-09	7.571e-13	2.655e-11	3.242e-07	9.223e-15
12:121754257-121754357	2.034e-09	6.826e-10	5.503e-11	3.493e-10	3.401e-13	4.755e-12	1.046e-12	2.409e-17
10:86438200-86438300	3.177e-09	4.775e-12	1.194e-11	2.496e-09	6.637e-16	1.551e-18	3.22e-14	8.273e-24
15:39505172-39505272	3.093e-09	7.536e-09	9.419e-12	1.454e-10	9.462e-14	2.313e-12	5.415e-11	5.164e-19
12:122023698-122023798	8.367e-08	5.685e-10	6.291e-11	1.888e-08	2.331e-13	4.649e-15	4.939e-13	1.427e-19
7:36797225-36797325	1.853e-05	2.146e-06	1.025e-06	4.997e-12	5.096e-10	2.796e-13	3.457e-12	9.059e-16
19:18136399-18136499	5.376e-12	2.38e-12	4.16e-16	2.309e-15	3.122e-17	1.923e-19	1.613e-15	3.927e-26
6:166627403-166627503	1.838e-08	2.139e-09	9.648e-11	1.546e-10	2.768e-09	1.408e-16	1.098e-12	4.857e-20
6:32972196-32972296	3.177e-09	2.597e-09	1.699e-08	1.083e-11	4.781e-11	1.107e-14	2.048e-11	9.879e-19
5:36302381-36302481	6.341e-10	1.103e-10	1.039e-07	1.103e-07	4.473e-09	3.044e-14	1.143e-13	3.807e-18
16:19193165-19193265	1.677e-10	2.374e-10	9.541e-09	3.44e-13	4.148e-09	1.022e-15	4.671e-13	8.613e-20
9:73154123-73154223	3.442e-09	4.52e-10	1.247e-05	8.617e-08	2.675e-11	5.843e-09	7.973e-11	1.968e-09
1:215644085-215644185	2.161e-09	1.945e-10	1.861e-06	8.501e-09	0.01135	2.354e-11	3.337e-07	8.244e-13
4:17515671-17515771	7.732e-12	1.169e-13	2.271e-12	5.087e-10	1.156e-11	5.628e-16	5.653e-14	1.228e-17
5:42583727-42583827	2.335e-09	7.429e-12	6.057e-07	6.583e-07	8.279e-15	1.143e-11	4.394e-11	3.497e-16
2:63729722-63729822	4.301e-10	2.626e-12	7.158e-11	4.261e-11	2.628e-12	7.438e-15	4.879e-10	1.232e-17
4:23931034-23931134	2.547e-07	3.973e-07	2.219e-06	4.444e-07	1.114e-13	2.909e-08	9.724e-10	2.904e-10
16:67111525-67111625	4.789e-06	5.774e-10	1.008e-09	5.981e-08	9.657e-08	6.901e-12	7.877e-12	2.643e-18
9:89995337-89995437	1.646e-11	8.205e-13	8.762e-10	1.034e-11	2.294e-08	9.152e-12	2.479e-11	2.161e-14
2:95728895-95728995	8.253e-06	1.231e-06	2.493e-10	5.217e-13	6.234e-11	3.101e-15	2.472e-13	5.192e-19
12:96234486-96234586	2.066e-08	1.319e-09	1.122e-11	3.262e-15	1.896e-08	8.264e-12	1.205e-12	8.784e-17
X:119506251-119506351	2.271e-16	8.574e-17	1.671e-13	1.332e-15	1.144e-13	1.555e-20	2.275e-15	2.453e-29
12:46774593-46774693	5.823e-11	2.477e-10	1.681e-08	2.892e-07	4.014e-12	3.214e-16	2.196e-12	1.417e-19
9:5438076-5438176	1.999e-09	4.092e-12	6.418e-06	4.137e-10	9.341e-08	2.7e-08	3.331e-11	6.851e-10
20:46605505-46605605	1.097e-17	1.181e-11	3.01e-13	7.158e-22	9.341e-08	1.055e-24	3.331e-11	2.544e-33
10:80291197-80291297	2.037e-09	3.221e-11	1.696e-07	4.192e-09	8.159e-10	2.385e-10	7.724e-12	1.302e-13
11:75967166-75967266	6.248e-10	9.06e-11	1.436e-11	1.031e-08	1.946e-12	4.109e-15	1.128e-09	2.185e-18
19:40285938-40286038	1.212e-06	1.008e-08	3.917e-09	6.813e-10	1.138e-12	1.65e-11	8.952e-15	4.162e-19
18:4589437-4589537	2.481e-10	2.524e-10	1.464e-09	9.131e-07	6.781e-15	2.002e-15	3.353e-13	7.365e-19
1:64906891-64906991	1.038e-08	2.204e-10	2.628e-11	4.963e-09	6.869e-09	1.083e-13	4.037e-12	1.145e-19
1:44807665-44807765	8.304e-09	8.826e-11	2.387e-06	2.237e-08	4.796e-11	1.495e-11	2.407e-08	1.254e-15
13:80133479-80133579	8.919e-10	2.762e-12	1.355e-09	4.247e-09	3.866e-13	1.309e-14	7.782e-13	4.51e-14
22:49811793-49811893	8.962e-10	5.404e-10	1.38e-10	7.939e-11	6.657e-08	3.758e-08	7.447e-08	1.669e-10
13:80824553-80824653	2.239e-10	1.488e-13	3.422e-09	2.384e-11	1.091e-11	6.558e-13	3.637e-13	1.591e-15
7:95578914-95579014	7.825e-10	9.69e-12	3.646e-10	1.543e-09	2.147e-07	1.989e-10	3.021e-11	6.043e-11
11:73784729-73784829	4.596e-12	1.67e-13	3.443e-10	6.39e-08	4.393e-11	1.744e-15	2.077e-10	3.484e-22
4:40317132-40317232	5.384e-10	3.221e-10	8.584e-11	6.909e-11	1.833e-10	3.914e-13	4.122e-13	1.842e-18
4:38072470-38072570	7.739e-10	3.197e-10	4.048e-09	7.951e-10	1.34e-08	1.031e-10	3.359e-14	4.001e-16
19:15446225-15446325	1.455e-09	6.886e-11	1.967e-11	1.028e-10	2.473e-14	7.25e-11	1.667e-13	3.766e-17
6:85493727-85493827	2.282e-11	7.554e-11	9.439e-09	5.395e-06	1.516e-10	5.384e-12	5.094e-10	3.232e-17
17:16297395-16297495	5.207e-07	2.511e-07	1.306e-09	1.318e-11	3.042e-10	2.793e-14	1.139e-09	8.432e-19
17:2512006-2512106	1.112e-07	5.522e-09	2.175e-05	8.588e-11	1.082e-14	1.073e-13	1.349e-12	5.302e-17
1:207335977-207336077	8.464e-11	6.131e-11	2.607e-09	1.374e-06	1.304e-13	1.018e-07	3.275e-12	1.485e-15
