SEQID	TAL1::TCF3	REST
chr7:100701806-100701906	8.682e-09	8.98e-16
chr11:74925544-74925644	1.658e-08	3.57e-17
chr20:656272-656372	1.006e-08	2.25e-19
chr10:73555112-73555212	7.429e-07	2.304e-20
chr7:154861777-154861877	5.304e-07	1.435e-17
chr8:144025140-144025240	1.41e-09	7.332e-19
chr8:142970827-142970927	2.665e-09	1.015e-18
chr19:55948882-55948982	3.149e-07	6.861e-18
chr10:98841534-98841634	3.197e-08	2.176e-20
chr22:45371574-45371674	8.098e-09	9.468e-19
chr17:2653182-2653282	0.0004663	4.74e-17
chr1:37721160-37721260	4.998e-08	3.544e-16
chr6:90605164-90605264	4.192e-08	7.827e-18
chr11:57652921-57653021	8.998e-07	1.582e-20
chr12:72332605-72332705	2.439e-08	2.382e-18
chr11:119389628-119389728	2.455e-09	2.022e-18
chr3:42190690-42190790	1.044e-08	4.019e-18
chr20:44669677-44669777	3.919e-07	7.064e-22
chr19:56092835-56092935	2.079e-08	2.782e-18
chr1:110021581-110021681	3.639e-08	5.161e-15
chr16:9025852-9025952	1.314e-08	4.358e-17
chr3:187387569-187387669	2.485e-07	2.03e-17
chr1:37876480-37876580	6.939e-08	4.859e-19
chr9:123676220-123676320	4.478e-06	2.832e-12
chr20:43405772-43405872	2.555e-07	7.566e-17
chr16:49192097-49192197	2.077e-08	2.054e-18
chr10:50970416-50970516	1.127e-08	1.326e-12
chr1:23999718-23999818	2.22e-08	3.126e-15
chr11:70496541-70496641	1.539e-07	3.181e-15
chr11:20621427-20621527	4.804e-07	6.111e-20
chr3:9746068-9746168	8.187e-08	6.976e-16
chr19:52111362-52111462	2.054e-09	4.953e-18
chr9:135457583-135457683	4.366e-08	3.994e-17
chr1:11919486-11919586	1.319e-07	1.069e-16
chr17:29721732-29721832	1.386e-07	2.349e-18
chr1:26735154-26735254	5.291e-08	3.436e-18
chr6:146349495-146349595	2.21e-09	8.389e-19
chr1:110698673-110698773	4.806e-08	1.245e-21
chr7:104192698-104192798	6.327e-08	7.036e-18
chr1:47201535-47201635	1.891e-08	2.651e-18
chr16:70896048-70896148	9.327e-08	1.88e-19
chr16:56228352-56228452	2.529e-07	2.197e-23
chr16:28315608-28315708	2.41e-06	3.976e-15
chr6:105391827-105391927	5.076e-05	1.115e-19
chr3:14639882-14639982	3.889e-06	4.367e-19
chr16:13130602-13130702	7.334e-08	1.668e-18
chr11:116476397-116476497	9.022e-08	1.827e-17
chr1:112715091-112715191	7.241e-09	9.716e-16
chr8:129157286-129157386	2.967e-06	1.371e-17
chr2:217237020-217237120	2.625e-09	2.498e-17
chr1:1270400-1270500	6.934e-09	2.209e-16
chr7:30711633-30711733	6.937e-07	4.99e-20
chr4:147558173-147558273	1.616e-09	1.984e-16
chr7:32467448-32467548	5.388e-08	8.825e-17
chr8:142726246-142726346	5.868e-09	3.584e-16
chr3:50563603-50563703	1.531e-08	1.127e-15
chr19:40724213-40724313	2.07e-08	1.302e-12
chr10:73341922-73342022	5.534e-08	2.514e-20
chr3:9594008-9594108	3.31e-06	5.38e-16
chr12:113918031-113918131	2.825e-06	6.825e-19
chr1:175694941-175695041	2.089e-06	4.136e-17
chr1:111289445-111289545	8.379e-08	5.014e-18
chr17:26335698-26335798	1.146e-08	7.038e-16
chr11:1422974-1423074	3.089e-07	1.858e-15
chr5:132901818-132901918	3.889e-07	6.985e-19
chr19:13552823-13552923	3.226e-07	5.369e-17
chr19:45901525-45901625	0.0001274	2.892e-16
chr1:20003018-20003118	4.422e-07	6.283e-18
chr17:45863227-45863327	2.889e-08	1.563e-16
chr11:116250292-116250392	7.747e-08	3.507e-16
chr17:27921286-27921386	1.351e-07	5.672e-15
chr18:903760-903860	4.83e-05	1.439e-10
chr11:119364579-119364679	8.473e-08	7.533e-15
chr7:152759139-152759239	3.299e-09	3.079e-20
chr8:28514875-28514975	1.444e-08	6.732e-17
chr12:53135301-53135401	1.791e-06	3.374e-13
chr1:155248128-155248228	1.071e-06	1.121e-15
chr5:145720213-145720313	5.124e-07	4.769e-21
chr5:167955671-167955771	7.574e-07	1.506e-17
chr15:64162901-64163001	1.72e-08	3.238e-15
chr20:10200232-10200332	2.815e-08	4.088e-18
chr19:16073282-16073382	7.076e-08	4.876e-16
chr15:91730630-91730730	1.375e-06	2.304e-17
chr19:10806624-10806724	1.161e-08	5.707e-18
chr15:72612093-72612193	1.658e-06	2.156e-18
chr11:46414215-46414315	7.199e-07	3.439e-17
chr19:36466664-36466764	2.715e-08	2.089e-18
chr19:55195885-55195985	4.505e-09	4.324e-18
chr3:131753936-131754036	3.276e-08	2.59e-13
chr8:140732573-140732673	1.456e-08	1.151e-17
chr16:12755726-12755826	5.666e-05	8.105e-18
chr5:52912915-52913015	1.116e-08	1.07e-18
chr17:74906126-74906226	5.534e-07	8.789e-16
chr20:35012572-35012672	6.898e-06	3.84e-16
chr1:22938131-22938231	3.34e-06	7.2e-17
chr5:14628616-14628716	3.751e-08	1.405e-16
chr1:39146656-39146756	3.166e-05	1.283e-16
chr1:165918732-165918832	2.646e-07	9.1e-18
chr3:10795806-10795906	6.48e-05	7.358e-19
chr5:57242-57342	2.712e-08	3.302e-18
chr9:134674720-134674820	5.26e-07	3.467e-16
chr8:41753546-41753646	3.205e-07	8.518e-16
chr2:171670828-171670928	1.427e-06	2.291e-14
chr19:277691-277791	6.769e-08	4.463e-17
chr12:108608414-108608514	8.425e-07	4.844e-16
chr16:25276082-25276182	8.061e-09	5.757e-18
chr6:159688342-159688442	1.436e-05	8.734e-18
chr1:5907483-5907583	7.48e-10	1.496e-14
chr9:124818933-124819033	2.788e-08	1.063e-18
chr1:50774659-50774759	5.422e-08	3.937e-17
chr3:11006402-11006502	4.45e-08	1.017e-11
chr11:122852624-122852724	4.539e-08	1.346e-16
chr16:2911323-2911423	1.543e-08	3.376e-16
chr7:156178910-156179010	8.449e-08	7.369e-20
chr3:38847428-38847528	1.372e-08	3.415e-11
chr4:170745012-170745112	4.228e-08	9.474e-18
chr22:31198884-31198984	7.76e-07	1.121e-16
chr9:128845102-128845202	6.183e-08	9.286e-17
chr20:5892294-5892394	2.313e-08	1.474e-18
chr11:117467949-117468049	6.734e-08	2.354e-18
chr5:140420813-140420913	4.419e-08	2.761e-18
chr19:7574644-7574744	1.745e-09	8.679e-19
chr10:71327733-71327833	6.171e-07	1.161e-14
chr22:39220671-39220771	2.621e-06	4.756e-19
chr2:207507505-207507605	8.396e-09	5.344e-18
chr16:27807476-27807576	2.721e-09	9.354e-15
chr12:119499159-119499259	6.022e-07	4.844e-21
chr16:22652514-22652614	3.269e-08	1.758e-19
chr5:141114535-141114635	9.686e-09	3.064e-20
chr11:72388018-72388118	2.699e-07	9.46e-13
chr10:102440635-102440735	2.075e-08	1.242e-18
chr1:11610876-11610976	2.787e-09	2.559e-17
chr8:10847857-10847957	5.731e-09	5.236e-15
chr1:210900090-210900190	1.144e-08	1.125e-19
chr3:123005277-123005377	8.304e-07	2.558e-20
chr5:151304227-151304327	3.092e-08	1.57e-15
chr19:55691543-55691643	9.636e-06	1.886e-16
chr17:78415027-78415127	6.398e-07	2.701e-13
chr1:154540376-154540476	3.64e-08	1.652e-12
chr12:109458723-109458823	1.976e-08	8.91e-17
chr16:24869910-24870010	6.556e-09	4.029e-18
chr1:93521920-93522020	5.035e-08	2.763e-17
chr1:229566621-229566721	3.794e-08	2.762e-20
chr3:51963602-51963702	7.469e-08	2.977e-12
chr7:150681209-150681309	6.784e-08	1.333e-17
chr1:38541868-38541968	6.803e-08	9.28e-17
chr16:8076598-8076698	1.35e-08	1.366e-18
chr2:73110624-73110724	8.561e-07	3.548e-13
chr20:44921860-44921960	4.526e-08	1.744e-16
chr15:74583937-74584037	3.754e-08	1.458e-18
chr22:37040441-37040541	3.819e-08	1.583e-15
chr3:13183593-13183693	9.824e-09	9.291e-13
chr1:36342721-36342821	9.478e-09	1.207e-13
chr1:37432007-37432107	2.65e-08	8.458e-17
chr12:100933136-100933236	3.066e-07	8.807e-17
chr19:17799104-17799204	4.446e-08	1.479e-18
chr6:88930372-88930472	7.19e-05	1.626e-17
chr22:29874630-29874730	3.027e-07	6.465e-16
chr8:65292598-65292698	2.248e-07	2.386e-15
chr10:94147225-94147325	4.607e-08	1.615e-18
chr19:7627897-7627997	3.008e-07	2.949e-15
chr4:6548465-6548565	3.123e-09	3.318e-16
chr5:176038479-176038579	5.491e-07	3.588e-16
chr2:29516846-29516946	1.297e-08	1.912e-15
chr7:37092414-37092514	2.288e-09	4.533e-15
chr1:6305273-6305373	1.12e-08	4.833e-17
chr12:3601499-3601599	5.639e-08	5.68e-17
chr7:100253988-100254088	3.022e-08	1.723e-17
chr16:750733-750833	2.45e-07	1.336e-17
chr5:176264741-176264841	7.052e-09	1.72e-17
chr10:79088299-79088399	3.589e-09	2.245e-13
chr20:42876927-42877027	3.112e-08	2.291e-17
chr20:31797681-31797781	3.592e-06	4.274e-15
chr17:33030767-33030867	2.913e-09	6.123e-17
chr15:73639202-73639302	1.371e-06	3.669e-18
chr19:39714487-39714587	8.96e-09	9.009e-16
chr20:62284662-62284762	3.509e-08	7.748e-17
chr6:25652581-25652681	2.445e-05	2.864e-16
chr12:131011518-131011618	1.988e-06	5.628e-16
chr12:113102533-113102633	3.721e-08	8.321e-17
chr1:205428207-205428307	1.325e-06	2.739e-16
chr20:62092858-62092958	5.556e-08	9.623e-15
chr6:84569223-84569323	3.357e-07	2.023e-19
chr5:75400024-75400124	1.133e-08	6.585e-15
chr4:1404425-1404525	9.556e-09	1.008e-15
chr10:124671539-124671639	2.083e-07	2.66e-18
chr12:65220244-65220344	8.736e-06	9.727e-22
chr2:220196428-220196528	1.129e-09	8.921e-18
chr19:50828969-50829069	0.0004579	8.733e-21
chr15:79576051-79576151	7.904e-09	2.611e-17
chr15:89905044-89905144	1.125e-09	1.305e-18
chr4:147565126-147565226	1.097e-08	8.004e-19
chr7:154106939-154107039	5.352e-06	1.994e-18
chr19:36319715-36319815	9.952e-07	2.527e-20
chr15:35045642-35045742	6.35e-08	1.076e-15
chr7:101933174-101933274	6.813e-08	2.18e-19
chr1:210306094-210306194	7.703e-08	3.803e-19
chr20:44656029-44656129	2.09e-08	8.154e-18
chr19:51984014-51984114	1.099e-05	1.96e-16
chr3:42743064-42743164	4.651e-08	1.536e-19
chr20:33814957-33815057	1.556e-07	4.328e-18
chr19:46721573-46721673	8.502e-08	2.715e-16
chr14:36004507-36004607	1.832e-07	5.228e-20
chr9:134989637-134989737	5.472e-09	9.096e-17
chr2:59061686-59061786	3.659e-07	5.482e-18
chr19:36370834-36370934	1.038e-07	5.578e-17
chr16:67219373-67219473	2.284e-09	1.128e-19
chr14:100952978-100953078	6.272e-09	9.115e-16
chr10:105025626-105025726	1.255e-08	3.078e-18
chr16:87642148-87642248	3.464e-05	1.016e-16
chr20:859526-859626	2.51e-08	7.284e-16
chr1:44434140-44434240	2.669e-08	2.175e-18
chr21:34100698-34100798	2.91e-07	4.301e-16
chr11:113862008-113862108	2.637e-07	1.027e-16
chr16:71501794-71501894	2.129e-08	5.47e-18
chr2:47798559-47798659	1.693e-08	1.061e-20
chr11:43598672-43598772	6.49e-09	1.011e-14
chr13:79163497-79163597	2.965e-08	7.649e-20
chr19:13574265-13574365	7.662e-10	2.75e-17
chr22:17601357-17601457	3.442e-05	3.063e-16
chr8:67089837-67089937	3.547e-06	1.936e-16
chr5:141133829-141133929	1.518e-08	1.393e-19
chr2:219910819-219910919	2.891e-07	9.785e-18
chr10:16654398-16654498	5.382e-08	1.84e-14
chr1:183386027-183386127	3.045e-07	5.745e-19
chr5:141123103-141123203	1.293e-07	2.115e-19
chr3:123936519-123936619	4.176e-08	4.755e-17
chr16:87695274-87695374	3.801e-08	7.044e-18
chr9:132552819-132552919	1.611e-06	6.175e-20
chr19:591617-591717	3.518e-09	0.007917
chr1:30209583-30209683	1.834e-07	2.29e-18
chr1:38261162-38261262	4.236e-07	7.25e-18
chr2:163697274-163697374	2.229e-08	1.417e-17
chr11:134897522-134897622	3.673e-08	4.561e-22
chr3:48699289-48699389	7.247e-08	1.955e-17
chr16:22824595-22824695	1.003e-08	7.58e-18
chr1:35373222-35373322	5.365e-09	4.71e-19
chrX:47479384-47479484	4.556e-07	2.891e-12
chr7:8473648-8473748	2.345e-08	7.27e-20
chr20:44658213-44658313	5.849e-09	5.876e-14
chr1:48996596-48996696	1.494e-08	1.88e-18
chr1:156384415-156384515	7.559e-08	2.382e-15
chr16:25758627-25758727	5.856e-08	1.7e-14
chr1:11540263-11540363	2.575e-07	2.753e-14
chr17:77290699-77290799	5.309e-10	2.488e-16
chr6:127837347-127837447	2.007e-08	1.228e-17
chr7:145812975-145813075	4.035e-08	5.342e-22
chr4:6364785-6364885	2.899e-06	5.693e-15
chr17:33033196-33033296	1.134e-07	1.469e-11
chr8:142526854-142526954	1.716e-08	1.03e-16
chr8:62408858-62408958	3.377e-08	2.059e-17
chr1:18158231-18158331	5.441e-08	5.725e-19
chr19:57149498-57149598	2.181e-09	1.561e-20
chr19:42095013-42095113	3.207e-10	9.713e-19
chr3:42341618-42341718	5.843e-06	2.758e-18
chr6:37493684-37493784	6.829e-08	8.575e-18
chr19:10172716-10172816	1.742e-07	2.991e-16
chr1:3634640-3634740	7.025e-07	8.292e-15
chr1:58926298-58926398	2.175e-08	6.079e-20
chr7:31154728-31154828	1.176e-08	5.876e-16
chr1:37389958-37390058	5.44e-10	8.978e-19
chr20:34973063-34973163	3.657e-08	1.394e-15
chr15:77994966-77995066	3.027e-08	4.775e-19
chr19:34258921-34259021	6.771e-07	2.205e-17
chr1:52468131-52468231	4.274e-08	1.02e-19
chr5:174749072-174749172	5.095e-08	7.455e-17
chr20:61747938-61748038	1.134e-07	4.511e-17
chr2:73518377-73518477	3.769e-06	2.387e-17
chr3:10636738-10636838	2.822e-07	3.654e-14
chr3:170302452-170302552	4.06e-09	1.692e-19
chr14:90961762-90961862	5.459e-08	3.644e-16
chr10:102085073-102085173	1.417e-08	1.476e-19
chr16:83735287-83735387	4.625e-08	1.818e-16
chr17:27333020-27333120	2.099e-06	1.288e-15
chr19:40089915-40090015	3.657e-08	1.099e-18
chr18:55021265-55021365	1.493e-09	1.865e-18
chr16:1238820-1238920	2.223e-09	6.065e-17
chr17:56197731-56197831	1.068e-06	1.147e-14
chr14:97406502-97406602	2.436e-07	3.008e-15
chr8:10950075-10950175	1.122e-06	2.257e-18
chr10:50606144-50606244	7.27e-08	2.86e-21
chr6:12752086-12752186	0.0001138	8.402e-17
chr9:34413379-34413479	2.473e-08	0.01188
chr19:11480424-11480524	3.282e-10	6.066e-15
chr19:11639470-11639570	3.857e-07	1.763e-17
chr15:83332049-83332149	3.707e-08	2.207e-15
chr16:9133217-9133317	3.446e-08	7.925e-18
chr1:166038791-166038891	4.916e-09	2.757e-13
chr5:133877551-133877651	4.819e-09	7.331e-13
chr2:119924792-119924892	6.136e-09	1.199e-18
chr20:1152261-1152361	4.103e-07	2.04e-17
chr14:93380552-93380652	1.765e-06	2.552e-17
chr11:74944864-74944964	2.523e-08	1.267e-19
chrX:153141040-153141140	8.411e-09	6.462e-21
chr5:139188294-139188394	1.02e-08	2.303e-19
chr9:104299369-104299469	1.23e-07	3.307e-21
chr8:28595098-28595198	8.52e-07	3.521e-18
chr12:55413747-55413847	7.713e-09	3.248e-12
chr19:42644447-42644547	1.642e-08	4.144e-17
chr1:210111097-210111197	1.121e-07	1.751e-14
chr6:34100447-34100547	6.003e-08	2.832e-18
chr16:89104105-89104205	3.088e-08	4.745e-17
chr12:113229308-113229408	6.068e-09	1.05e-16
chr3:172167619-172167719	6.633e-08	3.42e-14
chr6:34083276-34083376	2.062e-09	1.128e-16
chr9:134652004-134652104	2.7e-08	4.43e-17
chrX:18165255-18165355	4.313e-09	2.985e-20
chr17:34819936-34820036	3.513e-08	1.634e-16
chr15:74557528-74557628	2.656e-05	1.242e-14
chr1:18246079-18246179	6.207e-09	8.132e-19
chr20:40283672-40283772	6.709e-08	1.778e-18
chr5:16179030-16179130	7.236e-06	1.968e-13
chr1:201583422-201583522	2.889e-05	2.911e-16
chr15:51973690-51973790	8.357e-09	3.46e-14
chr19:18350311-18350411	3.776e-09	2.466e-18
chr14:93389818-93389918	3.202e-08	6.421e-18
chr5:176231082-176231182	2.228e-09	1.369e-21
chr7:100808716-100808816	0.0001091	4.082e-09
chr1:11533831-11533931	1.857e-09	3.407e-16
chr11:61334936-61335036	1.382e-09	4.234e-15
chr18:5197139-5197239	5.968e-09	0.0104
chr20:41816547-41816647	1.286e-08	2.427e-16
chr12:58154310-58154410	2.769e-08	6.356e-17
chr16:56048005-56048105	7.924e-07	1.543e-15
chr1:50745780-50745880	3.967e-08	3.278e-18
chr19:52056575-52056675	4.841e-07	2.268e-14
chr1:35390542-35390642	4.438e-05	1.304e-16
chr1:29792435-29792535	1.989e-08	3.657e-19
chr2:200180202-200180302	1.652e-06	1.322e-16
chr12:118870066-118870166	1.483e-07	3.734e-20
chr12:11653670-11653770	1.596e-09	1.946e-15
chr22:30112882-30112982	3.041e-08	1.008e-18
chr11:45119602-45119702	9.789e-05	3.397e-18
chr12:110174585-110174685	8.619e-09	4.665e-17
chr11:10400705-10400805	1.539e-09	9.688e-20
chr19:18000609-18000709	1.482e-10	4.047e-20
chr17:4396702-4396802	1.113e-07	8.36e-17
chr17:40332243-40332343	2.09e-06	2.834e-15
chr5:170108315-170108415	1.505e-08	4.353e-15
chr20:37507590-37507690	1.952e-06	9.318e-17
chr9:34494103-34494203	1.161e-09	0.002755
chr19:6564570-6564670	2.777e-08	0.0007055
chr20:37309316-37309416	5.048e-08	2.14e-15
chr8:54790496-54790596	3.162e-07	5.647e-19
chr12:119071032-119071132	3.205e-09	9.864e-21
chr17:64825791-64825891	5.445e-09	1.26e-17
chr12:95273484-95273584	3.926e-09	2.609e-22
chr1:10709102-10709202	2.258e-07	3.691e-14
chr16:29911213-29911313	7.696e-08	2.09e-13
chr8:144183335-144183435	7.303e-09	1.49e-17
chr19:4173067-4173167	1.266e-07	1.331e-13
chr14:76599514-76599614	4.706e-05	6.201e-18
chr16:10989333-10989433	1.298e-07	3.3e-16
chr8:91095083-91095183	5.331e-09	2.874e-19
chr1:18582956-18583056	7.897e-08	4.901e-15
chr16:88627270-88627370	2.472e-06	5.164e-16
chr17:73512205-73512305	7.634e-08	3.046e-14
chr22:44263854-44263954	9.572e-09	8.415e-18
chr19:17650115-17650215	5.722e-09	1.034e-16
chr5:63259066-63259166	3.133e-07	2.261e-17
chr1:202626501-202626601	6.133e-08	3.903e-15
chr17:33124859-33124959	9.995e-07	9.872e-19
chr22:21364030-21364130	3.628e-07	1.215e-13
chr22:39941890-39941990	4.671e-05	2.155e-17
chr14:77675174-77675274	2.782e-08	1.68e-15
chr1:11114010-11114110	1.912e-08	2.243e-16
chr1:110761510-110761610	2.772e-09	3.691e-19
chr5:173472673-173472773	9.18e-10	3.22e-18
chr2:219827715-219827815	9.651e-09	4.017e-17
chr15:40650462-40650562	3.161e-05	4.414e-18
chr11:126431320-126431420	1.544e-09	5.192e-16
chr5:141263094-141263194	6.134e-09	2.288e-16
chr1:31655210-31655310	7.845e-08	2.834e-17
chr12:2861925-2862025	6.748e-08	1.274e-16
chr16:89992791-89992891	1.201e-07	1.824e-16
chr2:241989332-241989432	8.205e-08	9.964e-17
chr22:42690526-42690626	1.033e-09	1.177e-17
chr1:119471733-119471833	3.223e-08	9.737e-14
chr19:54406477-54406577	2.312e-06	7.563e-15
chr4:175750040-175750140	1.525e-08	2.955e-18
chr8:144309695-144309795	6.41e-07	1.09e-14
chr16:68478100-68478200	3.322e-09	1.259e-14
chr1:151689536-151689636	9.229e-05	3.906e-17
chr16:24267326-24267426	4.818e-08	1.853e-14
chr15:66297128-66297228	4.68e-08	1.418e-17
chr10:26656878-26656978	6.99e-11	5.874e-16
chr22:50105981-50106081	1.311e-05	1.04e-15
chr10:43778458-43778558	1.03e-05	2.602e-19
chr19:36454609-36454709	7.835e-08	1.518e-18
chr19:42501385-42501485	6.489e-09	7.193e-16
chr15:89148998-89149098	1.75e-08	1.118e-16
chr3:38439017-38439117	3.032e-07	7.007e-17
chr15:75287702-75287802	4.029e-09	3.11e-20
chr7:104268130-104268230	3.213e-07	1.969e-19
chr17:43935524-43935624	1.741e-08	3.316e-19
chr12:103218369-103218469	6.716e-09	3.19e-21
chr22:37859088-37859188	5.042e-08	4.905e-16
chr19:46455956-46456056	1.823e-08	1.377e-14
chr2:131513831-131513931	3.133e-09	5.356e-15
chr19:38945836-38945936	1.691e-08	1.008e-16
chr12:113503168-113503268	7.172e-06	1.951e-18
chr10:125374561-125374661	9.351e-07	9.416e-17
chr7:8482555-8482655	3.704e-09	6.968e-17
chr16:23186107-23186207	5.441e-08	1.163e-17
chr18:1092397-1092497	3.178e-06	0.009013
chr16:8396439-8396539	3.839e-05	2.868e-18
chr19:45999631-45999731	3.985e-07	6.985e-16
chr1:204806744-204806844	4.977e-09	2.82e-16
chr3:49905351-49905451	1.498e-08	4.224e-19
chrX:48853492-48853592	2.181e-06	9.941e-13
chr10:85984573-85984673	1.272e-07	5.986e-14
chr20:57717386-57717486	8.126e-10	5.211e-15
chr12:108862233-108862333	2.898e-08	1.845e-18
chr7:135020662-135020762	2.239e-08	1.606e-19
chr15:78045756-78045856	5.581e-09	6.915e-17
chr19:42647661-42647761	1.168e-08	8.467e-17
chr12:114039549-114039649	8.241e-06	6.13e-17
chr11:1260225-1260325	2.078e-09	1.857e-15
chr20:30556308-30556408	3.91e-08	1.645e-19
chr2:119864030-119864130	1.903e-08	2.159e-15
chr1:30448083-30448183	3.319e-06	2.455e-11
chr12:120427678-120427778	4.255e-08	5.564e-17
chr3:137916084-137916184	7.418e-07	1.374e-17
chr20:61713775-61713875	3.176e-06	6.145e-17
chr4:8582419-8582519	4.417e-09	3.202e-14
chr1:42276270-42276370	1.681e-08	1.163e-15
chr1:201563999-201564099	1.645e-06	3.67e-16
chr15:70268865-70268965	7.923e-08	1.52e-12
chr6:116918128-116918228	1.795e-07	1.419e-20
chr20:61701337-61701437	3.768e-09	1.165e-19
chr7:131430540-131430640	7.64e-08	1.696e-14
chr19:45017118-45017218	4.112e-08	6.098e-18
chr9:136474563-136474663	5.297e-09	6.488e-14
chr19:36195257-36195357	9.196e-08	2.643e-19
chr2:220173113-220173213	1.695e-07	6.55e-18
chr12:119950838-119950938	3.302e-08	3.491e-13
chr19:15649733-15649833	0.0007635	1.078e-17
chr20:56623316-56623416	8.006e-10	3.513e-19
chr1:202662239-202662339	5.365e-06	2.792e-12
chr18:54774494-54774594	3.615e-08	5.293e-16
chr19:47975356-47975456	4.048e-08	2.042e-16
chr5:71359193-71359293	2.387e-08	1.861e-20
chr1:65775563-65775663	1.891e-05	5.716e-20
chr4:8677239-8677339	6.105e-08	5.848e-18
chr9:101472809-101472909	5.549e-07	1.392e-16
chr11:107799180-107799280	5.02e-07	1.508e-18
chr5:1409589-1409689	2.899e-09	1.107e-16
chr11:77491146-77491246	1.57e-07	2.025e-18
chr19:4769548-4769648	1.721e-07	0.000103
chr9:100507760-100507860	1.363e-07	1.255e-20
chr2:224467041-224467141	3.349e-08	1.635e-16
chr1:185886937-185887037	1.001e-07	1.347e-19
chr8:99439123-99439223	1.665e-07	1.903e-19
chr19:47947788-47947888	2.776e-09	3.447e-20
chr8:142577185-142577285	7.023e-10	3.56e-17
chr17:45041807-45041907	4.559e-10	1.228e-16
chr14:78996542-78996642	2.785e-10	1.82e-20
chr20:60527175-60527275	2.382e-08	5.125e-19
chr6:101844581-101844681	2.538e-06	1.023e-19
chr14:77600234-77600334	3.425e-09	1.22e-15
chr17:31469886-31469986	2.275e-08	7.248e-16
chr9:138048549-138048649	6.706e-08	4.071e-17
chr1:11959062-11959162	1.715e-07	6.779e-18
chr8:132049316-132049416	1.74e-08	2.807e-14
chr12:67587630-67587730	5.643e-09	3.146e-22
chr15:66244926-66245026	7.658e-08	1.991e-17
chr10:59935910-59936010	1.115e-08	1.555e-20
chr5:175224014-175224114	3.714e-08	1.507e-18
chr5:123882492-123882592	4.578e-07	1.367e-16
chr5:132946803-132946903	7.323e-09	8.046e-19
chr17:72187072-72187172	2.493e-08	1.658e-19
chr6:90269369-90269469	3.522e-08	1.342e-18
chr15:68113411-68113511	2.603e-08	1.167e-18
chr5:6687041-6687141	4.592e-08	1.591e-20
chr7:131955437-131955537	1.479e-08	4.469e-20
chr19:19325877-19325977	9.874e-09	2.058e-17
chr5:177008724-177008824	1.302e-08	4.143e-20
chr1:95850273-95850373	2.336e-07	3.127e-16
chr20:37321179-37321279	1.427e-06	3.018e-17
chr2:182542831-182542931	5.874e-06	1.752e-18
chr19:43106121-43106221	3.076e-09	6.516e-17
chr19:55577596-55577696	7.884e-08	7.287e-14
chr19:3877058-3877158	1.785e-06	0.00503
chr6:33291173-33291273	3.208e-07	9.723e-19
chr14:78865789-78865889	1.72e-06	3.024e-16
chr20:59164823-59164923	4.191e-07	4.312e-21
chr5:131348355-131348455	7.187e-09	2.484e-18
chr21:39286622-39286722	1.886e-08	4.972e-16
chr17:72667508-72667608	1.526e-06	2.193e-16
chr7:75831171-75831271	5.48e-07	1.693e-15
chr7:77455783-77455883	5.775e-09	6.708e-17
chrX:49056579-49056679	1.451e-08	3.056e-19
chr22:50709310-50709410	5.421e-08	6.705e-15
